of|IO|The color of the car is red.|(генитив)|Цвет автомобиля красный.
wind|NN1|The wind blew strongly last night.|ветер|Прошлой ночью дул сильный ветер.
just|JJ|He is a just man.|справедливый|Он справедливый человек.
interested|JJ|She is interested in art.|заинтересованный|Она заинтересована в искусстве.
researcher|NN1|The researcher conducted a study.|исследователь|Исследователь провел исследование.
capital|NN1|Paris is the capital of France.|столица|Париж — столица Франции.
hill|NN1|We hiked up the hill.|холм|Мы поднялись на холм.
basic|JJ|This is a basic need.|основной|Это основная потребность.
engage|VV0|The gears engage smoothly.|сцепляться|Шестерни сцепляются плавно.
smile|VV0|She smiled at the joke.|улыбаться|Она улыбнулась шутке.
contract|NN1|He signed the contract.|контракт|Он подписал контракт.
apple|NN1|She ate an apple.|яблоко|Она съела яблоко.
sales|NN2|The sales were up this quarter.|продажи|Продажи выросли в этом квартале.
lake|NN1|The lake was calm.|озеро|Озеро было спокойным.
gain|VV0|He gained a lot of experience.|приобрести|Он приобрел много опыта.
location|NN1|The location was perfect for the event.|место|Место было идеальным для мероприятия.
otherwise|RG|He was busy, otherwise he would have come.|иначе|Он был занят, иначе бы пришел.
highly|RG|She is highly skilled in programming.|очень|Она очень умела в программировании.
cry|VV0|The baby started to cry.|плакать|Ребенок начал плакать.
associate|VV0|I associate summer with sunshine.|ассоциировать|Я ассоциирую лето с солнечным светом.
connection|NN1|There is a strong connection between them.|связь|Между ними сильная связь.
smart|JJ|He is a smart student.|умный|Он умный студент.
ride|VV0|They decided to ride the bus.|ехать|Они решили ехать на автобусе.
presence|NN1|Her presence brightened the room.|присутствие|Ее присутствие осветило комнату.
crowd|NN1|A large crowd gathered at the event.|толпа|На мероприятие собралась большая толпа.
border|NN1|They crossed the border safely.|граница|Они благополучно пересекли границу.
website|NN1|The website is under maintenance.|сайт|Сайт на техническом обслуживании.
relation|NN1|The relation between them is strong.|отношение|Отношение между ними крепкое.
volume|NN1|She turned up the volume.|громкость|Она увеличила громкость.
extra|JJ|They had some extra food.|дополнительный|У них была дополнительная еда.
hire|VV0|They want to hire a new manager.|нанимать|Они хотят нанять нового менеджера.
forest|NN1|We walked through the forest.|лес|Мы гуляли по лесу.
focus|NN1|Her main focus is on the project.|фокус|Ее главный фокус на проекте.
advice|NN1|He gave me good advice.|совет|Он дал мне хороший совет.
enemy|NN1|The soldiers fought the enemy.|враг|Солдаты сражались с врагом.
female|JJ|She is a female artist.|женский|Она женская художница.
glad|JJ|I'm glad you came.|рад|Я рад, что ты пришел.
kick|VV0|He kicked the ball hard.|пинать|Он сильно пнул мяч.
actor|NN1|He is a famous actor.|актер|Он известный актер.
topic|NN1|The topic was interesting.|тема|Тема была интересной.
session|NN1|The session ended early.|сессия|Сессия закончилась рано.
wine|NN1|They enjoyed a glass of wine.|вино|Они наслаждались бокалом вина.
youth|NN1|The youth of today are tech-savvy.|молодежь|Сегодняшняя молодежь разбирается в технике.
extend|VV0|He extended his hand to help.|протянуть|Он протянул руку, чтобы помочь.
surprise|NN1|The party was a surprise.|сюрприз|Вечеринка была сюрпризом.
slightly|RG|She was slightly annoyed by the noise.|слегка|Ее слегка раздражал шум.
lift|VV0|He lifted the box easily.|поднимать|Он легко поднял коробку.
excuse|VV0|Please excuse my mistake.|извинять|Пожалуйста, извините мою ошибку.
desire|NN1|She has a strong desire to learn.|желание|У нее сильное желание учиться.
anywhere|RG|You can sit anywhere you like.|где угодно|Ты можешь сесть где угодно.
grand|JJ|They had a grand celebration.|великолепный|У них было великолепное празднование.
angry|JJ|He was angry about the delay.|злой|Он был зол из-за задержки.
struggle|VV0|She struggled to finish on time.|бороться|Она боролась, чтобы закончить вовремя.
neck|NN1|He hurt his neck during the game.|шея|Он повредил шею во время игры.
generate|VV0|This machine generates electricity.|производить|Эта машина производит электричество.
literature|NN1|She studied English literature.|литература|Она изучала английскую литературу.
capture|VV0|The camera captured the moment perfectly.|запечатлеть|Камера идеально запечатлела момент.
studio|NN1|She works in a recording studio.|студия|Она работает в звукозаписывающей студии.
circle|NN1|Draw a circle on the paper.|круг|Нарисуйте круг на бумаге.
colleague|NN1|She is my colleague at work.|коллега|Она моя коллега по работе.
works|NN2|The construction works will begin next week.|работы|Строительные работы начнутся на следующей неделе.
comfortable|JJ|This chair is comfortable.|удобный|Этот стул удобный.
teaching|NN1|She enjoys teaching children.|обучение|Она любит обучать детей.
live|JJ|The concert was live on TV.|живой|Концерт транслировался вживую по телевидению.
zone|NN1|This area is a no-parking zone.|зона|Эта зона запрещена для парковки.
minority|NN1|They represent a small minority.|меньшинство|Они представляют небольшое меньшинство.
gender|NN1|We discussed gender roles in society.|гендер|Мы обсудили гендерные роли в обществе.
domestic|JJ|They keep domestic animals on the farm.|домашний|Они держат домашних животных на ферме.
percentage|NN1|A high percentage of people voted.|процент|Высокий процент людей проголосовал.
request|NN1|He made a special request.|запрос|Он сделал особый запрос.
fee|NN1|The entrance fee was $10.|плата|Входная плата составляла 10 долларов.
tooth|NN1|He has a toothache.|зуб|У него болит зуб.
self|NN1|She is finding her true self.|самость|Она находит свою истинную самость.
chapter|NN1|This is the final chapter of the book.|глава|Это последняя глава книги.
shift|VV0|He shifted the gears smoothly.|переключать|Он плавно переключил передачи.
convention|NN1|They attended the annual convention.|конвенция|Они посетили ежегодную конвенцию.
scream|VV0|She screamed when she saw the spider.|кричать|Она закричала, когда увидела паука.
extent|NN1|We don't know the full extent of the damage.|степень|Мы не знаем полной степени ущерба.
accuse|VV0|She accused him of lying.|обвинять|Она обвинила его во лжи.
farmer|NN1|The farmer works from dawn to dusk.|фермер|Фермер работает от рассвета до заката.
contribution|NN1|She made a valuable contribution to the project.|вклад|Она внесла ценный вклад в проект.
question|VV0|He questioned the decision.|спрашивать|Он поставил решение под вопрос.
era|NN1|This marks the end of an era.|эпоха|Это знаменует конец эпохи.
expose|VV0|The scandal was exposed by the media.|разоблачать|Скандал был разоблачен СМИ.
guide|NN1|The tour guide was very knowledgeable.|гид|Гид был очень осведомленным.
escape|VV0|The prisoners tried to escape.|сбежать|Заключенные пытались сбежать.
eliminate|VV0|They aim to eliminate all risks.|устранять|Они стремятся устранить все риски.
pretty|JJ|She wore a pretty dress.|красивый|Она надела красивое платье.
muscle|NN1|He pulled a muscle while running.|мышца|Он потянул мышцу во время бега.
far|RG|He lives far from here.|далеко|Он живет далеко отсюда.
cycle|NN1|The water cycle is important for the environment.|цикл|Водный цикл важен для окружающей среды.
judgment|NN1|Her judgment was fair and balanced.|суждение|Ее суждение было справедливым и взвешенным.
lie|NN1|The lie caused a lot of trouble.|ложь|Ложь вызвала много проблем.
hand|VV0|He handed me the keys.|передавать|Он передал мне ключи.
fast|JJ|The car is fast.|быстрый|Машина быстрая.
basketball|NN1|He plays basketball every weekend.|баскетбол|Он играет в баскетбол каждые выходные.
quote|VV0|She quoted a famous author.|цитировать|Она цитировала известного автора.
immigration|NN1|Immigration policies have changed.|иммиграция|Иммиграционная политика изменилась.
separate|VV0|They decided to separate the items.|разделять|Они решили разделить предметы.
flow|NN1|The flow of the river was strong.|поток|Поток реки был сильным.
technical|JJ|He has technical skills.|технический|У него есть технические навыки.
mark|NN1|He left a mark on the wall.|метка|Он оставил метку на стене.
soil|NN1|The soil is rich in nutrients.|почва|Почва богата питательными веществами.
selection|NN1|The selection of books was impressive.|выбор|Выбор книг был впечатляющим.
resolution|NN1|They passed a resolution at the meeting.|резолюция|Они приняли резолюцию на собрании.
dude|NN1|That dude is really cool.|парень|Тот парень действительно крут.
slow|VV0|Please slow down when driving.|замедлять|Пожалуйста, замедлите скорость при вождении.
essentially|RG|This is essentially the same idea.|по сути|Это по сути та же идея.
offense|NN1|His offense was minor.|проступок|Его проступок был незначительным.
fairly|RG|The test was fairly easy.|довольно|Тест был довольно легким.
pregnant|JJ|She is pregnant with her first child.|беременная|Она беременна своим первым ребенком.
deficit|NN1|The deficit needs to be addressed.|дефицит|Необходимо решить проблему дефицита.
philosophy|NN1|He teaches philosophy at the university.|философия|Он преподает философию в университете.
prosecutor|NN1|The prosecutor presented the evidence.|прокурор|Прокурор представил доказательства.
knife|NN1|He cut the bread with a knife.|нож|Он разрезал хлеб ножом.
housing|NN1|Affordable housing is a priority.|жилье|Доступное жилье — приоритет.
pop|VV0|The balloon popped loudly.|лопнуть|Воздушный шарик громко лопнул.
publication|NN1|The publication is set for next month.|публикация|Публикация запланирована на следующий месяц.
beneath|II|The cat is hiding beneath the bed.|под|Кот прячется под кроватью.
pepper|NN1|She added pepper to the soup.|перец|Она добавила перец в суп.
accomplish|VV0|He accomplished his goal.|достигать|Он достиг своей цели.
consist|VV0|The recipe consists of eggs and milk.|состоять|Рецепт состоит из яиц и молока.
engineering|NN1|He studied engineering at college.|инженерия|Он изучал инженерию в колледже.
jail|NN1|The criminal was sent to jail.|тюрьма|Преступник был отправлен в тюрьму.
brief|JJ|She gave a brief summary.|краткий|Она дала краткое резюме.
shout|VV0|He shouted for help.|кричать|Он закричал о помощи.
avenue|NN1|They walked down the avenue.|проспект|Они шли по проспекту.
scholar|NN1|She is a respected scholar in her field.|ученый|Она уважаемый ученый в своей области.
illness|NN1|The illness spread quickly.|болезнь|Болезнь быстро распространилась.
awesome|JJ|The view was awesome.|потрясающий|Вид был потрясающим.
designer|NN1|She is a famous fashion designer.|дизайнер|Она известный дизайнер моды.
retire|VV0|He plans to retire next year.|уходить на пенсию|Он планирует уйти на пенсию в следующем году.
incredible|JJ|The show was incredible.|невероятный|Шоу было невероятным.
rarely|RG|He rarely misses a meeting.|редко|Он редко пропускает встречи.
giant|NN1|A giant lived in the castle.|гигант|В замке жил гигант.
stream|NN1|The stream flows through the forest.|поток|Поток течет через лес.
twitter|NN1|She shared her thoughts on Twitter.|Твиттер|Она поделилась своими мыслями в Твиттере.
accurate|JJ|The report was accurate.|точный|Отчет был точным.
pay|NN1|He received his pay on Friday.|зарплата|Он получил зарплату в пятницу.
another|DD1|He needs another pen.|другой|Ему нужна другая ручка.
potentially|RG|This could potentially be dangerous.|потенциально|Это может быть потенциально опасным.
slide|VV0|The kids love to slide down the hill.|скользить|Дети любят скользить по холму.
rather|RG|She would rather stay home.|скорее|Она скорее останется дома.
reputation|NN1|He has a good reputation.|репутация|У него хорошая репутация.
giant|JJ|He caught a giant fish.|гигантский|Он поймал гигантскую рыбу.
fishing|NN1|They went fishing on the weekend.|рыбалка|Они ходили на рыбалку в выходные.
stranger|NN1|A stranger helped her find her way.|незнакомец|Незнакомец помог ей найти дорогу.
rape|NN1|The crime of rape is serious.|изнасилование|Преступление изнасилования серьезно.
negotiation|NN1|The negotiation went smoothly.|переговоры|Переговоры прошли гладко.
sequence|NN1|The sequence of events was confusing.|последовательность|Последовательность событий была запутанной.
weigh|VV0|She weighs the options carefully.|взвешивать|Она тщательно взвешивает варианты.
electronic|JJ|They bought a new electronic device.|электронный|Они купили новое электронное устройство.
impression|NN1|Her first impression was positive.|впечатление|Ее первое впечатление было положительным.
visible|JJ|The stars are visible tonight.|видимый|Звезды видны сегодня ночью.
restore|VV0|They plan to restore the old house.|восстанавливать|Они планируют восстановить старый дом.
sauce|NN1|The pasta needs more sauce.|соус|Макаронам нужно больше соуса.
detect|VV0|He detected a faint smell.|обнаруживать|Он обнаружил слабый запах.
apologize|VV0|She apologized for the mistake.|извиняться|Она извинилась за ошибку.
airline|NN1|The airline lost my luggage.|авиакомпания|Авиакомпания потеряла мой багаж.
cent|NN1|The candy costs fifty cents.|цент|Конфета стоит пятьдесят центов.
grandmother|NN1|She visited her grandmother on Sunday.|бабушка|Она навестила свою бабушку в воскресенье.
manufacturer|NN1|The manufacturer recalled the product.|производитель|Производитель отозвал продукт.
roll|NN1|He ate a roll with butter.|булочка|Он съел булочку с маслом.
terrorist|NN1|The terrorist was captured.|террорист|Террорист был захвачен.
violate|VV0|He violated the rules.|нарушать|Он нарушил правила.
unlikely|JJ|It's unlikely to rain today.|маловероятный|Сегодня маловероятно, что будет дождь.
idiot|NN1|He acted like an idiot.|идиот|Он вел себя как идиот.
stadium|NN1|The stadium was packed with fans.|стадион|Стадион был полон болельщиков.
mix|NN1|She made a mix of nuts and dried fruit.|смесь|Она сделала смесь орехов и сухофруктов.
incorporate|VV0|They will incorporate the new data.|включать|Они включат новые данные.
taste|VV0|She tasted the soup before serving.|пробовать|Она попробовала суп перед подачей.
possess|VV0|He possesses a rare talent.|обладать|Он обладает редким талантом.
stake|NN1|The stakes are high in this game.|ставка|Ставки в этой игре высоки.
developer|NN1|He is a software developer.|разработчик|Он разработчик программного обеспечения.
tiger|NN1|The tiger roared loudly.|тигр|Тигр громко рычал.
administrator|NN1|She is the school administrator.|администратор|Она администратор школы.
publisher|NN1|The publisher accepted the manuscript.|издатель|Издатель принял рукопись.
variation|NN1|There is a variation in color.|вариация|Есть вариация в цвете.
tomato|NN1|She added a tomato to the salad.|помидор|Она добавила помидор в салат.
contest|NN1|He won the contest.|конкурс|Он выиграл конкурс.
load|NN1|The truck carried a heavy load.|груз|Грузовик перевозил тяжелый груз.
narrator|NN1|The narrator told the story well.|рассказчик|Рассказчик хорошо рассказал историю.
surprise|VV0|They surprised her with a party.|удивлять|Они удивили ее вечеринкой.
purchase|NN1|The purchase was a good deal.|покупка|Покупка была выгодной.
fate|NN1|She believed in fate.|судьба|Она верила в судьбу.
surprising|JJ|The results were surprising.|удивительный|Результаты были удивительными.
adapt|VV0|They adapted quickly to the new environment.|адаптироваться|Они быстро адаптировались к новой среде.
random|JJ|The selection was random.|случайный|Выбор был случайным.
smell|NN1|The smell of flowers filled the air.|запах|Запах цветов наполнил воздух.
tourist|NN1|The tourist took many photos.|турист|Турист сделал много фотографий.
stable|JJ|The table is stable now.|устойчивый|Стол теперь устойчив.
update|NN1|He received an update on the situation.|обновление|Он получил обновление по ситуации.
friendship|NN1|Their friendship lasted for years.|дружба|Их дружба длилась годами.
humor|NN1|He has a good sense of humor.|юмор|У него хорошее чувство юмора.
chemical|NN1|The chemical reaction was interesting.|химический|Химическая реакция была интересной.
silly|JJ|The movie was silly but fun.|глупый|Фильм был глупым, но веселым.
lifestyle|NN1|He enjoys a healthy lifestyle.|образ жизни|Он наслаждается здоровым образом жизни.
crap|NN1|This movie is total crap.|ерунда|Этот фильм полная ерунда.
imagination|NN1|Her imagination knows no bounds.|воображение|Ее воображение не знает границ.
drawing|NN1|She made a drawing of the house.|рисунок|Она сделала рисунок дома.
guide|VV0|He will guide you through the process.|вести|Он будет вести вас через процесс.
segment|NN1|This segment of the show is interesting.|сегмент|Этот сегмент шоу интересен.
slight|JJ|There was a slight delay.|незначительный|Была небольшая задержка.
can|NN1|He opened a can of soda.|банка|Он открыл банку с газировкой.
sue|VV0|She decided to sue the company.|судиться|Она решила судиться с компанией.
notice|NN1|She put up a notice on the board.|объявление|Она разместила объявление на доске.
canadian|JJ|He is a Canadian citizen.|канадский|Он канадский гражданин.
pill|NN1|She took a pill for her headache.|таблетка|Она приняла таблетку от головной боли.
terrorist|JJ|The terrorist threat was neutralized.|террористический|Террористическая угроза была нейтрализована.
decrease|VV0|The prices will decrease next month.|уменьшаться|Цены снизятся в следующем месяце.
dumb|JJ|He made a dumb mistake.|глупый|Он совершил глупую ошибку.
furthermore|RG|Furthermore, we need to consider the cost.|кроме того|Кроме того, нам нужно учитывать стоимость.
tactic|NN1|The tactic was successful.|тактика|Тактика была успешной.
nerve|NN1|She felt a nerve twitch.|нерв|Она почувствовала, как дернулся нерв.
aircraft|NN1|The aircraft took off smoothly.|самолет|Самолет взлетел плавно.
duke|NN1|The duke lived in a large castle.|герцог|Герцог жил в большом замке.
furniture|NN1|They bought new furniture for the house.|мебель|Они купили новую мебель для дома.
garage|NN1|The car is in the garage.|гараж|Машина в гараже.
allegation|NN1|The allegation was proven false.|обвинение|Обвинение оказалось ложным.
fake|JJ|The ID was fake.|поддельный|Удостоверение личности было поддельным.
grant|NN1|He received a research grant.|грант|Он получил исследовательский грант.
patient|JJ|She was patient with the children.|терпеливый|Она была терпелива с детьми.
whoever|PNQV|Whoever wins the game gets a prize.|кто бы ни|Кто бы ни выиграл игру, получит приз.
membership|NN1|She renewed her gym membership.|членство|Она продлила членство в спортзале.
makeup|NN1|She bought some new makeup.|макияж|Она купила новый макияж.
mall|NN1|They spent the afternoon at the mall.|торговый центр|Они провели день в торговом центре.
courage|NN1|She showed great courage during the crisis.|мужество|Она проявила большое мужество во время кризиса.
mainstream|JJ|The idea became mainstream quickly.|основной|Идея быстро стала основной.
delay|NN1|The flight was delayed due to weather.|задержка|Рейс был задержан из-за погоды.
communist|JJ|They lived under a communist regime.|коммунистический|Они жили при коммунистическом режиме.
palestinian|NN1|The Palestinian leader gave a speech.|палестинец|Палестинский лидер выступил с речью.
till|CS|Let's wait till the rain stops.|пока|Давайте подождем, пока дождь не прекратится.
function|VV0|The machine functions well.|функционировать|Машина функционирует хорошо.
soccer|NN1|He plays soccer every weekend.|футбол|Он играет в футбол каждые выходные.
uncomfortable|JJ|The chair is uncomfortable.|неудобный|Этот стул неудобен.
gospel|NN1|They sang a gospel song.|госпел|Они пели госпел.
fabric|NN1|The dress is made of soft fabric.|ткань|Платье сделано из мягкой ткани.
admire|VV0|I admire her strength.|восхищаться|Я восхищаюсь ее силой.
hunter|NN1|The hunter tracked the deer.|охотник|Охотник выслеживал оленя.
virtual|JJ|They attended a virtual meeting.|виртуальный|Они посетили виртуальную встречу.
athletic|JJ|He has an athletic build.|атлетический|У него атлетическое телосложение.
sword|NN1|The knight carried a sword.|меч|Рыцарь носил меч.
dose|NN1|He took the correct dose of medicine.|доза|Он принял правильную дозу лекарства.
grave|NN1|They visited her grandfather's grave.|могила|Они посетили могилу ее деда.
absorb|VV0|The sponge absorbs water.|впитывать|Губка впитывает воду.
nominee|NN1|The nominee gave a speech.|номинант|Номинант выступил с речью.
nail|NN1|He hammered the nail into the wall.|гвоздь|Он забил гвоздь в стену.
resign|VV0|She decided to resign from her job.|увольняться|Она решила уволиться с работы.
hardware|NN1|The computer hardware needs an upgrade.|оборудование|Компьютерное оборудование требует обновления.
snake|NN1|They found a snake in the garden.|змея|Они нашли змею в саду.
depict|VV0|The painting depicts a peaceful scene.|изображать|Картина изображает мирную сцену.
gradually|RG|The pain gradually subsided.|постепенно|Боль постепенно утихла.
starting|NN1|He had a great starting position in the race.|начальная|У него была отличная начальная позиция в гонке.
rescue|VV0|They rescued the dog from the fire.|спасать|Они спасли собаку от пожара.
praise|VV0|She praised his hard work.|хвалить|Она похвалила его за труд.
van|NN1|They rented a van for the trip.|фургон|Они арендовали фургон для поездки.
counsel|NN1|The lawyer provided good counsel.|совет|Адвокат дал хороший совет.
motive|NN1|His motive was unclear.|мотив|Его мотив был неясен.
chronic|JJ|She suffers from chronic pain.|хронический|Она страдает от хронической боли.
cave|NN1|They explored the dark cave.|пещера|Они исследовали темную пещеру.
driving|JJ|He took a driving test today.|водительский|Он сегодня сдавал водительский тест.
tag|NN1|He removed the price tag.|ярлык|Он снял ценник.
precious|JJ|She lost a precious ring.|драгоценный|Она потеряла драгоценное кольцо.
agricultural|JJ|The country has a strong agricultural sector.|сельскохозяйственный|В стране сильный сельскохозяйственный сектор.
rape|VV0|He was accused of raping someone.|насиловать|Его обвинили в изнасиловании.
powder|NN1|She added baking powder to the recipe.|порошок|Она добавила разрыхлитель в рецепт.
govern|VV0|The mayor governs the city well.|управлять|Мэр хорошо управляет городом.
butt|NN1|He stubbed out the cigarette butt.|окурок|Он потушил окурок.
nonetheless|RG|Nonetheless, we should continue the project.|тем не менее|Тем не менее, мы должны продолжать проект.
speed|VV0|He sped down the highway.|ускорять|Он ускорялся на шоссе.
civilian|NN1|The war affected many civilians.|гражданский|Война затронула многих гражданских.
