|part_of_speech|word_de|word_forms_de|sentence_de|word_meanings_en|word_en|sentence_en
42|adv|so||Er machte es so, wie gesagt wurde.|so, thus, the way, such|the way|He did it the way it was said.
43|part|so||Es war so erstaunlich zu sehen.|so|so|It was so amazing to see.
44|prep|bei||Ich bleibe bei meiner Meinung.|by, with, at|with|I stick with my opinion.
45|pron|sein|seine, seiner, seines|Das ist sein Fahrrad, nicht deins.|his, its|his|That is his bike, not yours.
46|conj|aber||Er wollte kommen, aber er konnte nicht.|but|but|He wanted to come, but he couldn't.
47|part|aber||Aber sicher kommt er heute noch.|||But surely he is still coming today.
48|pron|man||Man sollte immer ehrlich sein.|one, you, they|one|One should always be honest.
49|adv|noch||Er hat noch nicht entschieden.|still, yet|yet|He hasn't decided yet.
50|prep|nach||Nach der Schule gehe ich nach Hause.|after, toward|after|After school, I go home.
51|conj|oder||Willst du Tee oder Kaffee trinken?|or|or|Do you want to drink tea or coffee?
52|pron|all||All diese Fragen müssen geklärt werden.|all|all|All these questions must be clarified.
53|prep|aus||Er zog das Buch aus der Tasche.|out, out of, from|out|He pulled the book out of the bag.
54|pron|was||Was genau willst du damit erreichen?|what|what|What exactly do you want to achieve with that?
55|adv|nur||Ich habe nur noch zehn Minuten.|only|only|I only have ten minutes left.
56|verb|sagen|sagen, sagt, sagte, hat gesagt|Ich wollte dir etwas Wichtiges sagen.|to say, tell|tell|I wanted to tell you something important.
57|adv|dann||Dann gingen sie ins Restaurant.|then|then|Then they went to the restaurant.
58|conj|wenn||Wenn es regnet, bleibe ich zu Hause.|if, when|if|If it rains, I stay at home.
59|verb|müssen|müssen, muss, musste, hat gemusst|Du musst das bis morgen erledigen.|to have to, must|must|You must finish that by tomorrow.
60|conj|um||Er arbeitet, um Geld zu verdienen.|in order to|in order to|He works in order to earn money.
61|prep|um||Er läuft jeden Morgen um den See.|around, at|around|He runs around the lake every morning.
62|part|ja||Ja, ich komme sofort nach Hause.|yes, of course|yes|Yes, I am coming home right away.
63|pron|keine|keine, keiner, keines|Keiner hat heute die Aufgabe erledigt.|no|no|No one completed the task today.
64|prep|über||Er sprang über den Zaun schnell.|above, over, about|over|He quickly jumped over the fence.
65|adv|da||Da liegt das Buch auf dem Tisch.|there|there|There lies the book on the table.
66|conj|da||Er geht nach Hause, da es spät ist.|because|because|He is going home because it is late.
67|verb|geben|geben, gibt, gab, hat gegeben|Sie gibt ihm einen wichtigen Hinweis.|to give|to give|She gives him an important clue.
68|prep|vor||Vor dem Haus wartete ein Mann.|in front of, before, ago|in front of|A man waited in front of the house.
69|pron|mein||Mein Hund wartet immer vor der Tür.|my, mine|my|My dog always waits in front of the door.
70|adv|mehr||Ich brauche mehr Informationen.|more|more|I need more information.
71|das|das Jahr|die Jahre|Das Jahr verging schneller als erwartet.|year|year|The year passed faster than expected.
72|pron|du||Du hast den besten Kuchen gebacken.|you|you|You baked the best cake.
73|prep|durch||Er geht durch den dunklen Wald.|through|through|He walks through the dark forest.
74|pron|viel||Viel kann man darüber nicht sagen.|much, a lot, many|much|Not much can be said about it.
75|verb|wollen|wollen, will, wollte, hat gewollt|Ich will das morgen erledigen.|to want to|to want to|I want to finish that tomorrow.
76|verb|machen|machen, macht, machte, hat gemacht|Er macht das Frühstück für die Familie.|to do, make|to make|He makes breakfast for the family.
77|pron|andere|andere, anderer, anderes|Der andere blieb im Auto sitzen.|other|other|The other stayed in the car.
78|verb|sollen|sollen, soll, sollte, hat gesollt|Du sollst deine Hausaufgaben machen.|should, ought to|should|You should do your homework.
79|adv|schon||Er hat schon angefangen zu essen.|already|already|He has already started eating.
80|part|schon||Das ist schon eine gute Idee, oder?|||That’s really a good idea, isn’t it?
81|verb|kommen|kommen, kommt, kam, ist gekommen|Er kam gestern aus dem Urlaub zurück.|to come|to come|He came back from vacation yesterday.
82|pron|mir||Er hat mir die Wahrheit gesagt.|me|me|He told me the truth.
83|adv|immer||Er kommt immer zu spät nach Hause.|always|always|He always comes home late.
84|pron (relexive, in accusative case)|mich||Ich habe mich für den Job beworben.|||I applied for the job.
85|pron|mich||Er hat mich einfach ignoriert.|me|me|He simply ignored me.
86|verb|gehen|gehen, geht, ging, ist gegangen|Wir müssen jetzt wirklich gehen.|to go|to go|We really need to go now.
87|adj|groß||Der Baum im Garten ist sehr groß.|big, large, great|large|The tree in the garden is very large.
88|adv|hier||Hier beginnt unsere lange Reise.|here|here|Here begins our long journey.
89|adj|ganz||Ich habe den ganzen Tag gearbeitet.|whole, all the|whole|I worked the whole day.
90|part|ganz||Das war ganz anders als erwartet.|quite|quite|That was quite different than expected.
91|num|zwei||Zwei Stunden blieben uns noch übrig.|two|two|We had two hours left.
92|adv|also||Also, wie lösen wir dieses Problem?|so|so|So, how do we solve this problem?
93|adv|jetzt||Jetzt ist der perfekte Moment.|now|now|Now is the perfect moment.
94|adv|doch||Er wollte kommen, doch wurde krank.|however, but|but|He wanted to come, but he got sick.
95|part|doch||Komm doch schnell, es regnet bald!|||Come quickly, it will rain soon!
96|adv|wieder||Wir treffen uns wieder am Freitag.|again|again|We will meet again on Friday.
97|pron|uns||Wir treffen uns morgen um acht Uhr.|us, we|we|We are meeting tomorrow at eight o'clock.
98|adj|gut||Das Wetter ist heute wirklich gut.|good|good|The weather is really good today.
99|conj|bis||Warte hier, bis ich zurück bin.|until|until|Wait here until I get back.
100|prep|bis||Bis morgen bleibt noch viel zu tun.|until, till|until|There is still much to do until tomorrow.
101|verb|wissen|wissen, weiß, wusste, hat gewusst|Ich wusste, dass es so kommen würde.|to know|to know|I knew it would turn out like this.
102|verb|sehen|sehen, sieht, sah, hat gesehen|Er hat den Film schon gesehen.|to see|to see|He has already seen the movie.
103|pron|einer||Einer muss die Wahrheit sagen.|(some)one|(some)one|Someone has to tell the truth.
104|adv|sehr||Er war sehr zufrieden mit dem Ergebnis.|very|very|He was very satisfied with the result.
105|conj|mal||Tausend mal tausend ist eine Million.|times|times|A thousand times a thousand is a million.
106|das|das Mal|die Male|Das erste Mal ist immer besonders.|time, mark|time|The first time is always special.
107|part|mal||Komm mal her und sieh dir das an.|||Come here and take a look at this.
108|verb|lassen|lassen, lässt, ließ, hat gelassen|Er ließ mich die Arbeit machen.|to let, allow, have done|to let|He let me do the work.
109|adj|neu||Ich habe ein neues Buch gekauft.|new|new|I bought a new book.
110|verb|stehen|stehen, steht, stand, hat gestanden|Er stand stundenlang vor dem Haus.|to stand|to stand|He stood in front of the house for hours.
111|pron|unser||Unser Hund ist sehr freundlich.|our|our|Our dog is very friendly.
112|pron|jede|jede, jeder, jedes|Jeder Tag ist eine neue Chance.|every|every|Every day is a new chance.
113|conj|weil||Ich bin müde, weil ich arbeite.|because|because|I am tired because I am working.
114|prep|unter||Der Hund schläft unter dem Tisch.|under|under|The dog is sleeping under the table.
115|der|der Mensch|die Menschen|Der Mensch ist ein soziales Wesen.|human being|human being|The human being is a social creature.
116|pron|ihm||Ich habe ihm das Buch gegeben.|him|him|I gave him the book.
117|pron|ihn||Er sah ihn gestern in der Stadt.|him|him|He saw him in the city yesterday.
118|conj|denn||Er ging nicht, denn es regnete.|because|because|He didn't go because it was raining.
119|part|denn||Was machst du denn am Wochenende?|anyway|anyway|What are you doing on the weekend, anyway?
120|das|das Beispiel|die Beispiele|Das Beispiel zeigt es deutlich.|example|example|The example shows it clearly.
121|adj|erste|erste, erster, erstes|Der erste Schnee ist gefallen.|first|first|The first snow has fallen.
122|die|die Zeit|die Zeiten|Die Zeit verging sehr schnell.|time|time|Time passed very quickly.
123|adj|lang||Der lange Weg führt durch den Wald.|long|long|The long path leads through the forest.
124|adv|lang||Seine Geduld reichte nicht lang.|for a long time|for a long time|His patience didn't last for a long time.
125|verb|leben|leben, lebt, lebte, hat gelebt|Er lebt schon lange in dieser Stadt.|to live|to live|He has lived in this city for a long time.
126|die|die Frau|die Frauen|Die Frau winkte aus dem Fenster.|woman, wife, Mrs.|woman|The woman waved from the window.
127|pron|etwas||Etwas muss hier falsch gelaufen sein.|something, some, a little|something|Something must have gone wrong here.
128|part|selbst|selbst, selber|Selbst die Experten waren überrascht.|even|even|Even the experts were surprised.
129|pron|selbst|selbst, selber|Er hat das Auto selbst repariert.|-self|-self|He repaired the car himself.
130|adj|wenig||Wir haben wenige Optionen übrig.|few|few|We have few options left.
131|pron|wenige||Wenige wussten von dem Geheimnis.|little, few|few|Few knew about the secret.
132|verb|finden|finden, findet, fand, hat gefunden|Er findet den Schlüssel unter dem Sofa.|to find|to find|He finds the key under the sofa.
133|prep|gegen||Er kämpfte gegen den starken Wind.|against|against|He fought against the strong wind.
134|prep|zwischen||Zwischen den Bäumen war es dunkel.|between|between|It was dark between the trees.
135|num|drei||Drei Freunde gingen zusammen ins Kino.|three|three|Three friends went to the cinema together.
136|verb|liegen|liegen, liegt, lag, hat gelegen|Das Buch liegt auf dem Schreibtisch.|to lie|to lie|The book is lying on the desk.
137|pron|wo||Wo liegt der Schlüssel, den du suchst?|where|where|Where is the key that you are looking for?
138|pron|nichts|nichts, nix|Nichts ist für immer verloren.|nothing|nothing|Nothing is lost forever.
139|adj|klein||Das Haus ist klein, aber gemütlich.|small, little|small|The house is small but cozy.
140|der|der Tag|die Tage|Der Tag begann mit Sonnenschein.|day|day|The day began with sunshine.
141|adj|deutsch||Er liest gerne deutsche Literatur.|German|German|He enjoys reading German literature.
142|das|das Deutsch||Er lernt Deutsch in der Schule.|German|German|He is learning German at school.
143|verb|bleiben|bleiben, bleibt, blieb, ist geblieben|Er blieb die ganze Nacht wach.|to stay, remain|to stay|He stayed awake all night.
144|adv|nun|nun, nu|Nun beginnen wir mit der Arbeit.|now|now|Now we start with the work.
145|conj|sondern||Er ist nicht faul, sondern fleißig.|but (on the contrary)|but (on the contrary)|He is not lazy but diligent.
146|adv|heute||Heute müssen wir viel erledigen.|today|today|Today we have a lot to do.
147|pron|beide||Beide trafen sich gestern wieder.|both|both|Both met again yesterday.
148|adj|hoch||Der Baum ist sehr hoch gewachsen.|high, tall|tall|The tree has grown very tall.
149|pron|damit||Er ist endlich zufrieden damit.|with it|with it|He is finally content with it.
150|conj|ohne||Er ging ohne ein Wort zu sagen.|without|without|He left without saying a word.
151|prep|ohne||Ohne ihn ist alles halb so schön.|without|without|Without him, everything is half as nice.
152|der|der Mann|die Männer|Der Mann hilft seinem Nachbarn oft.|man|man|The man often helps his neighbor.
153|pron|welche|welche, welcher, welches|Welches Buch suchst du gerade?|which|which|Which book are you currently looking for?
154|verb|tun|tun, tut, tat, hat getan|Ich weiß nicht, was ich tun soll.|to do|to do|I don't know what I should do.
155|adv|einmal||Wir treffen uns einmal pro Woche.|once|once|We meet once a week.
156|pron|ihnen||Er hat ihnen das Buch gegeben.|them|them|He gave them the book.
157|pron|Ihnen||Ich habe Ihnen das Buch geschickt.|you|you|I sent you the book.
158|verb|heißen|heißen, heißt, hieß, hat geheißen|Er heißt Max und wohnt in Berlin.|to be called|to be called|He is called Max and lives in Berlin.
159|conj|ob||Ob er es schafft, ist fraglich.|whether, if|whether|Whether he will make it is questionable.
160|verb|denken|denken, denkt, dachte, hat gedacht|Er denkt oft an seine Kindheit.|to think|to think|He often thinks about his childhood.
161|pron|dabei||Er war dabei, als es passierte.|with it, there|there|He was there when it happened.
162|prep|seit||Ich wohne hier seit drei Jahren.|since, for|for|I have lived here for three years.
163|adj|einfach||Das einfache Problem war schnell gelöst.|simple, easy|simple|The simple problem was quickly solved.
164|part|einfach||Das war einfach nicht das Richtige.|simply|simply|That simply wasn’t the right thing.
165|adv|erst||Sie kam erst um Mitternacht nach Hause.|first, only, not until|not until|She didn’t come home until midnight.
166|part|erst||Ich habe es erst gestern erfahren.|||I only found out about it yesterday.
167|das|das Kind|die Kinder|Das Kind spielt im Sandkasten.|child|child|The child is playing in the sandbox.
168|das|das Land|die Länder|Das Land ist sehr weit und grün.|land, country, state|land|The land is very wide and green.
169|verb|stellen|stellen, stellt, stellte, hat gestellt|Ich stelle die Vase auf den Tisch.|to place, set, put|to place|I place the vase on the table.
170|verb|zeigen|zeigen, zeigt, zeigte, hat gezeigt|Er zeigt mir den Weg zur Stadt.|to show|to show|He shows me the way to the city.
171|adj|natürlich||Der Fluss folgt seinem natürlichen Lauf.|natural|natural|The river follows its natural course.
172|adv|natürlich||Natürlich komme ich, wie versprochen.|naturally, of course|of course|Of course, I will come as promised.
173|adj|alt||Das Buch ist sehr alt, aber interessant.|old|old|The book is very old but interesting.
174|adv|dort||Dort drüben ist ein schöner Park.|there|there|There is a beautiful park over there.
175|das|Deutschland||Deutschland ist bekannt für Autos.|Germany|Germany|Germany is known for cars.
176|adj|gleich||Wir haben das gleiche Problem.|same, right away, just|same|We have the same problem.
177|verb|nehmen|nehmen, nimmt, nahm, hat genommen|Er nahm das Buch und ging weg.|to take|to take|He took the book and walked away.
178|verb|dürfen|dürfen, darf, durfte, hat gedurft|Er durfte nicht ohne Erlaubnis gehen.|to be allowed to may|to be allowed to|He was not allowed to leave without permission.
179|adj|wichtig||Pünktlichkeit ist im Job wichtig.|important|important|Punctuality is important in the job.
180|adv|vielleicht||Vielleicht sehen wir uns nächste Woche.|perhaps, maybe|perhaps|Perhaps we’ll see each other next week.
181|part|vielleicht||Das war vielleicht ein Abenteuer!|||That was quite an adventure!
182|verb|hören|hören, hört, hörte, hat gehört|Ich höre oft Musik beim Arbeiten.|to hear|to hear|I often hear music while working.
183|das|das Haus|die Häuser|Das Haus steht leer seit Monaten.|house|house|The house has been empty for months.
184|part|nein|nein, nee, nö|Nein, das kann nicht wahr sein!|no|no|No, that can't be true!
185|pron|wer||Wer hat den Schlüssel genommen?|who, whoever|who|Who took the key?
186|pron|dazu||Er hat nichts weiter dazu gesagt.|in addition, furthermore, to that, for that|to that|He didn't say anything more about that.
187|adj|eigentlich||Er ist der eigentliche Besitzer.|actual, real|actual|He is the actual owner.
188|adv|eigentlich||Eigentlich wollte ich früher kommen.|actually|actually|Actually, I wanted to come earlier.
189|part|eigentlich||Er sollte eigentlich schon hier sein.|||He should actually be here already.
190|adj|letzte|letzte, letzter, letztes|Die letzte Chance ist nun vorbei.|last|last|The last chance is now gone.
191|verb|fragen|fragen, fragt, fragte, hat gefragt|Er fragte nach dem Weg zum Bahnhof.|to ask|to ask|He asked for the way to the train station.
192|der|der Herr|die Herren|Der Herr Müller ist heute nicht im Büro.|Mr.|Mr.|Mr. Müller is not in the office today.
193|verb|halten|halten, hält, hielt, hat gehalten|Er hält das Seil fest in der Hand.|to stop, hold|to hold|He holds the rope firmly in his hand.
194|verb|glauben|glauben, glaubt, glaubte, hat geglaubt|Er glaubt an das Gute im Menschen.|to believe|to believe|He believes in the good in people.
195|die|die Frage|die Fragen|Die Frage blieb unbeantwortet.|question|question|The question remained unanswered.
196|verb|gelten|gelten, gilt, galt, hat gegolten|Das Angebot gilt nur für heute.|to be valid|to be valid|The offer is only valid for today.
197|adj|gerade||Er hat die Linie gerade gezogen.|straight|straight|He drew the line straight.
198|adv|gerade||Er kam gerade noch rechtzeitig.|just, just now, right now|just|He arrived just in time.
199|verb|folgen|folgen, folgt, folgte, ist gefolgt|Der Hund folgte seinem Besitzer.|to follow|to follow|The dog followed its owner.
200|verb|sprechen|sprechen, spricht, sprach, hat gesprochen|Wir haben lange miteinander gesprochen.|to speak|to speak|We spoke with each other for a long time.
201|verb|führen|führen, führt, führte, hat geführt|Er führt die Gruppe durch den Wald.|to lead|to lead|He leads the group through the forest.
202|verb|bringen|bringen, bringt, brachte, hat gebracht|Er brachte das Paket zur Post.|to bring, take|to take|He took the package to the post office.
203|die|die Welt|die Welten|Die Welt dreht sich immer weiter.|world|world|The world keeps on turning.
204|adv|gar||Er war gar nicht so überrascht.|at all|at all|He wasn't surprised at all.
205|adj|eigen||Er brachte sein eigenes Essen mit.|own|own|He brought his own food.
206|adj|genau||Der genaue Termin steht noch aus.|exact|exact|The exact date is yet to be set.
207|verb|mögen|mögen, mag, mochte, hat gemocht|Er mochte den Kuchen sehr gern.|to like|to like|He really liked the cake.
208|adj|spät||Es ist schon zu spät für eine Antwort.|late|late|It is already too late for a response.
209|adj|spät||Die späte Ankunft sorgte für Unruhe.|later|later|The later arrival caused unrest.
210|adv|bereits||Er ist bereits auf dem Weg hierher.|already|already|He is already on his way here.
211|adj|möglich||Bei uns ist fast alles möglich.|possible|possible|Almost anything is possible with us.
212|adv|möglich||Wir machen es so schnell wie möglich.|as . . . as possible, if possible|as . . . as possible|We will do it as quickly as possible.
213|das|das Prozent|die Prozente|Das Produkt ist zehn Prozent teurer.|percent|percent|The product is ten percent more expensive.
214|conj|während||Während ich lese, höre ich Musik.|while, whereas|while|While I read, I listen to music.
215|prep|während||Während des Tages arbeite ich.|during, while|during|During the day, I work.
216|pron|einige||Einige von uns gingen früh nach Hause.|a few, some|some|Some of us went home early.
217|pron|dafür||Ich bin dafür, dass wir loslegen.|for it, for that|for it|I am for it, that we should get started.
218|adj|kurz||Das Meeting war kurz, aber produktiv.|short|short|The meeting was short but productive.
219|adj|richtig||Dein Vorschlag war absolut richtig.|correct, right|correct|Your suggestion was absolutely correct.
220|adj|stark||Der Wind wehte heute besonders stark.|strong|strong|The wind blew particularly strong today.
221|verb|brauchen|brauchen, braucht, brauchte, hat gebraucht|Wir brauchen mehr Informationen.|to need|to need|We need more information.
222|die|die Hand|die Hände|Er hält die Hand seiner Mutter.|hand|hand|He holds his mother's hand.
223|adv|etwa||Etwa zehn Leute kamen zur Party.|about, approximately|about|About ten people came to the party.
224|part|etwa||Das ist eben nicht so einfach.|after all|after all|That is not so simple after all.
225|adj|weitere|weitere, weiterer, weiteres|Ein weiterer Vorschlag wurde gemacht.|additional, further|further|A further suggestion was made.
226|das|das Ende|die Enden|Das Ende des Films war überraschend.|end|end|The end of the film was surprising.
227|verb|schreiben|schreiben, schreibt, schrieb, hat geschrieben|Er schreibt einen Brief an seine Mutter.|to write|to write|He is writing a letter to his mother.
228|pron|solch||Solch ein Verhalten ist unakzeptabel.|such|such|Such behavior is unacceptable.
229|adv|nie||Er hat nie wieder daran gedacht.|never|never|He never thought about it again.
230|der|der Fall|die Fälle|Der Fall wurde schnell gelöst.|fall, case|case|The case was solved quickly.
231|adj|schön||Am See war es gestern sehr schön.|beautiful, pleasant, good|beautiful|It was very beautiful at the lake yesterday.
232|adj|wirklich||Das wirkliche Problem liegt woanders.|real, actual|real|The real problem lies elsewhere.
233|adv|wirklich||Das war wirklich eine Überraschung.|really, actually|really|That was really a surprise.
234|pron|denen||Er hilft denen, die ihn brauchen.|whom, that|whom|He helps those whom need him.
235|verb|nennen|nennen, nennt, nannte, hat genannt|Sie nannten ihre Tochter Maria.|to name, call|to name|They named their daughter Maria.
236|adv|warum||Warum fragst du immer wieder dasselbe?|why|why|Why do you keep asking the same thing?
237|verb|ziehen|ziehen, zieht, zog, hat gezogen|Er zog die Tür leise hinter sich zu.|to pull, move|to pull|He quietly pulled the door shut behind him.
238|das|das Wort|die Wörter|Das Wort hat viele Bedeutungen.|word|word|The word has many meanings.
239|pron|darauf|darauf, drauf|Die Katze sprang plötzlich darauf.|on it, to it|on it|The cat jumped on it suddenly.
240|adv|eben|eben, ebend|Ich habe ihn eben an der Tür gesehen.|just, now|just|I just saw him at the door.
241|part|eben|eben, ebend|So ist das eben manchmal im Leben.|just|just|That's just how life is sometimes.
242|die|die Seite|die Seiten|Der Fluss ist auf der rechten Seite.|side, page|side|The river is on the right side.
243|der, das|das Teil|die Teile|Das Teil des Motors ist defekt.|part|part|The part of the engine is defective.
244|adj|jung||Der junge Mann geht zur Arbeit.|young|young|The young man goes to work.
245|num|vier||Vier Freunde kamen zusammen zum Essen.|four|four|Four friends came together for a meal.
246|adj|besser||Heute fühle ich mich schon besser.|better|better|Today I already feel better.
247|adv|fast||Er war fast zu spät zur Besprechung.|almost|almost|He was almost too late for the meeting.
248|adj|schnell||Der schnelle Läufer gewann das Rennen.|fast|fast|The fast runner won the race.
249|die|die Stadt|die Städte|Die Stadt leuchtet in der Nacht hell.|city, town|city|The city lights up brightly at night.
250|verb|spielen|spielen, spielt, spielte, hat gespielt|Die Kinder spielen fröhlich im Park.|to play|to play|The children play happily in the park.
251|adv|zwar||Er kommt zwar spät, aber er kommt.|admittedly, to be precise|admittedly|He comes late, admittedly, but he does come.
252|der|der Euro|die Euros|Der Euro ist eine stabile Währung.|euro (unit of currency)|euro (unit of currency)|The euro is a stable currency.
253|die|die Arbeit|die Arbeiten|Die Arbeit begann um acht Uhr.|work|work|The work began at eight o'clock.
254|die|die Million (Mio.)|die Millionen|Der Gewinn beträgt eine Million Euro.|million|million|The profit amounts to one million euros.
255|das|das Problem|die Probleme|Das Problem ist schnell gelöst.|problem|problem|The problem is quickly solved.
256|verb|verstehen|verstehen, versteht, verstand, hat verstanden|Er versteht die Aufgabe nicht.|to understand|to understand|He does not understand the task.
257|verb|bekommen|bekommen, bekommt, bekam, hat bekommen|Er bekommt morgen sein Gehalt.|to get, receive|receive|He will receive his salary tomorrow.
258|verb|meinen|meinen, meint, meinte, hat gemeint|Er meint, das wäre eine gute Idee.|to think, have an opinion|to think|He thinks that would be a good idea.
259|pron|davon||Er hat bisher nichts davon gehört.|from it, about it, thereof|about it|He hasn't heard anything about it so far.
260|verb|fahren|fahren, fährt, fuhr, ist gefahren|Sie fährt jeden Morgen zur Arbeit.|to drive, ride, go|to drive|She drives to work every morning.
261|verb|kennen|kennen, kennt, kannte, hat gekannt|Ich kenne ihn seit vielen Jahren.|to know|to know|I have known him for many years.
262|pron|dich||Ich habe dich lange nicht gesehen.|you, yourself|you|I haven't seen you for a long time.
263|die|die Mutter|die Mütter|Die Mutter umarmte ihr Kind liebevoll.|mother|mother|The mother lovingly embraced her child.
264|die|die Woche|die Wochen|Die Woche ging sehr schnell vorbei.|week|week|The week passed very quickly.
265|der|der Weg|die Wege|Der Weg führte direkt zum Ziel.|path, way|path|The path led directly to the goal.
266|adv|weiter||Er ging weiter, ohne sich umzusehen.|further|further|He walked further without looking back.
267|das|das Auge|die Augen|Sie hat ein blaues Auge nach dem Sturz.|eye|eye|She got a black eye after the fall.
268|adv|oft||Er besucht sie oft am Wochenende.|often|often|He often visits her on the weekend.
269|die (pl)||die Leute|Die Leute gingen schweigend fort.|people|people|The people left in silence.
270|adv|allerdings||Allerdings war die Entscheidung richtig.|though, indeed, certainly|indeed|Indeed, the decision was correct.
271|adv|sogar||Sogar der Hund versteht das Signal.|even, in fact|even|Even the dog understands the signal.
272|adv|jedoch||Er kam, jedoch war er zu spät.|however|however|He came, however, he was too late.
273|verb|setzen|setzen, setzt, setzte, hat gesetzt|Er setzt das Glas auf den Tisch.|to set, place, put|to place|He places the glass on the table.
274|verb|setzen|setzen, setzt, setzte, hat gesetzt|Er setzte sich leise auf den Stuhl.|to sit down|to sit down|He sat down quietly on the chair.
275|adv|deshalb||Deshalb nahm er nicht am Treffen teil.|therefore|therefore|Therefore, he didn’t attend the meeting.
276|adj|weit||Der weite Weg führte zum Strand.|widely, far|far|The far road led to the beach.
277|verb|sitzen|sitzen, sitzt, saß, hat gesessen|Er hat stundenlang am Fenster gesessen.|to sit|to sit|He sat at the window for hours.
278|der|der Vater|die Väter|Der Vater holte seine Tochter ab.|father|father|The father picked up his daughter.
279|pron|dein||Dein Buch liegt noch im Wohnzimmer.|your|your|Your book is still in the living room.
280|verb|arbeiten|arbeiten, arbeitet, arbeitete, hat gearbeitet|Er arbeitet seit Jahren in dieser Firma.|to work|to work|He has been working at this company for years.
281|das|das Geld|die Gelder|Ich habe mein ganzes Geld ausgegeben.|money|money|I spent all my money.
282|das|das Unternehmen|die Unternehmen|Das Unternehmen expandiert weiter.|enterprise, company|company|The company is expanding further.
