Der Hund ist groß.|The dog is big.
Es war das erste Mal.|It was the first time.


Lass mich in Ruhe.|Leave me alone.
Ein neues Buch.|A new book.
Er steht da.|He stands there.
Unser Haus ist groß.|Our house is big.
Jeder Tag ist anders.|Every day is different.
Ich bin müde, weil ich arbeite.|I am tired because I work.
Der Hund schläft unter dem Tisch.|The dog sleeps under the table.
Der Mensch ist klug.|The human being is smart.
Ich gebe ihm das Buch.|I give him the book.
Ich sehe ihn jeden Tag.|I see him every day.
Er kommt, denn er muss.|He comes because he must.
Was denn?|What anyway?
Ein gutes Beispiel.|A good example.
Das erste Mal.|The first time.
Die Zeit vergeht schnell.|Time flies.
Der Fluss ist lang.|The river is long.

Ich lebe in Deutschland.|I live in Germany.
Die Frau liest.|The woman reads.
Ich sehe etwas dort.|I see something there.
Er hat es selbst gemacht.|He did it himself.
Selbst ich kann das.|Even I can do that.
Er hat wenig Geld.|He has little money.
Es gibt wenig Hoffnung.|There is little hope.
Ich finde den Schlüssel.|I find the key.
Er ist gegen die Idee.|He is against the idea.
Er steht zwischen den Bäumen.|He stands between the trees.
Drei Hunde spielen.|Three dogs play.
Das Buch liegt auf dem Tisch.|The book lies on the table.
Wo bist du?|Where are you?
Ich sehe nichts.|I see nothing.
Das ist ein kleines Haus.|That is a small house.
Der Tag ist schön.|The day is beautiful.
Das deutsche Auto.|The German car.

Er bleibt hier.|He stays here.
Nun bin ich müde.|Now I am tired.
Nicht dies, sondern das.|Not this, but that.
Heute ist ein guter Tag.|Today is a good day.
Beide kommen morgen.|Both come tomorrow.
Das Haus ist hoch.|The house is tall.
Ich bin damit einverstanden.|I agree with it.
Ohne dich kann ich nicht.|Without you, I can't.

Der Mann ist stark.|The man is strong.
Welches Buch liest du?|Which book do you read?
Ich weiß nicht, was ich tun soll.|I don't know what to do.
Einmal ist keinmal.|Once is nothing.
Ich gebe ihnen das Buch.|I give them the book.

Wie heißen Sie?|What is your name?
Ich frage, ob er kommt.|I ask if he is coming.
Ich denke an dich.|I think of you.
Er ist dabei.|He is there.
Ich wohne hier seit drei Jahren.|I have lived here for three years.
Einfach und klar.|Simple and clear.
Das ist einfach toll.|That is simply great.
Ich komme erst morgen.|I will come only tomorrow.
Zuerst die Arbeit.|Work first.
Das Kind spielt.|The child plays.
Das Land ist schön.|The country is beautiful.
Ich stelle die Vase auf den Tisch.|I place the vase on the table.
Er zeigt mir das Bild.|He shows me the picture.
Das ist natürlich.|That is natural.
Natürlich komme ich.|Of course I come.
Das alte Haus.|The old house.
Ich bin dort.|I am there.
Deutschland ist schön.|Germany is beautiful.
Wir haben das gleiche Problem.|We have the same problem.
Ich nehme den Bus.|I take the bus.
Du darfst hier nicht parken.|You may not park here.
Das ist wichtig.|That is important.
Vielleicht kommt er.|Maybe he comes.
Das ist vielleicht wahr.|That is perhaps true.
Ich höre Musik.|I listen to music.
Das Haus ist groß.|The house is big.
Nein, danke.|No, thank you.
Wer ist das?|Who is that?
Er gehört dazu.|He belongs to that.
Das ist eigentlich gut.|That is actually good.
Eigentlich mag ich es.|Actually, I like it.

Das letzte Mal.|The last time.
Ich frage ihn.|I ask him.
Herr Schmidt ist nett.|Mr. Schmidt is nice.
Er hält den Ball.|He holds the ball.
Ich glaube dir.|I believe you.
Das ist die Frage.|That is the question.
Das Gesetz gilt.|The law is valid.
Ein gerades Haus.|A straight house.
Ich mache es gerade.|I am doing it right now.
Er folgt dem Hund.|He follows the dog.
Sie spricht Deutsch.|She speaks German.
Er führt die Gruppe.|He leads the group.
Er bringt ein Buch.|He brings a book.
Die Welt ist groß.|The world is big.
Das ist gar nicht schlecht.|That is not bad at all.
Er hat ein eigenes Zimmer.|He has his own room.
Das ist genau richtig.|That is exactly right.
Ich mag dieses Buch.|I like this book.
Es ist schon spät.|It is already late.
Später werde ich kommen.|I will come later.
Er hat bereits gegessen.|He has already eaten.
Das ist möglich.|That is possible.
So schnell wie möglich.|As fast as possible.
Zehn Prozent der Leute.|Ten percent of the people.
Während ich lese, höre ich Musik.|While I read, I listen to music.
Während des Tages arbeite ich.|During the day, I work.
Einige Menschen sind hier.|Some people are here.
Ich bin dafür.|I am for it.
Ein kurzes Gespräch.|A short conversation.
Das ist richtig.|That is correct.
Er ist stark.|He is strong.
Ich brauche Hilfe.|I need help.
Sie hebt die Hand.|She raises her hand.
Etwa zehn Minuten.|About ten minutes.
Etwa ist es zu spät.|After all, it is too late.
Weitere Informationen.|Further information.
Das Ende ist nah.|The end is near.
Er schreibt einen Brief.|He writes a letter.
Solche Bücher mag ich.|I like such books.
Er kommt nie zu spät.|He is never late.
Im Fall eines Falles.|In case of emergency.
Das ist schön.|That is beautiful.
Ist das wirklich wahr?|Is that really true?

Die Menschen, denen ich vertraue.|The people whom I trust.
Er nennt mich Freund.|He calls me friend.
Warum fragst du?|Why do you ask?
Er zieht die Tür auf.|He pulls the door open.
Ein deutsches Wort.|A German word.
Ich freue mich darauf.|I am looking forward to it.
Das ist eben so.|That is just how it is.

Auf der linken Seite.|On the left side.
Ein Teil des Ganzen.|A part of the whole.
Ein junges Mädchen.|A young girl.
Vier Katzen spielen.|Four cats play.
Das ist besser.|That is better.
Er ist fast fertig.|He is almost ready.
Das Auto ist schnell.|The car is fast.
Die Stadt ist groß.|The city is big.
Er spielt Fußball.|He plays soccer.
Er kommt zwar, aber spät.|He is coming, admittedly, but late.
Ein Euro für ein Brot.|One euro for a bread.
Die Arbeit ist schwer.|The work is hard.
Eine Million Menschen.|A million people.
Das ist ein Problem.|That is a problem.
Ich verstehe dich.|I understand you.
Ich bekomme ein Geschenk.|I receive a gift.
Er meint es gut.|He means well.
Ich weiß nichts davon.|I know nothing about it.
Er fährt nach Hause.|He drives home.
Ich kenne ihn.|I know him.
Ich sehe dich.|I see you.
Meine Mutter ist hier.|My mother is here.
Die Woche war gut.|The week was good.
Der Weg ist lang.|The path is long.
Ich gehe weiter.|I go further.
Er hat schöne Augen.|He has beautiful eyes.
Ich lese oft Bücher.|I often read books.
Viele Leute sind hier.|Many people are here.
Das ist allerdings richtig.|That is certainly correct.
Er ist sogar größer.|He is even taller.
Er kommt jedoch nicht.|He does not come, however.
Er setzt das Glas auf den Tisch.|He sets the glass on the table.
Er setzt sich auf den Stuhl.|He sits down on the chair.
Deshalb bin ich hier.|Therefore I am here.
Der Weg ist weit.|The path is far.
Er sitzt auf dem Stuhl.|He sits on the chair.
Mein Vater ist stark.|My father is strong.
Das ist dein Buch.|That is your book.
Er arbeitet hart.|He works hard.
Ich brauche Geld.|I need money.
Das Unternehmen ist groß.|The company is big.
Die nächste Woche.|The next week.
Er erklärt das Problem.|He explains the problem.
Das Wasser ist klar.|The water is clear.
Der Doktor ist da.|The doctor is there.
Ein glückliches Paar.|A happy couple.
Ich habe ein paar Fragen.|I have a few questions.

Das Recht ist wichtig.|The law is important.

Wegen des Regens.|Because of the rain.
Ich gebe dir das Buch.|I give you the book.
Das Wasser ist kalt.|The water is cold.
Die Firma besteht seit 1990.|The company has existed since 1990.
Ich versuche es.|I try it.
Ein Punkt im Text.|A dot in the text.
Der Grund ist klar.|The reason is clear.
Der Kopf tut weh.|The head hurts.
Wann beginnt der Film?|When does the movie begin?
Er läuft jeden Morgen.|He runs every morning.
Das Bild ist schön.|The picture is beautiful.
Sie haben verschiedene Ideen.|They have different ideas.
Ihr Name ist bekannt.|Her name is well-known.
Die Aufgabe ist schwer.|The task is difficult.
Das Buch ist schwer.|The book is heavy.
Das Ergebnis entspricht den Erwartungen.|The result corresponds to expectations.
Wir treffen uns um acht.|We meet at eight.
Welche Art von Musik magst du?|What kind of music do you like?
Er fühlt sich wohl.|He feels well.
Wohl wird es regnen.|It will probably rain.
Die Geschichte ist spannend.|The story is exciting.
Erzählen Sie mir mehr!|Tell me more!
Neue Ideen entstehen oft spontan.|New ideas often originate spontaneously.
Er fühlt sich sicher.|He feels safe.
Das Auto steht neben dem Haus.|The car is next to the house.
Sie wohnt allein.|She lives alone.
Die Abbildung ist hilfreich.|The illustration is helpful.
Der Garten liegt hinter dem Haus.|The garden is behind the house.
Ich mag besonders die Farben.|I particularly like the colors.
Er trägt eine schwere Tasche.|He carries a heavy bag.
Ich habe kaum geschlafen.|I hardly slept.
Er ist mein bester Freund.|He is my best friend.
Ich habe fünf Bücher.|I have five books.
Die Sonne scheint heute.|The sun is shining today.
Die Stunde war interessant.|The hour was interesting.
Du siehst müde aus.|You look tired.
Ich spiele gern Tennis.|I love to play tennis.
Hast du überhaupt Zeit?|Do you have time at all?
Das ist bestimmt richtig.|That is certainly correct.
Er kam sowie sie ging.|He came as soon as she left.
Der Professor erklärt es gut.|The professor explains it well.
Wir sprechen darüber morgen.|We will talk about it tomorrow.
Das ist das Haus, deren Fenster offen sind.|That is the house whose windows are open.
Wir schaffen das gemeinsam.|We manage that together.
Damals war alles anders.|Everything was different then.
Ich habe deinen Brief erhalten.|I received your letter.
Ich lerne Deutsch.|I am learning German.
Ich bin heute frei.|I am free today.
Der Wert dieser Münze ist hoch.|The value of this coin is high.
Das hat keinen Wert.|That has no worth.
Sie oder beziehungsweise er kommt.|She or respectively he is coming.
Ich arbeite daran.|I am working on it.
Ich suche meine Schlüssel.|I am looking for my keys.
Europa ist vielfältig.|Europe is diverse.
Wir haben ein gemeinsames Ziel.|We have a common goal.
Die Erde ist rund.|The Earth is round.
Rund 100 Leute kamen.|Approximately 100 people came.
Die Zahl der Gäste steigt.|The number of guests is increasing.
Das Thema ist interessant.|The topic is interesting.
Er handelt mit Aktien.|He deals in stocks.
Das Buch ist neu.|The book is new.
Ich brauche ein bisschen Hilfe.|I need a little help.
Das ist deutlich besser.|That is clearly better.
Alles ist jetzt anders.|Everything is different now.
Er ist politisch engagiert.|He is politically engaged.
Ich lese gern Romane.|I love to read novels.
Der Blick auf das Meer ist schön.|The view of the sea is beautiful.
Die Form ist rund.|The shape is round.
Jeder einzelne zählt.|Every single one counts.
Wir müssen das Ziel erreichen.|We must reach the goal.
Die Zeit vergeht schnell.|Time passes quickly.
Diese Aufgabe ist leicht.|This task is easy.
Je mehr, desto besser.|The more, the better.

Er will nicht verlieren.|He doesn't want to lose.
Das ist die beste Wahl.|That is the best choice.
Wir bilden eine Gruppe.|We form a group.
Der Monat ist fast vorbei.|The month is almost over.
Die Lösung ist einfach.|The solution is simple.
Die Sache ist kompliziert.|The thing is complicated.
Das Lied ist bekannt.|The song is well-known.
Das Ziel ist in Sicht.|The goal is in sight.
Die Preise steigen ständig.|The prices are constantly rising.
Ich komme eher morgen.|I will come rather tomorrow.
Er isst einen Apfel.|He is eating an apple.
Ich brauche eine Minute.|I need a minute.
Die Nacht war ruhig.|The night was calm.
Die Nacht ist dunkel.|The night is dark.
Der Platz ist besetzt.|The place is occupied.
Das Wetter ist schlecht.|The weather is bad.
Das Spiel war spannend.|The game was exciting.
Die Familie ist groß.|The family is big.
Jemand hat angerufen.|Someone called.
Das Auto, dessen Motor laut ist.|The car whose engine is loud.
Die Blätter fallen im Herbst.|The leaves fall in autumn.
Er hat zehn Finger.|He has ten fingers.
Der Preis ist hoch.|The price is high.
Das Essen ist europäisch.|The food is European.
Kommst du sonst wann?|Are you coming at some other time?
Der Staat hat neue Gesetze.|The state has new laws.
Kannst du mir helfen?|Can you help me?
Der Bereich ist groß.|The area is large.
Das ist tatsächlich passiert.|That actually happened.
Der Ort ist malerisch.|The place is picturesque.
Der Abend war schön.|The evening was beautiful.
Der Abend beginnt früh.|The evening begins early.
Das ist die einzige Lösung.|That is the only solution.
Die Stelle ist perfekt.|The place is perfect.
Die Meinungen sind unterschiedlich.|The opinions are different.
Ihr Gesicht ist bekannt.|Her face is well-known.
Die Entwicklung ist positiv.|The development is positive.
Die Uhr zeigt die Zeit.|The clock shows the time.
Mehrere Personen sind hier.|Several people are here.
Schließen Sie die Tür.|Close the door.
Schließlich kamen wir an.|Finally, we arrived.
Er legt das Buch hin.|He lays the book down.
Der Weg ist direkt.|The path is direct.
Er kam daher.|He came from there.
Die Tür ist offen.|The door is open.
Ich erkenne dich.|I recognize you.
Die Person ist nett.|The person is nice.
Der Moment war schön.|The moment was beautiful.
Die Schule ist groß.|The school is big.
Etwas ist darin.|Something is inside.
Das Auto ist schnell.|The car is fast.
Niemand war da.|No one was there.
Die Gesellschaft wächst.|The society is growing.
Ich warte hier.|I am waiting here.
Stellen Sie sich vor.|Introduce yourself.
Der Tag ist früh.|The day is early.
Er tritt ein.|He steps in.
Wir reden später.|We talk later.
Die Gruppe ist klein.|The group is small.
Das Ding ist kaputt.|The thing is broken.
Na, wie geht's?|Well, how are you?
Sie gewinnt immer.|She always wins.
Zunächst machen wir das.|First, we do that.
Er lernt, damit er besteht.|He studies so that he passes.
Die Tür ist offen.|The door is open.
Ein Schritt nach vorne.|A step forward.
Er entwickelt Software.|He develops software.
Die meisten mögen das.|Most like that.
Die Möglichkeit ist da.|The possibility is there.
Der Sinn des Lebens.|The meaning of life.
Was ist passiert?|What happened?
Manchmal regnet es.|Sometimes it rains.
Ein Vergleich ist nötig.|A comparison is necessary.
Das System funktioniert.|The system works.
Die Rolle ist wichtig.|The role is important.
Das Ergebnis ist gut.|The result is good.
Vergleichen wir die Preise.|Let's compare the prices.
Das Glas ist voll.|The glass is full.
Wir erwarten Gäste.|We expect guests.
Obwohl es regnet, gehen wir.|Although it rains, we go.
Die Straße ist lang.|The street is long.
Er hat Angst.|He is afraid.
Das ist allgemein bekannt.|That is generally known.
Ich fühle mich gut.|I feel good.
Jene Tage sind vorbei.|Those days are over.
Er erinnert mich.|He reminds me.
Oh, das ist schade.|Oh, that is a pity.
Was bedeutet das?|What does that mean?
Ihre Stimme ist schön.|Her voice is beautiful.
Die Reaktion war heftig.|The reaction was intense.
Das Medikament wirkt schnell.|The medicine works quickly.
Der Film stellt die Geschichte dar.|The film depicts the story.
Der Raum ist groß.|The room is big.
Die Eltern sind da.|The parents are there.
Sie bezeichnen ihn als Freund.|They call him a friend.
Die Funktion ist klar.|The function is clear.
Das ist häufig der Fall.|That is frequently the case.
Der Stern erscheint.|The star appears.
Die USA sind groß.|The USA is large.
Der Flüchtling ist sicher.|The refugee is safe.
Früher war alles besser.|In former times, everything was better.



Wir entscheiden morgen.|We decide tomorrow.
Die Universität ist groß.|The university is large.
Das betrifft alle.|That concerns everyone.
Das Haus ist oben.|The house is up there.
Die Richtung ist klar.|The direction is clear.
Wir bestimmen den Plan.|We determine the plan.
Etwas fehlt hier.|Something is missing here.
Die Sprache ist schwierig.|The language is difficult.
Das Produkt ist neu.|The product is new.
Die Situation ist ernst.|The situation is serious.
Außerdem bin ich müde.|Besides, I am tired.
Es ist nämlich so.|You see, it is like this.
Der Handel ist international.|The trade is international.
Der Anfang ist schwer.|The beginning is difficult.
Ich habe sechs Bücher.|I have six books.
Er nutzt die Zeit.|He uses the time.
Das Problem ist sozial.|The problem is social.
Das hat Folgen.|That has consequences.
Der Satz ist klar.|The sentence is clear.
Manche kommen später.|Some come later.
Die Verbindung ist stark.|The connection is strong.
Beschreibe das Bild.|Describe the picture.
Das Licht ist hell.|The light is bright.
Er sieht ähnlich aus.|He looks similar.
Das ist die Regel.|That is the rule.
Gegenüber ist ein Park.|Opposite is a park.
Mein Kollege ist nett.|My colleague is nice.
Bisher war alles gut.|So far, everything was good.
Das Wasser ist tief.|The water is deep.
Das Glas ist halb voll.|The glass is half full.
Sie lacht laut.|She laughs loudly.
Er kommt ebenfalls.|He is coming as well.
Komm sofort her!|Come here immediately!
Die Grenze ist nah.|The border is near.
Wir ändern den Plan.|We change the plan.
Die Entscheidung ist gefallen.|The decision has been made.
Sie verlässt das Haus.|She leaves the house.
Die Idee ist gut.|The idea is good.
Wir verbinden die Kabel.|We connect the cables.
Eine Milliarde Menschen.|A billion people.
Endlich sind wir da.|Finally, we are here.
Die Energie ist spürbar.|The energy is palpable.
Plötzlich war es still.|Suddenly it was quiet.
Danach gehen wir essen.|Afterwards, we go eat.
Die Kraft ist weg.|The strength is gone.
Ich würde lieber bleiben.|I would rather stay.
Das Buch gehört mir.|The book belongs to me.
Er setzt das Bild ein.|He inserts the picture.
Das Gefühl ist angenehm.|The feeling is pleasant.
Trotzdem mache ich weiter.|Nevertheless, I continue.
Er befindet sich hier.|He is here.
Die Information ist korrekt.|The information is correct.
Dadurch wurde es besser.|As a result, it got better.
Ich bin dagegen.|I am against it.
Auf diese Weise geht es.|This way it works.
Die Zukunft ist ungewiss.|The future is uncertain.
Die Pflanze wächst schnell.|The plant grows quickly.
Bitte helfen Sie mir.|Please help me.
Das Papier ist weiß.|The paper is white.
Der Text ist lang.|The text is long.
Die Katze ist schwarz.|The cat is black.
Der Mann ist gestorben.|The man has died.
Der Markt ist groß.|The market is large.
Die Rose ist rot.|The rose is red.
Das ist halt so.|That's just the way it is.
Das Zimmer ist zehn Meter lang.|The room is ten meters long.
Das Haus ist nah.|The house is near.

Ich brauche Hilfe.|I need help.
Das Kapitel ist kurz.|The chapter is short.
Wir gehen aus.|We go out.
Die Bedeutung ist klar.|The meaning is clear.
Er betrachtet das Bild.|He looks at the picture.
Die Chemie ist interessant.|The chemistry is interesting.
Die Luft ist frisch.|The air is fresh.
Der Körper ist fit.|The body is fit.
Die Struktur ist komplex.|The structure is complex.
Die Antwort stimmt.|The answer is correct.
Ich bitte um Ruhe.|I ask for silence.
Das Jahrhundert ist vorbei.|The century is over.
Das ist wahrscheinlich.|That is likely.

Der Park ist öffentlich.|The park is public.
Ich sehe euch.|I see you.
Insgesamt sind es zehn.|In total, there are ten.
Der Kurs fängt an.|The course begins.
Das ist genug.|That is enough.
Das Deutsche ist schwer.|German is difficult.
Das Wetter hat sich verändert.|The weather has changed.
Die Wohnung ist groß.|The apartment is big.
Das Projekt ist gelungen.|The project is successful.
Wir sehen uns bald.|We will see each other soon.
Das Risiko ist gering.|The risk is low.
Der Film war gut.|The movie was good.
Ich kaufe ein Buch.|I buy a book.
Er sieht den Film an.|He watches the movie.
Sie öffnen das Fenster.|They open the window.
Die Musik ist laut.|The music is loud.
Ich schaue aus dem Fenster.|I look out the window.
Ein Stück Kuchen bitte.|A piece of cake please.
Das ist etwas Besonderes.|That is something special.
Der Vogel ist tot.|The bird is dead.
Der Gott ist mächtig.|God is powerful.
Es ist völlig in Ordnung.|It is completely okay.
Das Ergebnis ist positiv.|The result is positive.
Das Gespräch war interessant.|The conversation was interesting.
Er geht darum.|He walks around it.
Der Kunde ist zufrieden.|The customer is satisfied.
Die Menge ist groß.|The quantity is large.
Die Regierung hat entschieden.|The government has decided.
Die Antwort ist richtig.|The answer is correct.
Ich nehme das Angebot an.|I accept the offer.
Die Antwort ist falsch.|The answer is wrong.
Der Zusammenhang ist klar.|The context is clear.
Der Zug ist langsam.|The train is slow.
Mein Arm tut weh.|My arm hurts.
Nachdem wir gegessen haben.|After we have eaten.
Der Tisch ist rund.|The table is round.
Er ruft laut.|He calls loudly.
Das Angebot ist gut.|The offer is good.
Mein Herz schlägt schnell.|My heart beats fast.
Wir arbeiten zusammen.|We work together.
Inzwischen ist es dunkel.|In the meantime, it is dark.
Sie ist ebenso klug.|She is just as smart.
Der Boden ist kalt.|The floor is cold.
Bevor wir gehen.|Before we go.
Er verwendet das Werkzeug.|He uses the tool.
Die Politik ist kompliziert.|Politics is complicated.
Der Tod ist traurig.|Death is sad.
Der Erfolg war groß.|The success was great.
Zudem kam er zu spät.|Moreover, he was late.
Die Bank ist geschlossen.|The bank is closed.
Ab morgen bin ich weg.|From tomorrow, I am gone.
Das ist persönlich.|That is personal.
Der Präsident spricht.|The president speaks.
Er holt den Ball.|He fetches the ball.
Der Junge rennt.|The boy runs.
Der sogenannte Experte.|The so-called expert.
Die Polizei kommt.|The police are coming.
Das ist eine Chance.|That is a chance.
Er ist gewiss müde.|He is certainly tired.
Innerhalb einer Woche.|Within a week.
Die Kunst ist schön.|The art is beautiful.
Die Lage ist ernst.|The situation is serious.
Der Schüler lernt.|The student learns.
Das gesamte Team.|The entire team.
Der Druck steigt.|The pressure is rising.
Der Hund ist verschwunden.|The dog has disappeared.
Er wohnt in Berlin.|He lives in Berlin.
Das bewegt sich.|That is moving.
Die Flasche enthält Wasser.|The bottle contains water.
Er nimmt alles auf.|He records everything.
Die Kosten sind hoch.|The costs are high.
Das Wintersemester beginnt.|The winter semester begins.
Ich habe das gemerkt.|I noticed that.
Das ist fest.|That is firm.
Das ist aktuell.|That is current.
Ein neuer Begriff.|A new term.
Er erlebt viel.|He experiences a lot.
Das ist relativ.|That is relative.
Laut dem Bericht.|According to the report.
Mein Fuß tut weh.|My foot hurts.
Die Daten sind wichtig.|The data are important.
Der Krieg ist vorbei.|The war is over.
Der Gast kommt.|The guest is coming.
Eine klare Aussage.|A clear statement.
Das Gesetz gilt.|The law applies.
Wir planen eine Reise.|We are planning a trip.
Das ist schwierig.|That is difficult.
Das Gut ist teuer.|The estate is expensive.
Es sind zwei Kilometer.|It is two kilometers.
Zusätzlich gibt es mehr.|Additionally, there is more.
Ich habe das vergessen.|I forgot that.
Ein interessanter Gedanke.|An interesting thought.
Er besitzt ein Haus.|He owns a house.
Ach, wie schade!|Oh, what a pity!
Die Partei gewinnt.|The party wins.
Er freut sich.|He is happy.
Das Bild hängt dort.|The picture hangs there.
Er berichtet darüber.|He reports about it.
Die Zelle ist klein.|The cell is small.
Der Weg ist eng.|The path is narrow.
Die Kultur ist reich.|The culture is rich.
Der Prozess läuft.|The trial is ongoing.
Mein Sohn ist klein.|My son is young.
Mein Dank an dich.|My thanks to you.
Trotz des Regens.|In spite of the rain.
Er fordert mehr Geld.|He demands more money.
Ich studiere Medizin.|I study medicine.
Das gefällt mir.|I like that.
Das Mädchen lacht.|The girl laughs.
Das Verhalten ist seltsam.|The behavior is strange.

Das ist mindestens.|That is at least.
Das ist ziemlich gut.|That is quite good.
Mein Interesse ist groß.|My interest is high.
Er unterscheidet sich.|He distinguishes himself.
Wobei helfen Sie?|Whereby do you help?
Jeweils am Morgen.|Each morning.
Das reicht aus.|That is enough.
Ich habe sieben Bücher.|I have seven books.
Zumindest bin ich ehrlich.|At least I am honest.
Er schlägt den Ball.|He hits the ball.
Das Tier ist süß.|The animal is cute.
Jedenfalls komme ich.|In any case, I am coming.

Er erhöht den Preis.|He raises the price.
Ich sorge mich.|I am worried.
Die Erfahrung zählt.|The experience counts.
Der Patient schläft.|The patient sleeps.
Der Morgen ist schön.|The morning is beautiful.

Der Arzt ist hier.|The doctor is here.
Was ist geschehen?|What happened?
Bayern ist schön.|Bavaria is beautiful.
Er löst das Problem.|He solves the problem.
Das ist irgendwie komisch.|That is somehow funny.
Er bietet Hilfe an.|He offers help.
Das kommt vor.|That happens.
Das ist okay.|That is okay.

Ich wünsche dir Glück.|I wish you luck.
Das interessiert mich.|That interests me.
Der Unterschied ist klar.|The difference is clear.
Das Foto ist alt.|The photograph is old.
Ich trinke Wasser.|I drink water.
Das ist dasselbe.|That is the same.
Er wählt das Buch.|He chooses the book.
Sie kamen gleichzeitig.|They arrived simultaneously.
Das Wasser ist knapp.|The water is scarce.
Der Mitarbeiter ist nett.|The co-worker is nice.
Er übernimmt die Leitung.|He takes over the leadership.
Ich habe Glück gehabt.|I was lucky.
Das ist normal.|That is normal.
Leider habe ich keine Zeit.|Unfortunately, I have no time.
Die Grundlage ist fest.|The basis is firm.
Ich sehe acht Katzen.|I see eight cats.
Ihre Leistung war beeindruckend.|Her performance was impressive.
Das Dokument liegt vor.|The document is available.
Das Treffen erfolgt morgen.|The meeting takes place tomorrow.
Die Beziehung ist stark.|The relationship is strong.
Die Bevölkerung nimmt zu.|The population is increasing.
Ein Molekül ist klein.|A molecule is small.
Das Konzert findet statt.|The concert takes place.
Der Zug kommt an.|The train arrives.
