|word_de|sentence_de
958|künftig|Künftige Projekte sind geplant.
959|national|Dieses Fest hat nationale Bedeutung.
965|lieb|Der Hund ist sehr lieb zu Kindern.
969|historisch|Das Gebäude ist historisch bedeutsam.
973|entscheidend|Das war entscheidend für den Erfolg.
977|wissenschaftlich|Das ist wissenschaftlich belegt.
984|bewusst|Er war sich der Gefahr bewusst.
987|zahlreich|Es gab zahlreiche Beschwerden.
988|medizinisch|Das ist medizinisch notwendig.
989|übrig|Nichts bleibt mehr übrig für später.
1016|blau|Das Meer leuchtet blau in der Sonne.
1018|teuer|Der Schmuck war unglaublich teuer.
1040|toll|Das war wirklich eine tolle Feier!
1047|schwach|Er fühlt sich heute sehr schwach.
1055|grundsätzlich|Er lehnt das grundsätzlich ab.
1060|ruhig|Das Meer war heute besonders ruhig.
1072|erneut|Er stellte erneut dieselbe Frage.
1079|vorhanden|Alle notwendigen Mittel waren vorhanden.
1091|total|Er war total erschöpft nach dem Lauf.
1105|kulturell|Das Festival ist kulturell wichtig.
1110|nötig|Deine Zustimmung ist unbedingt nötig.
1114|verantwortlich|Er ist verantwortlich für das Projekt.
1115|täglich|Er fährt täglich zur Arbeit mit dem Zug.
1122|ernst|Er machte ein ernstes Gesicht.
1127|jeweilig|Die jeweilige Lösung wurde diskutiert.
1130|vollständig|Das Buch wurde vollständig übersetzt.
1141|organisch|Organische Lebensmittel sind gesünder.
1142|glücklich|Er ist glücklich über das Ergebnis.
1146|dick|Er schnitt eine dicke Scheibe Brot ab.
1147|riesig|Der Baum im Garten ist riesig.
1148|heutig|Die heutige Sitzung ist wichtig.
1154|regelmäßig|Er besucht regelmäßig das Fitnessstudio.
1162|elektrisch|Das Auto ist elektrisch betrieben.
1181|typisch|Solches Verhalten ist typisch für sie.
1198|unmittelbar|Er reagierte unmittelbar nach dem Anruf.
1200|extrem|Das Wetter ist heute extrem heiß.
1202|theoretisch|Theoretisch könnte es funktionieren.
1238|physikalisch|Physikalische Gesetze gelten überall.
1240|leise|Der Wind weht leise durch die Bäume.
1242|eindeutig|Die Antwort war eindeutig richtig.
1253|obere (r, s)|Das obere Regal ist schwer erreichbar.
1257|mittlere (r, s)|Die mittlere Größe passt am besten.
1267|staatlich|Er besucht eine staatliche Schule.
1269|heiß|Der Tee war zu heiß zum Trinken.
1284|geboren|Sie ist eine geborene Musikerin.
1289|komplett|Das Haus war komplett renoviert.
1296|konstant|Die Geschwindigkeit blieb konstant.
1303|böse|Er war wirklich böse auf mich.
1308|ideal|Ein Spaziergang wäre jetzt ideal.
1315|kritisch|Er stellte kritische Fragen zur Lage.
1322|offensichtlich|Der Fehler war offensichtlich.
1334|frisch|Das frische Brot duftet herrlich.
1340|dicht|Der dichte Nebel erschwert die Sicht.
1342|bereit|Er war bereit, alles zu geben.
1348|Schweizer|Schweizer Schokolade ist berühmt.
1349|gesund|Er ernährt sich gesund und treibt Sport.
1355|warm|Das Wasser im See ist angenehm warm.
1358|maximal|Das ist das maximal erlaubte Gewicht.
1361|offiziell|Die Entscheidung ist nun offiziell.
1362|außen|Die Farbe ist außen verblasst.
1366|unbekannt|Der Täter blieb bisher unbekannt.
1376|still|Der Raum war still und dunkel.
1397|krank|Er fühlte sich krank und ging ins Bett.
1399|finanziell|Er unterstützt uns finanziell.
1408|ursprünglich|Ursprünglich war alles anders geplant.
1419|individuell|Die Beratung war individuell angepasst.
1420|intensiv|Das Training war intensiv und fordernd.
1425|rasch|Er verließ den Raum rasch und wortlos.
1426|real|Der Schmerz fühlt sich völlig real an.
1430|sinnvoll|So ein Plan wäre wirklich sinnvoll.
1448|stolz|Er ist stolz auf seinen Erfolg.
1451|streng|Der Chef ist streng, aber gerecht.
1455|berühmt|Der Sänger ist berühmt geworden.
1463|langfristig|Er plant langfristig für die Zukunft.
1464|herzlich|Er begrüßte uns sehr herzlich.
1487|hell|Das Zimmer ist hell und freundlich.
1495|britisch|Er liest gerne britische Literatur.
1500|froh|Ich bin froh, dass du hier bist.
1505|zuständig|Er ist zuständig für die Organisation.
1518|scharf|Das scharfe Messer schneidet gut.
1522|gelb|Die Blätter sind im Herbst oft gelb.
1524|heftig|Der Sturm war heftig und zerstörerisch.
1528|umgekehrt|Die Reihenfolge war genau umgekehrt.
1531|abhängig|Er ist finanziell von ihnen abhängig.
1534|ungefähr|Der Weg ist ungefähr zehn Kilometer.
1536|üblich|Solche Regeln sind hier üblich.
1539|global|Das Unternehmen ist global tätig.
1551|arm|Der arme Junge verlor sein Spielzeug.
1560|erheblich|Die Kosten stiegen erheblich an.
1561|ausschließlich|Das ist ausschließlich für Mitglieder.
1562|griechisch|Er studiert die griechische Mythologie.
1576|spezifisch|Das ist eine sehr spezifische Frage.
1577|stabil|Die Brücke ist stabil und sicher.
1586|doppelt|Die Menge ist doppelt so groß.
1588|österreichisch|Das österreichische Essen schmeckt gut.
1595|zufrieden|Er ist zufrieden mit der Arbeit.
1604|günstig|Die Tickets sind günstig erhältlich.
1609|türkisch|Der türkische Basar ist sehr lebhaft.
1616|sichtbar|Der Fortschritt war deutlich sichtbar.
1631|sprachlich|Er zeigte sprachlich großes Talent.
1632|bisherig|Die bisherige Lösung war unzureichend.
1634|traditionell|Das Fest wird traditionell gefeiert.
1639|grau|Der graue Himmel versprach Regen.
1644|nett|Die Nachbarn sind immer sehr nett.
1645|freundlich|Er begrüßte uns sehr freundlich.
1646|perfekt|Das Timing war einfach perfekt.
1647|reich|Er wurde durch harte Arbeit reich.
1650|ausländisch|Er spricht viele ausländische Sprachen.
1652|fern|Der Berg lag fern am Horizont.
1662|schuld|Er fühlt sich schuld am Unfall.
1668|ehrlich|Er ist immer ehrlich zu seinen Freunden.
1673|italienisch|Das Essen schmeckt italienisch.
1684|wunderbar|Der Abend war einfach wunderbar.
1702|entfernt|Der entfernte Berg war kaum zu sehen.
1723|vorsichtig|Er ging vorsichtig die Treppe hinunter.
1725|wild|Der wilde Sturm tobt die ganze Nacht.
1726|gesetzlich|Er handelt gesetzlich korrekt.
1758|fein|Der feine Sand fühlt sich weich an.
1764|unglaublich|Die Geschichte ist unglaublich.
1774|untere (r, s)|Das Buch ist auf dem unteren Regal.
1789|jährlich|Das Fest findet jährlich statt.
1807|erforderlich|Die Genehmigung ist erforderlich.
1811|zufällig|Der zufällige Fund war äußerst wertvoll.
1812|enorm|Der Aufwand für das Projekt war enorm.
1820|billig|Das Produkt war billig und nützlich.
1821|dünn|Das dünne Papier reißt schnell.
1833|weitgehend|Das Problem ist weitgehend gelöst.
1834|traurig|Er war traurig über die Nachricht.
1837|gegenseitig|Sie hatten gegenseitigen Respekt.
1841|primär|Die primäre Aufgabe ist erledigt.
1843|vollkommen|Die Arbeit war vollkommen fehlerfrei.
1845|massiv|Das massive Tor öffnete sich langsam.
1846|sämtlich|Sämtliche Tickets sind ausverkauft.
1854|super|Das neue Restaurant ist wirklich super!
1855|ökonomisch|Das Land hat ökonomische Probleme.
1863|zeitlich|Die zeitliche Planung war äußerst knapp.
1866|elektronisch|Die elektronische Musik füllte den Raum.
1870|demokratisch|Das Land hat ein demokratisches System.
1873|körperlich|Er arbeitet körperlich sehr hart.
1881|endgültig|Der Vertrag wurde endgültig geschlossen.
1882|ewig|Die Diskussion schien ewig zu dauern.
1890|schmal|Die schmale Gasse führt zum Marktplatz.
1892|spannend|Der Film gestern war wirklich spannend.
1899|bunt|Das Fest war bunt und lebendig.
1911|seltsam|Er fand die Situation seltsam.
1916|mächtig|Der König ist mächtig und einflussreich.
1921|-jährig|Er ist ein zwanzigjähriger Mann.
1922|künstlich|Das Licht ist künstlich erzeugt.
1950|kompliziert|Er erklärte die komplizierte Aufgabe.
1955|beliebt|Das Buch ist bei vielen sehr beliebt.
1957|komisch|Der Film war komisch und unterhaltsam.
1958|westlich|Das westliche Gebiet war ruhig.
1959|geistig|Die Arbeit ist geistig anspruchsvoll.
1961|unmöglich|So eine Aufgabe ist fast unmöglich.
1962|optimal|Das Ergebnis war optimal für uns.
1976|empirisch|Die Ergebnisse sind empirisch belegt.
1987|parallel|Die Straßen verlaufen parallel.
1994|korrekt|Deine Antwort war völlig korrekt.
1998|automatisch|Das Licht schaltet sich automatisch ein.
2001|spanisch|Er hört gerne spanische Musik.
2026|verrückt|Diese verrückte Idee gefällt mir!
2031|weiblich|Der weibliche Vogel singt nicht.
2048|durchschnittlich|Seine Leistungen waren durchschnittlich.
2056|lustig|Er erzählte eine lustige Geschichte.
2057|potenziell|Das ist ein potenzielles Risiko.
2060|religiös|Er ist sehr religiös erzogen worden.
2061|nackt|Er stand nackt vor der Dusche.
2063|beruflich|Beruflich hat er große Erfolge erzielt.
2086|Wiener|Die Wiener Oper ist weltbekannt.
2087|blöd|Es war wirklich eine blöde Entscheidung.
2107|golden|Die goldene Uhr gehört meinem Opa.
2109|sauber|Das Zimmer war ordentlich und sauber.
2114|relevant|Die Daten sind für die Studie relevant.
2128|damalig|Die damalige Entscheidung war schwer.
2130|mathematisch|Die mathematische Lösung ist korrekt.
2142|medial|Die mediale Präsenz des Events war groß.
2143|hauptsächlich|Er ist hauptsächlich beschäftigt.
2149|mehrfach|Er wurde schon mehrfach ausgezeichnet.
2164|unendlich|Die Möglichkeiten scheinen unendlich.
2166|literarisch|Das Werk ist literarisch bedeutend.
2171|ungewöhnlich|Das war ein ungewöhnlicher Fall.
2174|männlich|Die männlichen Läufer waren schneller.
2181|jüdisch|Die jüdische Gemeinde feiert heute.
2187|optisch|Das Design ist optisch ansprechend.
2207|heilig|Das Land ist den Menschen heilig.
2242|arabisch|Das arabische Essen ist köstlich.
2253|systematisch|Er ging das Problem systematisch an.
2265|nachhaltig|Sie planen nachhaltig und handeln.
2283|glatt|Die Straße war nach dem Regen glatt.
2284|schrecklich|Der Unfall war wirklich schrecklich.
2285|weich|Das Kissen ist angenehm weich.
2287|bedeutend|Das war eine bedeutende Entdeckung.
2294|kräftig|Er hat einen kräftigen Händedruck.
2298|angenehm|Das Gespräch verlief angenehm.
2303|winzig|In dem winzigen Raum steht nur ein Bett.
2306|künstlerisch|Seine künstlerische Arbeit beeindruckt.
2313|aufmerksam|Er hörte dem Vortrag aufmerksam zu.
2316|analog|Das Gerät funktioniert rein analog.
2320|äußere (r, s)|Das äußere Tor war verschlossen.
2332|ordentlich|Das Zimmer war ordentlich aufgeräumt.
2337|gewöhnlich|Er isst gewöhnlich sehr wenig.
2343|beliebig|Wählen Sie eine beliebige Option aus.
2353|stetig|Er arbeitet stetig an seinem Ziel.
2354|dumm|Das war eine dumme Entscheidung.
2380|vertraut|Er ist mit der Technik vertraut.
2383|sportlich|Er ist sehr sportlich und aktiv.
2390|intern|Das ist ein internes Dokument.
2393|schriftlich|Das ist eine schriftliche Bestätigung.
2394|genetisch|Das ist ein genetischer Defekt.
2398|lebendig|Der Markt war lebendig und bunt.
2404|braun|Das Haus ist braun gestrichen.
2416|zukünftig|Zukünftige Projekte sind geplant.
2447|trocken|Das Brot ist leider trocken geworden.
2457|friedlich|Die Demonstration verlief friedlich.
2459|vernünftig|Das war eine vernünftige Entscheidung.
2462|gegenwärtig|Er ist gegenwärtig nicht erreichbar.
2468|wahnsinnig|Der Lärm war einfach wahnsinnig laut.
2469|erstaunlich|Er handelte erstaunlich schnell.
2472|emotional|Das Gespräch wurde sehr emotional.
2484|vergleichbar|Die Ergebnisse sind kaum vergleichbar.
2495|wertvoll|Der Ring war klein, aber sehr wertvoll.
2498|umstritten|Die Entscheidung war umstritten.
2501|vielfältig|Die Auswahl im Laden war vielfältig.
2502|wirksam|Das Medikament ist sehr wirksam.
2510|indirekt|Er äußerte seine Kritik nur indirekt.
2523|flach|Das flache Land erstreckt sich weit.
2525|einheimisch|Er bevorzugt einheimische Produkte.
2527|sauer|Der saure Apfel schmeckt mir nicht.
2555|olympisch|Er trainiert für die olympischen Spiele.
2559|illegal|Drogenhandel ist in jedem Land illegal.
2567|einsam|Er fühlte sich einsam nach dem Umzug.
2574|Frankfurter|Die Frankfurter Messe beginnt bald.
2575|identisch|Die Zwillinge sehen fast identisch aus.
2582|räumlich|Die räumliche Trennung fiel schwer.
2583|jahrelang|Er arbeitete jahrelang an dem Projekt.
2589|effektiv|Die neue Methode ist äußerst effektiv.
2595|radikal|Er forderte radikale Veränderungen.
2606|willkommen|Du bist hier immer willkommen.
2608|gelegentlich|Gelegentlich treffe ich alte Freunde.
2614|formal|Die Bewerbung war formal korrekt.
2615|sanft|Der sanfte Wind streichelte ihr Gesicht.
2619|klug|Er ist klug und vorausschauend.
2625|scheinbar|Der Erfolg war scheinbar garantiert.
2628|selbstständig|Er arbeitet seit Jahren selbstständig.
2630|unklar|Der Text bleibt unklar formuliert.
2631|verfügbar|Die Information ist verfügbar.
2633|schlicht|Der Raum war schlicht eingerichtet.
2634|angemessen|Das Gehalt ist angemessen hoch.
2638|ernsthaft|Das ist eine ernsthafte Angelegenheit.
2661|kontinuierlich|Der Druck nahm kontinuierlich zu.
2663|Münchner|Die Münchner Biergärten sind bekannt.
2673|wütend|Er wurde wütend, als er das erfuhr.
2674|christlich|Christliche Werte prägen das Land.
2675|Hamburger|Der Hamburger Hafen ist sehr bekannt.
2684|hübsch|Das Kleid sieht wirklich hübsch aus.
2686|spontan|Er entschied sich spontan für die Reise.
2693|konservativ|Er hat konservative Ansichten.
2695|psychisch|Die Belastung war psychisch schwer.
2700|erkennbar|Der Fehler war sofort erkennbar.
2711|derartig|Derartige Probleme gab es nie.
2726|grob|Die groben Worte verletzten ihn tief.
2738|sekundär|Das ist von sekundärer Bedeutung.
2742|dankbar|Ich bin sehr dankbar für deine Hilfe.
2746|inhaltlich|Inhaltlich war der Text stark.
2752|kreativ|Ihre kreative Lösung überraschte alle.
2763|ausführlich|Er beschrieb das Problem ausführlich.
2767|blind|Er vertraut blind auf seinen Freund.
2771|allmählich|Allmählich verstand er die Situation.
2796|quer|Er legt die Bücher quer ins Regal.
2803|übel|Mir wurde plötzlich übel nach dem Essen.
2811|schwedisch|Das ist eine schwedische Firma.
2813|sexuell|Er sprach offen über sexuelle Themen.
2815|ironisch|Er antwortete ironisch auf die Frage.
2818|experimentell|Das Ergebnis ist experimentell.
2819|kühl|Der kühle Wind weht vom Meer her.
2823|syrisch|Das syrische Essen ist lecker.
2832|niederländisch|Wir haben niederländische Freunde.
2839|steil|Der Weg führt steil nach oben.
2841|heimisch|Sie sollten sich hier heimisch fühlen.
2842|interkulturell|Er fördert interkulturellen Austausch.
2858|alternativ|Es gibt eine alternative Lösung.
2868|arbeitslos|Er ist seit zwei Monaten arbeitslos.
2884|nervös|Vor der Prüfung war er sehr nervös.
2887|süß|Das Baby lächelt süß im Schlaf.
2889|weh|Mein Kopf tut schrecklich weh.
2894|fair|Er spielt immer fair und ehrlich.
2895|hervorragend|Er hat hervorragend gearbeitet.
2896|umfangreich|Er las den umfangreichen Bericht.
2903|betrieblich|Die betriebliche Leistung steigt.
2917|denkbar|Das ist denkbar, aber unwahrscheinlich.
2931|japanisch|Wir kochten ein japanisches Gericht.
2936|ausdrücklich|Das ist ausdrücklich verboten.
2955|dänisch|Die dänische Küche ist sehr beliebt.
2963|subjektiv|Das ist eine subjektive Meinung.
2964|unangenehm|Das unangenehme Wetter hält an.
2967|charakteristisch|Das ist charakteristisch für ihn.
2985|senkrecht|Die Linie verläuft senkrecht zur Achse.
2995|mobil|Er bleibt mobil trotz seines Alters.
3004|verständlich|Die Anweisungen waren verständlich.
3006|flüssig|Das Wasser floss flüssig durch das Rohr.
3011|konsequent|Er verfolgt seine Ziele konsequent.
3027|katholisch|Sie ist katholisch aufgewachsen.
3028|merkwürdig|Sein Verhalten war wirklich merkwürdig.
3038|juristisch|Die juristische Lage ist unklar.
3039|peinlich|Das war eine peinliche Situation.
3045|kaputt|Der Stuhl ist kaputt gegangen.
3056|divers|Das Team war divers zusammengesetzt.
3060|ausgeprägt|Sie hat ein ausgeprägtes Talent gezeigt.
3064|dementsprechend|Er verhielt sich dementsprechend.
3080|zugehörig|Das ist der zugehörige Schlüssel.
3081|analytisch|Analytisch betrachtet hat er recht.
3083|locker|Das Gespräch war locker und entspannt.
3084|sonstig|Er erledigte sonstige Aufgaben.
3086|bitter|Die bittere Wahrheit kam ans Licht.
3087|permanent|Er lebt in permanentem Stress.
3091|nachfolgend|Die nachfolgende Erklärung ist wichtig.
3102|professionell|Er geht die Aufgaben professionell an.
3106|kinetisch|Die kinetische Energie ist groß.
3109|zugänglich|Die Dokumente sind zugänglich.
3115|langweilig|Dieses Buch ist sehr langweilig.
3117|schief|Das Bild hängt schief an der Wand.
3127|einig|Einige Leute kamen schon sehr früh.
3133|stellvertretend|Er übernahm stellvertretend die Leitung.
3135|mündlich|Er bestand die mündliche Prüfung.
3136|neugierig|Er ist neugierig auf das neue Buch.
3146|cool|Er findet die neue Jacke cool.
3151|virtuell|Das Treffen fand virtuell statt.
3164|unzählig|Unzählige Sterne leuchten am Himmel.
3168|effizient|Das System arbeitet effizient.
3172|verheiratet|Er ist seit zehn Jahren verheiratet.
3173|vorübergehend|Er nahm eine vorübergehende Stelle an.
3176|diskret|Er hat sich sehr diskret verhalten.
3181|erwachsen|Er benimmt sich schon sehr erwachsen.
3182|ökologisch|Das Produkt ist ökologisch unbedenklich.
3183|problematisch|Problematisch war die Umsetzung.
3190|schwanger|Sie ist im achten Monat schwanger.
3194|wunderschön|Der Garten blühte wunderschön.
3209|geheim|Das ist ein geheimes Dokument.
3210|rechtzeitig|Er kam rechtzeitig zur Sitzung.
3211|anwesend|Alle Mitglieder sind anwesend.
3213|nass|Der Boden war nass nach dem Regen.
3218|intelligent|Er ist ein intelligenter Mensch.
3223|benachbart|Das benachbarte Dorf ist klein.
3224|explizit|Die Anweisungen waren explizit.
3226|hintere (r, s)|Der hintere Eingang ist verschlossen.
3250|wach|Ich bin schon seit sechs Uhr wach.
3260|neutral|Er blieb in der Diskussion neutral.
3261|qualitativ|Das Produkt ist qualitativ hochwertig.
3262|feucht|Das Handtuch war noch leicht feucht.
3271|furchtbar|Das Wetter war furchtbar schlecht.
3278|sensibel|Er reagiert sehr sensibel auf Kritik.
3280|vordere|Der vordere Sitz ist bequemer.
3289|herrlich|Das Wetter heute ist einfach herrlich.
3297|radioaktiv|Das Material ist radioaktiv belastet.
3298|unsicher|Er fühlt sich unsicher bei der Prüfung.
3306|fröhlich|Sie hat ein fröhliches Lachen.
3309|quantitativ|Quantitative Daten allein reichen nicht.
3313|heimlich|Er traf sich heimlich mit ihr.
3321|mechanisch|Die mechanische Arbeit war anstrengend.
3324|symmetrisch|Das Muster war symmetrisch angeordnet.
3332|anscheinend|Anscheinend ist das Wetter gut.
3335|polnisch|Wir besuchen eine polnische Stadt.
3357|klinisch|Er untersucht alles klinisch genau.
3360|indisch|Er kochte indisch für seine Freunde.
3375|objektiv|Er analysierte die Lage objektiv.
3377|stumm|Er blieb stumm und sagte kein Wort.
3382|maßgeblich|Er war maßgeblich am Erfolg beteiligt.
3394|sorgfältig|Er arbeitet sehr sorgfältig am Projekt.
3402|dynamisch|Er arbeitet dynamisch und erreicht viel.
3406|fett|Das Essen war wirklich sehr reichlich.
3418|harmonisch|Die Farben wirken harmonisch zusammen.
3422|fix|Der Termin ist fix und steht fest.
3435|abstrakt|Die abstrakte Kunst hängt im Museum.
3436|ästhetisch|Das Gebäude ist ästhetisch ansprechend.
3446|strukturell|Das Problem war strukturell bedingt.
3451|realistisch|Seine Erwartungen sind realistisch.
3452|tödlich|Das Gift ist für Menschen tödlich.
3461|besorgt|Er ist besorgt um seine Gesundheit.
3469|bequem|Das Sofa im Wohnzimmer ist sehr bequem.
3481|nützlich|Das Werkzeug ist sehr nützlich.
3489|physisch|Die Arbeit ist physisch anstrengend.
3495|gespannt|Er ist gespannt auf die Nachricht.
3497|stundenlang|Er wartet stundenlang im Regen.
3503|kognitiv|Kognitive Fähigkeiten sind wichtig.
3506|auffällig|Sein Verhalten war sehr auffällig.
3511|psychologisch|Psychologische Beratung kann helfen.
3512|treu|Er bleibt treu an ihrer Seite.
3530|aggressiv|Der Hund verhielt sich aggressiv.
3531|definitiv|Das ist definitiv die beste Wahl.
3553|südlich|Südlich von hier liegt der See.
3562|kostenlos|Er bietet die Hilfe kostenlos an.
3567|einzigartig|Das Design ist wirklich einzigartig.
3569|reell|Reell betrachtet ist die Lage schwierig.
3583|industriell|Die Stadt ist industriell geprägt.
3587|absurd|Diese Behauptung ist einfach absurd.
3591|autonom|Das Fahrzeug fährt vollkommen autonom.
3592|blond|Das blonde Kind spielt draußen.
3593|anstrengend|Die Arbeit war körperlich anstrengend.
3596|lateinisch|Die lateinische Sprache ist komplex.
3598|mühsam|Er erledigt die Aufgabe mühsam.
3599|präzise|Der Techniker arbeitet sehr präzise.
3607|düster|Der düstere Wald wirkt unheimlich.
3612|starr|Er blickte starr auf den Bildschirm.
3623|langjährig|Sie haben eine langjährige Freundschaft.
3636|deutschsprachig|Er liest deutschsprachige Bücher.
3642|hässlich|Das Gebäude sieht hässlich aus.
3644|unverändert|Die Situation blieb unverändert.
3653|akademisch|Das Niveau ist akademisch hoch.
3654|aufwendig|Das Kleid war aufwendig gestaltet.
3664|liberal|Die Partei ist politisch liberal.
3665|musikalisch|Musikalisch war er talentiert.
3687|variabel|Die Bedingungen sind variabel.
3694|proportional|Die Kosten sind proportional zum Nutzen.
3698|operativ|Operativ konnte er alles regeln.
3702|schräg|Die Straße verläuft leicht schräg.
3703|verehrt|Der verehrte Lehrer hielt eine Rede.
