     |part_of_speech |word_de                    |word_forms                                 |sentence_de                              |word_meanings_en           |word_en              |sentence_en
 415 |pron           |darin                      |darin, drin, drinnen                       |Darin steckt das Geheimnis ihrer Kraft.  |in it, in there, inside    |in it                |In it lies the secret of her strength.
 450 |pron           |jene                       |jene, jener, jenes                         |Jener Tag war wirklich besonders.        |that, those                |that                 |That day was truly special.
 489 |pron           |manche                     |manche, mancher, manches                   |Manche Leute verstehen das nicht.        |some, many a               |some                 |Some people don't understand that.
 509 |die            |die Milliarde (Mrd.)       |die Milliarden                             |Eine Milliarde Euro wurde investiert.    |billion                    |billion              |One billion euros were invested.
 535 |der            |der Meter (m)              |die Meter                                  |Das Zimmer ist zehn Meter lang.          |meter                      |meter                |The room is ten meters long.
 537 |prep           |nahe                       |nahe, nah                                  |Der Park liegt nahe am Bahnhof.          |near, close to             |close to             |The park is close to the station.
 570 |adj            |besondere                  |besondere, besonderer, besonderes          |Er hat eine besondere Art zu sprechen.   |special                    |special              |He has a special way of speaking.
 696 |pron           |dasselbe                   |dieselbe, derselbe, dasselbe               |Das ist dasselbe Problem wie gestern.    |the same (one, ones)       |the same (one, ones) |That's the same problem as yesterday.
 734 |adj            |innere                     |innere, innerer, inneres                   |Das innere Gleichgewicht ist wichtig.    |internal                   |internal             |The internal balance is important.
 735 |adv            |beispielsweise             |beispielsweise, bspw.                      |Beispielsweise mag er keine Hunde.       |for example, such as       |for example          |For example, he doesn’t like dogs.
 788 |adv            |zirka                      |zirka, ca.                                 |Es sind zirka hundert Leute hier.        |approximately              |approximately        |There are approximately one hundred people here.
 850 |adv            |vorne                      |vorne, vorn                                |Er stand ganz vorne in der Schlange.     |at/to the front            |at/to the front      |He stood right at the front of the line.
 851 |adj            |rechte                     |rechte, rechter, rechtes                   |Der rechte Schuh passt perfekt.          |right                      |right                |The right shoe fits perfectly.
 939 |adj            |linke                      |linke, linker, linkes                      |Der linke Schuh drückt ein wenig.        |left                       |left                 |The left shoe pinches a little.
1080 |der            |der Westen                 |der Westen, West-                          |Der Westen der Stadt ist ruhiger.        |west                       |west                 |The west of the city is quieter.
1099 |pron           |diejenige                  |diejenige, derjenige, dasjenige            |Sie ist diejenige, die mir half.         |the one (who, that)        |the one (who, that)  |She is the one who helped me.
1192 |pron           |irgendetwas                |irgendetwas, irgendwas                     |Er suchte irgendetwas Hilfreiches.       |something, anything        |something            |He was looking for something helpful.
1253 |adj            |obere                      |obere, oberer, oberes                      |Das obere Regal ist schwer erreichbar.   |upper                      |upper                |The upper shelf is hard to reach.
1257 |adj            |mittlere                   |mittlere, mittlerer, mittleres             |Die mittlere Tür ist verschlossen.       |middle, average            |middle               |The middle door is locked.
1282 |der            |der Osten, Ost-            |                                           |Der Osten des Landes ist dünn besiedelt. |east                       |east                 |The east of the country is sparsely populated.
1381 |der            |der Milliliter (ml)        |die Milliliter                             |Das Glas fasst hundert Milliliter.       |milliliter                 |milliliter           |The glass holds one hundred milliliters.
1414 |der            |der Zentimeter (cm)        |die Zentimeter                             |Das Buch ist zehn Zentimeter dick.       |centimeter, cm             |centimeter           |The book is ten centimeters thick.
1593 |der            |der Norden, Nord-          |                                           |Der Wind kommt aus dem Norden.           |north                      |north                |The wind is coming from the north.
1642 |der            |der Franken (Fr.)          |die Franken                                |Der Preis betrug zwanzig Franken.        |(Swiss) franc              |(Swiss) franc        |The price was twenty francs.
1774 |adj            |untere                     |untere, unterer, unteres                   |Das Buch ist auf dem unteren Regal.      |lower                      |lower                |The book is on the lower shelf.
1853 |der            |der Süden                  |der Süden, Süd-                            |Der Süden lockt mit warmem Wetter.       |south                      |south                |The south attracts with warm weather.
1859 |die            |die DNA                    |die DNA (DNS, Desoxyribonukleinsäure)      |Die DNA-Analyse brachte Klarheit.        |DNA, deoxyribonucleic acid |DNA                  |The DNA analysis brought clarity.
1993 |pron           |irgendwelche               |irgendwelche, irgendwelcher, irgendwelches |Irgendwelche Probleme gab es immer.      |some, any                  |some                 |There were always some problems.
2320 |adj            |äußere                     |äußere, äußerer, äußeres                   |Das äußere Tor war verschlossen.         |outer, external            |outer                |The outer gate was locked.
2364 |pron           |selbe                      |selbe, selber, selbes                      |Er trägt denselben Hut wie gestern.      |same                       |same                 |He is wearing the same hat as yesterday.
3226 |adj            |hintere                    |hintere, hinterer, hinteres                |Der hintere Eingang ist verschlossen.    |rear                       |rear                 |The rear entrance is locked.
3752 |pron           |jegliche                   |jegliche, jeglicher, jegliches             |Er hat jegliche Hoffnung verloren.       |any                        |any                  |He has lost any hope.
3785 |adj            |finale                     |finale, finaler, finales                   |Die finale Runde entschied das Spiel.    |final                      |final                |The final round decided the game.
4541 |adj            |letztere                   |letzterer, letztere, letzteres             |Der letztere Punkt war entscheidend.     |latter                     |latter               |The latter point was crucial.
