|word_de|sentence_de|word_en
3146|cool|Er findet die neue Jacke cool.|cool|He thinks the new jacket is cool.
3151|virtuell|Virtuelle Realität wird immer beliebter.|virtual|Virtual reality is becoming more popular.
3164|unzählig|Unzählige Sterne leuchten am Himmel.|countless|Countless stars shine in the sky.
3168|effizient|Die effiziente Methode sparte Zeit.|efficient|The efficient method saved time.
3172|verheiratet|Er ist seit zehn Jahren verheiratet.|married|He has been married for ten years.
3173|vorübergehend|Es ist nur eine vorübergehende Maßnahme.|temporary|It is just a temporary measure.
3176|diskret|Er bat um eine diskrete Beratung.|discreet, confidential|He requested discreet advice.
3181|erwachsen|Er ist jetzt ein erwachsener Mann.|adult, grown-up|He is now a grown-up man.
3182|ökologisch|Sie bevorzugte ökologische Produkte.|ecological, organic|She preferred ecological products.
3183|problematisch|Das ist eine problematische Situation.|problematic|This is a problematic situation.
3190|schwanger|Sie ist im achten Monat schwanger.|pregnant|She is eight months pregnant.
3194|wunderschön|Das wunderschöne Bild hing im Museum.|wonderful, lovely|The wonderful painting hung in the museum.
3209|geheim|Das war eine streng geheime Mission.|secret|That was a top secret mission.
3210|rechtzeitig|Der rechtzeitige Eingriff rettete Leben.|punctual, in time|The timely intervention saved lives.
3211|anwesend|Alle Mitglieder sind anwesend.|present|All members are present.
3213|nass|Der Boden war nass nach dem Regen.|wet|The ground was wet after the rain.
3218|intelligent|Er ist ein intelligenter Mensch.|intelligent|He is an intelligent person.
3223|benachbart|Das benachbarte Dorf ist klein.|neighboring, adjacent|The neighboring village is small.
3224|explizit|Die Anweisungen waren explizit.|explicit|The instructions were explicit.
3226|hintere (r, s)|Der hintere Eingang ist verschlossen.|rear|The rear entrance is locked.
3250|wach|Ich bin schon seit sechs Uhr wach.|awake|I have been awake since six o'clock.
3260|neutral|Er blieb in der Diskussion neutral.|neutral|He remained neutral in the discussion.
3261|qualitativ|Qualitativer Service spart Ressourcen.|qualitative|Qualitative service saves resources.
3262|feucht|Das Handtuch war noch leicht feucht.|damp|The towel was still slightly damp.
3271|furchtbar|Der furchtbare Lärm störte die Nachbarn.|terrible|The terrible noise disturbed the neighbors.
3278|sensibel|Der sensible Junge weinte schnell.|sensitive|The sensitive boy cried easily.
3280|vordere|Der vordere Sitz ist bequemer.|front|The front seat is more comfortable.
3289|herrlich|Das Wetter heute ist einfach herrlich.|marvelous|The weather today is simply marvelous.
3297|radioaktiv|Das radioaktive Material war gefährlich.|radioactive|The radioactive material was dangerous.
3298|unsicher|Er fühlt sich unsicher bei der Prüfung.|uncertain|He feels uncertain during the exam.
3306|fröhlich|Sie hat ein fröhliches Lachen.|cheerful|She has a cheerful laugh.
3309|quantitativ|Quantitative Daten allein reichen nicht.|quantitative|Quantitative data alone is not enough.
3313|heimlich|Er warf einen heimlichen Blick.|secret|He cast a secret glance.
3321|mechanisch|Die mechanische Arbeit war anstrengend.|mechanical|The mechanical work was exhausting.
3324|symmetrisch|Die Skulptur ist perfekt symmetrisch.|symmetrical|The sculpture is perfectly symmetrical.
3332|anscheinend|Der anscheinende Erfolg war kurzlebig.|apparent|The apparent success was short-lived.
3335|polnisch|Wir besuchen eine polnische Stadt.|Polish|We are visiting a Polish city.
3357|klinisch|Der klinische Test verlief erfolgreich.|clinical|The clinical trial was successful.
3360|indisch|Das indische Essen war sehr scharf.|Indian|The Indian food was very spicy.
3375|objektiv|Er hat eine objektive Meinung dazu.|objective|He has an objective opinion on that.
3377|stumm|Sie blieb während der Diskussion stumm.|dumb, silent, mute|She remained silent during the discussion.
3382|maßgeblich|Der maßgebliche Faktor war Zeit.|significant, decisive|The significant factor was time.
3394|sorgfältig|Die sorgfältige Planung zahlte sich aus.|careful|The careful planning paid off.
3402|dynamisch|Das Team arbeitete auf dynamische Weise.|dynamic|The team worked in a dynamic way.
3406|fett|Die fette Schrift fiel sofort auf.|fat, greasy, rich|The bold font was immediately noticeable.
3418|harmonisch|Die Farben wirken harmonisch zusammen.|harmonious|The colors blend harmoniously.
3422|fix|Er fand eine fixe Lösung fürs Problem.|quick, fixed|He found a quick solution to the problem.
3435|abstrakt|Das abstrakte Gemälde war faszinierend.|abstract|The abstract painting was fascinating.
3436|ästhetisch|Das Gebäude ist ästhetisch ansprechend.|aesthetic|The building is aesthetically pleasing.
3446|strukturell|Es gibt strukturelle Probleme im System.|structural|There are structural problems in the system.
3451|realistisch|Seine Erwartungen sind realistisch.|realistic|His expectations are realistic.
3452|tödlich|Das Gift ist für Menschen tödlich.|fatal|The poison is fatal to humans.
3461|besorgt|Er ist besorgt um seine Gesundheit.|worried, anxious, afraid|He is worried about his health.
3469|bequem|Das bequeme Sofa lud zum Verweilen ein.|comfortable|The comfortable sofa invited you to stay.
3481|nützlich|Das nützliche Werkzeug half enorm.|useful|The useful tool helped a lot.
3489|physisch|Der physische Schaden war gering.|physical|The physical damage was minimal.
3495|gespannt|Er ist gespannt auf die Nachricht.|eager, anxious, tense|He is eager for the news.
3497|stundenlang|Das stundenlange Warten nervte alle.|(lasting) for hours|The waiting that lasted for hours annoyed everyone.
3503|kognitiv|Die kognitiven Fähigkeiten nehmen ab.|cognitive|Cognitive abilities are declining.
3506|auffällig|Ihr auffälliges Kleid zog Blicke an.|conspicuous|Her conspicuous dress attracted attention.
3511|psychologisch|Psychologische Beratung kann helfen.|psychological|Psychological counseling can help.
3512|treu|Der treue Hund wartete geduldig.|faithful|The faithful dog waited patiently.
3530|aggressiv|Sein Ton war ziemlich aggressiv.|aggressive|His tone was quite aggressive.
3531|definitiv|Die Zusage ist jetzt definitiv.|definite, definitive|The approval is now definitive.
3553|südlich|Die südliche Stadt war warm und sonnig.|southern|The southern city was warm and sunny.
3562|kostenlos|Das kostenlose Angebot lockte viele an.|free (of charge)|The free offer attracted many.
3567|einzigartig|Das Design ist wirklich einzigartig.|unique|The design is truly unique.
3569|reell|Der reelle Preis war unerwartet hoch.|real|The real price was unexpectedly high.
3583|industriell|Die industrielle Anlage war riesig.|industrial|The industrial facility was enormous.
3587|absurd|Diese Behauptung ist einfach absurd.|absurd|This claim is simply absurd.
3591|autonom|Das autonome Fahrzeug fuhr sicher.|autonomous|The autonomous vehicle drove safely.
3592|blond|Das blonde Kind spielt draußen.|blond|The blond child is playing outside.
3593|anstrengend|Die Arbeit war körperlich anstrengend.|exhausting|The work was physically exhausting.
3596|lateinisch|Die lateinische Sprache ist komplex.|Latin|The Latin language is complex.
3598|mühsam|Die mühsame Arbeit dauerte lange.|strenuous, laborious|The laborious work took a long time.
3599|präzise|Die Uhr war auf die Sekunde präzise.|precise|The clock was precise to the second.
3607|düster|Der düstere Wald wirkt unheimlich.|gloomy|The gloomy forest feels eerie.
3612|starr|Der starre Blick machte uns nervös.|stiff, rigid, paralyzed|The rigid stare made us nervous.
3623|langjährig|Sie haben eine langjährige Freundschaft.|long-standing|They have a long-standing friendship.
3636|deutschsprachig|Er liest deutschsprachige Bücher.|German-speaking|He reads German-speaking books.
3642|hässlich|Das Bild im Flur war wirklich hässlich.|ugly|The picture in the hallway was really ugly.
3644|unverändert|Die Situation blieb unverändert.|unchanged|The situation remained unchanged.
3653|akademisch|Er verfolgt eine akademische Laufbahn.|academic|He is pursuing an academic career.
3654|aufwendig|Die Produktion war sehr aufwendig.|extravagant, costly|The production was very costly.
3664|liberal|Er vertrat eine liberale Sichtweise.|liberal|He held a liberal viewpoint.
3665|musikalisch|Musikalisch war er talentiert.|musical|Musically, he was talented.
3687|variabel|Das Wetter ist hier sehr variabel.|variable|The weather here is very variable.
3694|proportional|Die Kosten sind proportional zum Nutzen.|proportional|The costs are proportional to the benefit.
3698|operativ|Die operative Strategie war effektiv.|operative|The operative strategy was effective.
3702|schräg|Der schräg Baum fiel bei starkem Wind.|diagonal, at an angle|The angled tree fell during strong winds.
3703|verehrt|Der verehrte Lehrer hielt eine Rede.|venerated, honored|The venerated teacher gave a speech.
3707|gefangen|Die gefangene Katze wurde befreit.|captive, captured, caught|The captured cat was freed.
3711|restlich|Die restlichen Fragen bleiben offen.|remaining|The remaining questions remain unanswered.
3718|einmalig|Es war eine einmalige Gelegenheit.|unique, fantastic|It was a unique opportunity.
3724|unsichtbar|Das Gas war unsichtbar, aber gefährlich.|invisible|The gas was invisible but dangerous.
3727|vorläufig|Dies ist nur eine vorläufige Lösung.|temporary|This is just a temporary solution.
3729|akut|Das akute Problem musste gelöst werden.|acute, urgent|The acute problem had to be solved.
3731|chronisch|Er leidet an chronischen Schmerzen.|chronic|He suffers from chronic pain.
3738|touristisch|Die touristische Region war gut besucht.|touristic|The touristic region was well-visited.
3740|geographisch|Die geographische Lage war ideal.|geographic|The geographic location was ideal.
3751|gültig|Das Ticket ist bis morgen gültig.|valid|The ticket is valid until tomorrow.
3758|israelisch|Das israelische Team war erfolgreich.|Israeli|The Israeli team was successful.
3765|vergeblich|Alle Bemühungen waren vergeblich.|futile|All efforts were futile.
3774|schuldig|Er fühlte sich schuldig für den Fehler.|guilty|He felt guilty for the mistake.
3777|elementar|Elementare Kenntnisse sind erforderlich.|elementary, basic|Elementary knowledge is required.
3785|final (er, e, es)|Die finale Runde entschied das Spiel.|final|The final round decided the game.
3788|physiologisch|Die physiologische Reaktion war normal.|physiological|The physiological reaction was normal.
3793|endlos|Die Diskussion schien endlos zu sein.|endless, infinite|The discussion seemed endless.
3799|städtisch|Das städtische Leben ist hektisch.|municipal, urban|Urban life is hectic.
3801|harmlos|Ein harmloser Fehler fiel niemandem auf.|harmless|A harmless mistake went unnoticed.
3802|reichlich|Das reichliche Essen machte alle satt.|plenty, generous|The generous meal made everyone full.
3804|spektakulär|Das Feuerwerk war spektakulär.|spectacular|The fireworks were spectacular.
3820|dauernd|Der dauernde Regen nervte uns.|constant, lasting|The constant rain annoyed us.
3821|eigenständig|Sie führt ein eigenständiges Leben.|independent|She leads an independent life.
3822|elegant|Die elegante Frau betrat den Raum.|elegant|The elegant woman entered the room.
3824|mutmaßlich|Der mutmaßliche Täter wurde gefasst.|presumed, suspected|The suspected perpetrator was caught.
3826|vermehrt|Vermehrter Regen verzögert den Verkehr.|increased|Increased rain is delaying traffic.
3833|asymmetrisch|Ihr Gesicht war leicht asymmetrisch.|asymmetric|Her face was slightly asymmetric.
3834|bescheiden|Der bescheidene Mann lehnte das Lob ab.|modest|The modest man declined the praise.
3854|prinzipiell|Prinzipiell ist das Risiko gering.|in principle|In principle, the risk is low.
3863|hessisch|Die hessische Küche ist bekannt.|Hessian|The Hessian cuisine is famous.
3865|passiv|Er blieb während der Diskussion passiv.|passive|He remained passive during the discussion.
3871|detailliert|Der Bericht war sehr detailliert.|detailed|The report was very detailed.
3874|unglücklich|Er war unglücklich über den Verlust.|unhappy, unfortunate|He was unhappy about the loss.
3894|gründlich|Die gründliche Untersuchung war teuer.|thorough|The thorough investigation was expensive.
3913|jetzig|Die jetzige Situation ist schwierig.|current|The current situation is difficult.
3917|lächerlich|Die Forderung war einfach lächerlich.|ridiculous|The demand was simply ridiculous.
3920|außerordentlich|Das war eine außerordentliche Leistung!|extraordinary|That was an extraordinary performance!
3922|minimal|Die Unterschiede sind minimal.|minimal|The differences are minimal.
3926|unerwartet|Unerwartete Gäste trafen plötzlich ein.|unexpected|Unexpected guests suddenly arrived.
3948|materiell|Materieller Besitz ist vergänglich.|financial, material|Material possessions are fleeting.
3954|mutig|Der mutige Soldat kämpfte bis zum Ende.|courageous|The courageous soldier fought until the end.
3956|sympathisch|Er ist ein sehr sympathischer Mensch.|sympathetic|He is a very sympathetic person.
3965|hilfreich|Sein Rat war wirklich hilfreich.|helpful|His advice was truly helpful.
3967|königlich|Er erhielt königlichen Besuch.|royal|He received a royal visitor.
3971|schmutzig|Die schmutzige Wäsche liegt dort.|dirty|The dirty laundry is lying there.
3974|gemütlich|Das Café war klein, aber gemütlich.|comfortable, cozy|The café was small but cozy.
3978|blass|Das blasse Gesicht erschreckte uns.|pale|The pale face frightened us.
3996|romantisch|Er plante ein romantisches Abendessen.|romantic|He planned a romantic dinner.
4003|zart|Das zarte Fleisch zerging auf der Zunge.|tender|The tender meat melted in your mouth.
4008|seitlich|Die seitliche Tür war verschlossen.|laterally, at/to the side|The side door was locked.
4013|satt|Der satte Mann legte sich schlafen.|full, fed up|The full man went to sleep.
4015|symbolisch|Die Geste war rein symbolisch.|symbolic|The gesture was purely symbolic.
4021|ländlich|Wir besuchten das ländliche Gebiet.|rural|We visited the rural area.
4026|anspruchsvoll|Sie bevorzugt anspruchsvolle Aufgabe.|sophisticated|She prefers sophisticated tasks.
4030|geometrisch|Geometrische Formen faszinieren ihn.|geometric|Geometric shapes fascinate him.
4035|unwahrscheinlich|Das Szenario ist unwahrscheinlich.|improbable, unlikely|The scenario is unlikely.
4044|partiell|Die partielle Lösung reichte nicht aus.|partial|The partial solution wasn't enough.
4063|schwul|Er hat sich als schwul geoutet.|gay|He came out as gay.
4065|bemerkenswert|Das Ergebnis ist wirklich bemerkenswert.|remarkable|The result is truly remarkable.
4068|einseitig|Die Darstellung war sehr einseitig.|one-sided|The representation was very one-sided.
4076|bundesweit|Die bundesweite Regelung trat in Kraft.|nationwide|The nationwide regulation took effect.
4084|aromatisch|Der aromatische Duft erfüllte den Raum.|aromatic|The aromatic scent filled the room.
4090|thermisch|Die thermische Belastung war hoch.|thermal|The thermal load was high.
4092|verwandt|Die verwandte Familie kam zu Besuch.|related|The related family came to visit.
4110|sachlich|Die Diskussion blieb sachlich.|objective, matter-of-fact|The discussion remained objective.
4117|außergewöhnlich|Außergewöhnliche Talente sind selten.|unusual, extraordinary|Extraordinary talents are rare.
4121|Kölner|Der Kölner Dom ist weltbekannt.|Cologne|The Cologne Cathedral is world-famous.
4129|bar|Ich bezahle die Rechnung lieber bar.|cash|I prefer to pay the bill in cash.
4141|flüchtig|Er gibt ihr einen flüchtigen Kuss.|fugitive, cursory, fleeting|He gave her a fleeting kiss.
4149|verdächtig|Sein Verhalten war verdächtig.|suspicious|His behavior was suspicious.
4150|zuverlässig|Er ist ein zuverlässiger Partner.|reliable|He is a reliable partner.
4152|alltäglich|Solche Probleme sind leider alltäglich.|daily, usual, ordinary|Such problems are unfortunately everyday occurrences.
4161|drastisch|Eine drastische Änderung war notwendig.|drastic|A drastic change was necessary.
4162|gleichmäßig|Die Verteilung der Last war gleichmäßig.|regular, even|The distribution of the load was even.
4166|molekular|Die molekulare Struktur war kompliziert.|molecular|The molecular structure was complicated.
4169|stationär|Die stationäre Behandlung dauerte lange.|inpatient, fixed, stationary|The inpatient treatment took a long time.
4171|brutal|Der brutale Angriff schockierte alle.|brutal|The brutal attack shocked everyone.
4172|ehrenamtlich|Ehrenamtliche Arbeit bringt viel Freude.|honorary, voluntary|Voluntary work brings a lot of joy.
4173|großzügig|Er machte eine großzügige Spende.|generous|He made a generous donation.
4177|strikt|Die Regeln sind hier sehr strikt.|strict|The rules here are very strict.
4181|fit|Er bleibt fit durch regelmäßigen Sport.|fit|He stays fit through regular exercise.
4189|gelassen|Er bleibt in jeder Situation gelassen.|calm, composed|He remains calm in every situation.
4190|live|Das live Konzert war beeindruckend!|live|The live concert was impressive!
4192|sozialistisch|Sozialistische Ideen waren umstritten.|socialist|Socialist ideas were controversial.
4209|regelrecht|Sie braucht regelrechte Behandlung.|proper, real|She needs proper treatment.
4216|regulär|Der regulär Zug fährt um 18 Uhr ab.|regular, normal|The regular train departs at 6 p.m.
4218|ukrainisch|Das ukrainische Fest war gut besucht.|Ukrainian|The Ukrainian festival was well attended.
4229|elektromagnetisch|Elektromagnetische Felder umgeben uns.|electromagnetic|Electromagnetic fields surround us.
4236|örtlich|Das örtliche Wetter ist unberechenbar.|local|The local weather is unpredictable.
4241|prominent|Ein prominenter Gast besuchte das Event.|prominent|A prominent guest attended the event.
4243|afrikanisch|Das afrikanische Fest war bunt und laut.|African|The African festival was colorful and loud.
4248|philosophisch|Er stellte eine philosophische Frage.|philosophical|He asked a philosophical question.
4255|einverstanden|Ich bin mit dem Plan einverstanden.|(to be) in agreement|I am in agreement with the plan.
4256|fachlich|Die fachliche Schulung war intensiv.|specialist, technical, professional|The professional training was intense.
4274|einstig|Der einstige Ruhm verblasste schnell.|former|The former glory faded quickly.
4279|nördlich|Nördlich von Berlin liegt ein See.|north|North of Berlin lies a lake.
4280|obig|Das obige Beispiel zeigt den Fehler.|above|The above example shows the error.
4281|skeptisch|Der skeptische Blick verunsicherte ihn.|skeptical|The skeptical look made him uneasy.
4287|ärztlich|Die ärztliche Beratung ist kostenlos.|medical|The medical consultation is free of charge.
4289|geschickt|Geschickte Hände bauten dieses Haus.|skilled|Skilled hands built this house.
4290|mittelalterlich|Die Stadt hat mittelalterliche Gebäude.|medieval|The city has medieval buildings.
4295|anorganisch|Sie studierte anorganische Verbindungen.|inorganic|She studied inorganic compounds.
4303|sinnlos|Die Diskussion war völlig sinnlos.|meaningless|The discussion was completely meaningless.
4308|erreichbar|Der Gipfel war kaum erreichbar.|within reach, reachable|The summit was barely reachable.
4312|populär|Der populäre Sänger hatte viele Fans.|popular|The popular singer had many fans.
4326|intellektuell|Ein intellektueller Austausch ist nötig.|intellectual|An intellectual exchange is necessary.
4327|legendär|Die legendäre Band tritt wieder auf.|legendary|The legendary band is performing again.
4329|motorisch|Seine motorischen Fähigkeiten sind gut.|motor|His motor skills are good.
4357|mild|Der milde Wind streifte mein Gesicht.|mild, gentle|The mild wind brushed my face.
4365|Thüringer|Die Thüringer Küche ist berühmt.|Thuringian|Thuringian cuisine is famous.
4372|vorig|Im vorigen Jahr war es anders.|previous|In the previous year, it was different.
4375|belgisch|Er probierte belgische Schokolade.|Belgian|He tried Belgian chocolate.
4380|glänzend|Der glänzende Pokal stand auf dem Tisch.|shiny, shining, brilliant|The shiny trophy stood on the table.
4389|horizontal|Die horizontale Linie teilte das Bild.|horizontal|The horizontal line divided the picture.
4391|kriminell|Seine kriminellen Taten wurden enthüllt.|criminal|His criminal actions were revealed.
4393|vorzeitig|Vorzeitiger Start gab mehr Spielraum.|early, premature|An early start allowed more leeway.
4403|nachvollziehbar|Die Erklärung war gut nachvollziehbar.|plausible, transparent|The explanation was plausible.
4404|spürbar|Die Kälte war spürbar im Raum.|noticeable, perceptible|The cold was noticeable in the room.
4410|schlank|Er bleibt schlank durch viel Bewegung.|slim|He stays slim through a lot of activity.
4416|quadratisch|Der Tisch hat eine quadratische Form.|square|The table has a square shape.
4418|solide|Das solide Fundament sicherte das Haus.|solid, sound|The solid foundation secured the house.
4419|unauffällig|Er blieb unauffällig im Hintergrund.|inconspicuous|He stayed inconspicuous in the background.
4426|homogen|Eine homogene Gruppe arbeitete besser.|homogeneous|A homogeneous group worked better.
4437|unerträglich|Die unerträgliche Hitze raubte den Atem.|unbearable, intolerable|The unbearable heat took our breath away.
4439|zwangsläufig|Die Entscheidung war zwangsläufig.|inevitable|The decision was inevitable.
4443|kommunal|Kommunale Wahlen stehen bevor.|municipal|Municipal elections are coming up.
4452|behindert|Er hilft seinem behinderten Bruder.|handicapped|He helps his handicapped brother.
4464|signifikant|Die Unterschiede sind signifikant.|significant|The differences are significant.
4467|unbewusst|Er war sich unbewusst der Gefahr.|unconscious|He was unaware of the danger.
4469|voraussichtlich|Das Wetter bleibt voraussichtlich warm.|probable, presumable|The weather is expected to remain warm.
4479|überlegen|Er ist ihm überlegen im Schach.|superior|He is superior to him in chess.
4492|humanitär|Sie leisteten humanitäre Hilfe.|humanitarian|They provided humanitarian aid.
4494|naiv|Das naive Kind vertraute jedem.|naive|The naive child trusted everyone.
4503|gänzlich|Die Entscheidung war gänzlich falsch.|entirely|The decision was entirely wrong.
4510|asiatisch|Das asiatische Gericht war sehr scharf.|Asian|The Asian dish was very spicy.
4512|blutig|Nach dem Unfall war die Straße blutig.|bloody|After the accident, the road was bloody.
4516|römisch|Das römische Reich war mächtig.|Roman|The Roman Empire was powerful.
4521|auswärtig|Die auswärtigen Gäste reisten an.|external|The external guests arrived.
4522|elastisch|Das Band dehnte sich elastisch aus.|elastic|The band stretched elastically.
4529|verbal|Es kam zu einem verbalen Streit.|verbal|A verbal argument ensued.
4537|gängig|Das ist eine gängige Praxis in Büros.|common|That is a common practice in offices.
4539|kommunikativ|Er ist ein sehr kommunikativer Mensch.|communicative|He is a very communicative person.
4541|letzterer, letztere, letzteres|Der letztere Punkt war entscheidend.|latter|The latter point was crucial.
4545|zeitgenössisch|Er nutzt ein zeitgenössisches Konzept.|contemporary|He uses a contemporary concept.
4552|innovativ|Innovative Ideen führten zum Erfolg.|innovative|Innovative ideas led to success.
4553|kollektiv|Es war eine kollektive Entscheidung.|collective|It was a collective decision.
4554|nüchtern|Er bleibt bei der Arbeit nüchtern.|sober, with empty stomach|He stays sober while working.
4555|ungeheuer|Die Größe des Gebäudes war ungeheuer.|tremendous|The size of the building was tremendous.
4561|derzeitig|Die derzeitige Lage ist kritisch.|current|The current situation is critical.
4565|gigantisch|Das Gebäude hatte gigantische Ausmaße.|gigantic|The building was gigantic in scale.
4567|überflüssig|Diese Information war überflüssig.|superfluous, unnecessary|This information was unnecessary.
4573|sowjetisch|Sowjetische Technik war robust.|Soviet|Soviet technology was robust.
4575|verbindlich|Ich brauche eine verbindliche Antwort.|binding, authoritative|I need a binding answer.
4579|konventionell|Er bevorzugt konventionelle Methoden.|conventional|He prefers conventional methods.
4581|organisatorisch|Es gab organisatorische Schwierigkeiten.|organizational|There were organizational difficulties.
4582|reif|Die reifen Äpfel fielen von den Bäumen.|ripe|The ripe apples fell from the trees.
4587|empfindlich|Das empfindliche Gerät brach schnell.|sensitive|The sensitive device broke quickly.
4589|hilflos|Das hilflose Kind weinte bitterlich.|helpless|The helpless child cried bitterly.
4602|witzig|Der witzige Kommentar sorgte für Lacher.|funny|The witty comment made everyone laugh.
4609|rational|Die Entscheidung war rational.|rational|The decision was rational.
4611|fließend|Das fließende Wasser beruhigte ihn.|fluent, fluid, flowing|The flowing water calmed him.
4613|naturwissenschaftlich|Naturwissenschaftliche Forschung lief.|scientific|Scientific research was underway.
4633|pädagogisch|Sein pädagogischer Ansatz war effektiv.|pedagogical|His pedagogical approach was effective.
4653|dominant|Dieses Merkmal war dominant im Design.|dominant|This feature was dominant in the design.
4663|giftig|Das giftige Gas war gefährlich.|poisonous|The poisonous gas was dangerous.
4665|hinreichend|Der Beweis war nicht hinreichend.|sufficient|The evidence was not sufficient.
4676|gehörlos|Er unterrichtet gehörlose Kinder.|deaf|He teaches deaf children.
4685|familiär|Wir leben in einem familiären Umfeld.|family, familial, close|We live in a close-knit family environment.
4689|technologisch|Sie nutzte die technologische Neuerung.|technological|She used the technological innovation.
4691|antik|Die antike Lampe strahlte sanftes Licht.|antique|The antique lamp cast a soft light.
4694|gesundheitlich|Er hat einige gesundheitliche Probleme.|sanitary|He has some health problems.
4695|konstruktiv|Konstruktive Kritik brachte neue Ideen.|constructive|Constructive criticism brought new ideas.
4703|fähig|Er ist fähig, die Aufgabe zu lösen.|able|He is able to solve the task.
4722|ausgesprochen|Das Wetter war ausgesprochen gut.|pronounced, expressed, exceptional|The weather was exceptionally good.
4728|präsent|Er war bei der Sitzung präsent.|present|He was present at the meeting.
4732|vornehm|Die vornehme Dame betritt den Raum.|noble, fine|The distinguished lady entered the room.
4733|bedeutsam|Das war ein bedeutsamer Moment für uns.|important, significant, meaningful|That was a significant moment for us.
4734|evangelisch|Die evangelische Kirche war sehr alt.|Protestant|The Protestant church was very old.
4737|nachdenklich|Sein nachdenklicher Blick fiel auf sie.|thoughtful|His thoughtful gaze fell on her.
4750|pünktlich|Sie war immer pünktlich zur Arbeit.|punctual, on time|She was always on time for work.
4753|diplomatisch|Der diplomatische Weg ist oft der beste.|diplomatic|The diplomatic route is often the best.
4762|oberflächlich|Die Prüfung war oberflächlich.|superficial|The exam was superficial.
4763|parlamentarisch|Die parlamentarische Debatte war hitzig.|parliamentary|The parliamentary debate was heated.
4764|semantisch|Die semantische Analyse war schwierig.|semantic|The semantic analysis was difficult.
4783|ethisch|Sie diskutierten über ethische Fragen.|ethical|They discussed ethical questions.
4788|optimistisch|Optimistische Worte gaben neue Hoffnung.|optimistic|Optimistic words gave new hope.
4794|beweglich|Sie bewunderten den beweglichen Roboter.|mobile, flexible|They admired the flexible robot.
4796|fraglich|Seine Aussagen waren fraglich.|questionable|His statements were questionable.
4800|nächtlich|Nächtliche Geräusche weckten mich.|nocturnal|Nocturnal sounds woke me up.
4814|selbstbewusst|Seine Stimme klang selbstbewusst.|self-confident|His voice sounded self-confident.
4815|souverän|Der König war ein souveräner Herrscher.|sovereign|The king was a sovereign ruler.
4837|höflich|Er ist immer höflich zu seinen Nachbarn.|polite|He is always polite to his neighbors.
4851|muslimisch|Die muslimische Gemeinde feiert Ramadan.|Muslim|The Muslim community celebrates Ramadan.
4856|visuell|Der Film hatte viele visuelle Effekte.|visual|The movie had many visual effects.
4865|nachträglich|Er bekam eine nachträgliche Einladung.|subsequent, retrospective, belated|He received a belated invitation.
4868|spitz|Der Bleistift war spitz genug.|sharp|The pencil was sharp enough.
4882|monatlich|Er zahlte die monatliche Miete heute.|monthly|He paid the monthly rent today.
4883|sächsisch|Die sächsische Dialekt ist unverkennbar.|Saxon|The Saxon dialect is unmistakable.
4894|frühzeitig|Die frühzeitige Buchung sparte mir Geld.|premature, early|The early booking saved me money.
