|part_of_speech|word_de|sentence_de|word_en
1153|prep|per|Die Kosten betragen 10 Euro per Meter.|by, per
1155|adv|her|Vor einem Jahr kam ich nach Deutschland.|from sth, ago, as far as . . . is concerned
1162|adj|elektrisch|Das Auto ist elektrisch betrieben.|electric
1164|der|der Beitrag|Sein Beitrag zum Projekt war wichtig.|contribution
1182|das|das Gebiet|Das Gebiet ist groß und umfasst viele Wälder.|region, area, territory
1189|der, das|der Grad|Der Temperaturgrad ist hoch.|degree
1190|pron|irgendein|Hast du irgendein Problem?|some, any
1192|pron|irgendetwas, irgendwas|Hast du irgendwas gesagt?|something, anything
1207|verb|töten, tötet, tötete, hat getötet|Er tötet die Zeit, während er auf den Bus wartet.|to kill
1226|die|die Generation|Die neue Generation wächst mit Technologie auf.|generation
1227|adj|chinesisch|Das Essen ist chinesisch gewürzt.|Chinese
1228|das|das Chinesisch|Er lernt Chinesisch in der Schule.|Chinese
1237|das|das Papier|Das Papier ist weiß und glatt.|paper
1239|prep|angesichts|Angesichts der Lage handeln wir vorsichtig.|in view of
1240|adj|leise|Der Raum ist leise und still.|quiet, soft
1245|adv|erstmals|Er ist erstmals hier.|for the first time
1253|adj|obere (r, s)|Die obere Etage ist gesperrt.|upper
1257|adj|mittlere (r, s)|Die mittlere Größe passt am besten.|middle, average
1264|adj|berliner|Die Berliner Mauer war ein Symbol der Teilung.|(of) Berlin
1284|adj|geboren|Sie ist eine geborene Musikerin.|born
1286|verb|zwingen, zwingt, zwang, hat gezwungen|Er zwingt ihn, das Zimmer zu verlassen.|to force
1287|das|das Bier|Das Bier ist kalt und erfrischend.|beer
1299|verb|angehen, geht an, ging an, ist angegangen|Das geht dich nichts an.|to concern, go on
1302|verb|auftauchen, taucht auf, tauchte auf, ist aufgetaucht|Ein Problem tauchte plötzlich auf.|to surface, appear
1316|part|äh|Äh, ich weiß nicht.|um
1323|das|das Teilchen|Ein Teilchen bewegt sich schnell.|particle
1348|adj|Schweizer|Der Käse ist Schweizer Käse.|Swiss
1362|adj|außen|Er bleibt draußen.|outside
1374|adv|leid|Ich bin des Wartens leid.|(be) tired (of)
1381|der|der Milliliter, ml|Das Glas fasst hundert Milliliter.|milliliter
1389|adv|vielmehr|Das Buch war vielmehr spannend und lehrreich als langweilig.|rather
1390|verb|konzentrieren, konzentriert, konzentrierte, hat konzentriert|Ich kann mich nicht konzentrieren.|to concentrate
1393|die|die See|Die See ist ruhig heute.|sea
1400|der, die|die Jugendliche|Die Jugendliche liest ein Buch.|adolescent
1409|die|die Basis|Die Basis des Erfolgs ist harte Arbeit.|basis
1417|verb|ankündigen, kündigt an, kündigte an, hat angekündigt|Er kündigte seinen Besuch für morgen an.|to announce
1424|die|die DDR (Deutsche Demokratische Republik)|Die DDR existiert seit 1990 nicht mehr.|DDR
1427|der, die|die Abgeordnete|Die Abgeordnete spricht im Parlament.|member of parliament, congress
1431|der|der Bezug|Er nimmt Bezug auf das Buch, das er gelesen hat.|reference, cover
1433|der|der Stand|Der Stand der Dinge ist kritisch.|stand, stage
1436|der|der Club|Der Club hat viele Mitglieder.|club
1439|der|der Anschlag|Der Anschlag war verheerend, sagte die Polizei.|attack
1459|adj|bayrisch|Das Essen ist bayerisch.|Bavarian
1469|das|das Amt|Er arbeitet im Finanzamt.|office, department, function
1471|verb|vermitteln, vermittelt, vermittelte, hat vermittelt|Er vermittelt den Vertrag zwischen den Parteien.|to convey, mediate, find, procure
1488|adv|mitten|Mitten im Raum steht ein Tisch.|in the middle
1489|prep|zufolge|Dem Bericht zufolge stiegen die Zahlen.|according to
1500|adj|froh|Ich bin froh, dass du hier bist.|happy, glad
1505|adj|zuständig|Er ist zuständig für die Organisation.|appropriate, responsible
1523|das|das Sommersemester|Das Sommersemester beginnt im April.|summer semester
1529|verb|veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht|Das Buch wurde letztes Jahr veröffentlicht.|to publish
1533|die|die Praxis|Die Praxis ist modern ausgestattet.|practice, doctor’s office
1537|verb|übertragen|Die Daten werden in Echtzeit übertragen.|to transfer
1548|adv|vorbei|Die Zeit der Prüfungen ist vorbei.|past, over
1570|verb|verfügen, verfügt, verfügte, hat verfügt|Er verfügt über umfangreiche Ressourcen.|to have sth at one’s disposal, be in charge
1573|der|der Konzern|Der Konzern expandiert weltweit.|corporation
1576|adj|spezifisch|Das ist eine sehr spezifische Frage.|specific
1578|die|die Kamera|Die Kamera ist teuer, aber gut.|camera
1597|adv|dahin|Das Auto fährt dahin, wo die Straße endet.|there
1613|die|die VWL (Volkswirtschaftslehre)|VWL ist ein interessantes Fach, weil es Wirtschaft und Gesellschaft verbindet.|economics
1618|die|die Mark|Die Mark war einst die Währung Deutschlands.|Deutschmark
1638|das|das Lager|Das Lager ist voll mit Waren.|camp, storeroom
1647|adj|reich|Er ist reich an Erfahrung.|rich, abundant
1675|die|die Scheiße|Das ist totale Scheiße!|crap, shit
1703|der|der Leiter|Der Leiter ist verantwortlich für das Projekt.|leader
1704|die|die Leiter|Die Leiter ist lang und stabil.|ladder
1715|adv|einerseits|Einerseits bin ich müde, andererseits bin ich glücklich.|on the one hand
1721|verb|packen, packt, packte, hat gepackt|Er packt seinen Koffer für die Reise.|to pack, grab
1724|verb|anwenden, wendet an, wandte an, hat angewandt|Er wendet die Technik erfolgreich an.|to apply, employ
1737|das|das Reich|Das Reich der Tiere ist vielfältig.|empire, kingdom
1762|num||Er hat null Punkte erreicht.|zero
1779|der|der Verlauf|Der Verlauf der Krankheit war besorgniserregend.|course
1791|der|der Alltag|Der Alltag ist stressig wegen der Arbeit.|workday, daily routine, everyday life
1798|verb|bedingen, bedingt, bedingte, hat bedingt|Das Problem bedingt eine rasche Lösung.|to cause
1813|das|das Fach|Das Fach Mathematik ist schwer.|compartment, subject
1816|die|die Nation|Die Nation ist groß und vielfältig.|nation
1839|die|die Stufe|Die Stufe ist hoch, sei vorsichtig.|step, level
1841|adj|primär|Das ist primär ein finanzielles Problem.|primary
1871|die|die Variable|Die Variable ändert sich je nach Bedingung.|variable
1876|das|das Volumen|Das Volumen des Raumes ist beeindruckend.|volume, total amount
1911|adj|seltsam|Das erzählt des Tieres ist seltsam.|strange, peculiar
1921|adj|-jährig|Er ist ein zwanzigjähriger Mann.|years (old)
1928|adv|etc.|Bring Getränke, Snacks etc.|etc.
1931|verb|erweitern, erweitert, erweiterte, hat erweitert|Das Unternehmen erweitert seine Produktpalette.|to widen, expand
1973|die|die Ansicht|Das ist meine persönliche Ansicht.|opinion, view
1974|die|die AG (Aktiengesellschaft)|Die AG ist erfolgreich im internationalen Markt.|incorporated company, inc.
1993|pron|irgendwelche (r, s)|Hast du irgendwelche Fragen?|some, any
2001|adj|spanisch|Sie trinkt spanischen Wein.|Spanish
2005|verb|vorhaben, hat vor, hatte vor, hat vorgehabt|Wir haben viel für das Wochenende vor.|to have in mind, be planning, intend
2023|das|das Gewicht|Das Gewicht des Pakets ist hoch.|weight
2027|verb|versorgen, versorgt, versorgte, hat versorgt|Er versorgt die Familie mit allem, was sie braucht.|to supply, provide, look after
2037|prep|mittels|Mittels eines Tricks gelang es ihm, das Rätsel zu lösen.|by means of
2081|die|die Dimension|Die Dimension des Problems ist enorm.|dimension
2086|adj|Wiener|Der Kaffee ist nach Wiener Art zubereitet.|Viennese
2090|das|das Afghanistan|Afghanistan hat eine reiche Kulturgeschichte.|Afghanistan
2092|verb|absehen, sieht ab, sah ab, hat abgesehen|Es ist nicht abzusehen, wann das enden wird.|to foresee, be in sight
2115|das|das Israel|Israel liegt im Nahen Osten.|Israel
2161|die|die Saga|Die Saga erzählt von mutigen Helden.|saga
2168|die|die Stiftung|Die Stiftung ist gemeinnützig und unterstützt viele Projekte.|foundation, institute, donation
2184|der|der Graf|Der Graf lebt auf einem großen Anwesen.|count, earl
2187|adj|optisch|Die optische Täuschung war beeindruckend.|optical, visual
2203|die|die Leber|Die Leber ist ein lebenswichtiges Organ.|liver
2205|verb|aufheben, hebt auf, hob auf, hat aufgehoben|Er hebt das Buch vom Boden auf.|to pick up, keep, lift
2207|adj|heilig|Das ist ein heiliger Ort für viele Gläubige.|holy
2239|die|die Hose|Die Hose ist blau und bequem.|trousers, pants
2241|verb|ansetzen, setzt an, setzte an, hat angesetzt|Er setzt den Termin für nächste Woche an.|to position, estimate, fix
2245|verb|beruhen, beruht, beruhte, hat beruht|Das beruht auf Fakten.|to be based
2249|adv|innen|Das Licht ist innen im Raum.|inside
2256|die, das|die E-Mail|Die E-Mail kam an.|e-mail
2259|die|die Oma|Meine Oma ist nett.|grandma
2274|adv|daraufhin|Er entschied sich daraufhin zu gehen.|as a result
2281|der|der Schlüssel|Der Schlüssel passt ins Schloss.|key
2282|verb|deuten, deutet, deutete, hat gedeutet|Er deutet auf das Bild an der Wand.|to point, indicate, interpret
2283|adj|glatt|Die Straße ist glatt und gefährlich.|smooth, slippery
2312|der|der Witz|Der Witz, den er erzählte, war lustig.|joke
2356|die|die Identität|Seine Identität bleibt unbekannt.|identity
2357|der|der Stock|Das Büro ist im dritten Stockwerk.|stick, floor
2361|die|die Tiefe|Die Tiefe des Sees ist erstaunlich, besonders im Winter.|depth
2379|adv|versus|Es ist Team A versus Team B.|versus
2395|der|der Einwohner|Der Einwohner der Stadt ist zufrieden.|inhabitant
2410|die|die Vielfalt|Die biologische Vielfalt der Tiere in diesem Regenwald ist erstaunlich.|diversity, variety
2412|verb|flüstern, flüstert, flüsterte, hat geflüstert|Sie flüstert ihm ein Geheimnis ins Ohr.|to whisper
2413|adv|geradezu|Das war geradezu genial!|downright
2439|verb|aufwachsen, wächst auf, wuchs auf, ist aufgewachsen|Er ist in einer kleinen Stadt aufgewachsen.|to grow up
2451|adv|ebenda|Das Zitat stammt ebenda aus dem Buch.|ibidem, at the same place
2453|der, die|die Erwachsene|Die Erwachsenen sind verantwortlich.|adult, grown-up
2467|verb|vorlegen, legt vor, legte vor, hat vorgelegt|Er zeigt die Dokumente vor.|to present, provide, produce
2497|das|das Gold|Das Gold glänzt im Sonnenlicht.|gold
2498|adj|umstritten|Das Thema ist in der wissenschaftlichen Gemeinschaft umstritten.|disputed
2515|das|das Plus|Ein Plus des Jobs ist das hohe Gehalt.|plus
2520|verb|ausziehen, zieht aus, zog aus, ist ausgezogen|Er zog aus dem Haus seiner Eltern aus.|to move out, take off (clothes)
2529|das|das Geschlecht|Das Geschlecht des Babys ist weiblich.|sex, gender
2531|die|die Aussicht|Die Aussicht auf die Berge ist herrlich.|prospect, view
2535|die|die Base|Die Base reagiert mit der Säure in der Lösung.|base, alkali
2540|die|die Ehre|Er verteidigt seine Ehre.|honor
2546|der|der Schuss|Ein Schuss fiel in der Stille der Nacht.|shot
2555|adj|olympisch|Die Olympischen Spiele sind beeindruckend.|Olympic
2556|adj|verdammt|Das war verdammt schwer!|damned
2561|verb|umbringen, bringt um, brachte um, hat umgebracht|Er brachte sie aus Eifersucht um.|to kill
2566|pron|worauf|Worauf basiert diese Annahme genau?|on what, to what
2574|adj|Frankfurter|Der Frankfurter Flughafen ist riesig.|Frankfurt
2582|adj|räumlich|Die räumliche Gestaltung des Raumes ist schön.|three-dimensional, spatial
2587|verb|vergeben|Der Preis wurde für herausragende Leistungen vergeben.|to award, allocate, give away
2603|prep|jenseits|Jenseits des Flusses liegt ein kleines Dorf.|beyond
2604|verb|unterliegen, unterliegt, unterlag, hat unterlegen|Er unterliegt im Wettkampf.|to be defeated, be subject
2606|adj|willkommen|Du bist hier immer willkommen.|welcome
2617|verb|bedrohen, bedroht, bedrohte, hat bedroht|Die Situation bedroht uns alle durch die steigenden Spannungen.|to threaten
2625|adj|scheinbar|Das ist nur scheinbar so, es gibt mehr dahinter.|apparent
2641|der|der Kredit|Ich brauche einen Kredit für das neue Auto.|loan, credit
2642|das|das Wohnzimmer|Das Wohnzimmer ist gemütlich und einladend.|living room
2644|die|die Leitung|Die Leitung des Unternehmens hat gewechselt.|management, leadership
2645|verb|strahlen, strahlt, strahlte, hat gestrahlt|Die Sonne strahlt hell am Himmel.|to shine
2652|der|der Sportler|Der Sportler trainiert hart für den Marathon.|athlete
2660|der|der Kommentar|Der Kommentar des Experten war hilfreich.|comment, opinion
2662|das|das Radio|Das Radio ist laut und stört die Nachbarn.|radio
2666|verb|ansteigen, steigt an, stieg an, ist angestiegen|Die Preise steigen wegen der Inflation an.|to rise, go up
2667|die|die Rückkehr|Die Rückkehr der Soldaten war erfreulich.|return
2691|verb|bereiten, bereitet, bereitete, hat bereitet|Der Unfall hat großen Schaden bereitet.|to make, cause, give
2692|die|die Entstehung|Die Entstehung des Universums ist ein Rätsel.|origin
2700|adj|erkennbar|Das Bild ist kaum erkennbar.|recognizable, apparent, visible
2712|der, die|die Erste|Die Erste, die das Ziel erreicht, gewinnt.|first
2722|verb|beschleunigen, beschleunigt, beschleunigte, hat beschleunigt|Das Auto beschleunigt schnell auf der Autobahn.|to accelerate
2727|der|der Protest|Der Protest gegen die neuen Gesetze war friedlich.|protest
2728|die|die Tour|Die Tour durch die Stadt war aufregend.|tour, trip
2735|der|der Außenminister|Der Außenminister reiste ab, um an der Konferenz teilzunehmen.|foreign minister
2740|der, die, das|die Alte|Die Alte ging spazieren.|old person/thing
2750|verb|zögern, zögert, zögerte, hat gezögert|Er zögerte mit der Antwort, weil er unsicher war.|to hesitate
2751|adv|derart|Es ist derart geschehen, wie wir es besprochen haben.|so
2753|verb|einziehen, zieht ein, zog ein, hat eingezogen|Wir ziehen nächste Woche in die neue Wohnung ein.|to move in
2758|der|der Atem|Mir stockte der Atem.|breath
2777|verb|abbilden, bildet ab, bildete ab, hat abgebildet|Das Buch bildet die Realität der Gesellschaft ab.|to copy, portray
2781|adv|teils|Er war teils begeistert, teils enttäuscht.|partly
2786|verb|hinausgehen, geht hinaus, ging hinaus, ist hinausgegangen|Wir gehen hinaus in den Garten.|to go out, exceed
2790|adj|bürgerlich|Das ist ein bürgerliches Recht in einer Demokratie.|civil, civic
2800|der, die|die Beschäftigte|Die Beschäftigten arbeiten hart.|employee
2805|die|die Dichte|Die Dichte des Materials ist hoch, was seine Festigkeit erhöht.|density
2821|die|die Opposition|Die Opposition protestiert gegen die neuen Maßnahmen.|opposition
2828|die|die Adresse|Ich brauche deine Adresse für die Einladung.|address
2833|das|das Niederländisch|Niederländisch ist leicht zu lernen.|Dutch
2841|adj|heimisch|Sie sollten sich hier heimisch fühlen.|indigenous, native, at home
2844|der|der Bildschirm|Der Bildschirm ist groß und klar.|screen, monitor
2851|die|die Beteiligung|Die Beteiligung der Bürger war groß.|participation
2854|die|die Hut|Er steht auf der Hut vor Gefahren.|guard, alert
2915|die|die Aufklärung|Die Aufklärung des Falls war notwendig.|enlightenment, solution
2917|adj|denkbar|Das ist denkbar, aber unwahrscheinlich.|conceivable
2921|die|die Schönheit|Die Schönheit der Natur im Frühling ist überwältigend.|beauty
2925|pron|dazwischen|Er steht dazwischen, unsicher, welcher Weg der richtige ist.|in between, between (them), among (them)
2927|das|das Tibet|Tibet liegt in Asien.|Tibet
2935|die|die Truppe|Die Truppe marschiert durch die Stadt.|troops, unit
2944|die|die Kasse|Die Kasse im Geschäft ist leer.|cash register, checkout
2945|die (pl)||Er hat viele Schulden.|debt
2954|die|die Zunge|Die Zunge des Kindes ist rosa.|tongue
2997|pron|wodurch|Wodurch ist das passiert?|how, which
3000|verb|verdanken, verdankt, verdankte, hat verdankt|Ich verdanke ihm viel.|to owe, have sb to thank for sth
3011|adj|konsequent|Das ist konsequent gehandelt.|consistent
3014|der|der Gehalt|Der Gehalt des Buches ist tiefgründig.|meaning, contents
3020|adv|extra|Er hat es extra für mich gemacht.|separately, extra
3041|der|der Nationalsozialist|Der Nationalsozialist hielt eine Rede.|National Socialist, Nazi
3043|das|das Zitat|Das Zitat von Goethe ist bekannt.|quotation, quote
3059|die|die Anerkennung|Die Anerkennung seiner Arbeit war groß.|recognition
3066|das, die (pl)|das Weihnachten|Weihnachten ist bald.|Christmas
3080|adj|zugehörig|Das ist der zugehörige Schlüssel.|belonging, corresponding
3087|adj|permanent|Das Problem ist permanent.|permanent
3106|adj|kinetisch|Kinetische Energie beeinflusst die Bewegung.|kinetic
3115|adj|langweilig|Dieses Buch ist sehr langweilig.|boring
3123|die|die Linke|Die Linke hat die Wahl gewonnen.|left-wing party, Left Party
3127|adj|einig|Wir sind uns einig.|agreed
3132|der|der Österreicher|Der Österreicher spricht Deutsch und Englisch.|Austrian
3140|das|das Eisen|Das Eisen ist schwer und rostig.|iron
3142|die|die Besonderheit|Die Besonderheit dieser Stadt ist ihre Architektur.|idiosyncracy, (special) feature, unique characteristic
3146|adj|cool|Diese Idee ist cool.|cool
3150|der|der Irak|Irak liegt im Nahen Osten.|Iraq
3151|adj|virtuell|Die virtuelle Realität wird immer realistischer.|virtual
3159|der|der Besitz|Der Besitz des Hauses ist umstritten.|property, possession
3161|der|der Gläubiger|Der Gläubiger wartet auf die Rückzahlung.|creditor, believer
3168|adj|effizient|Die Methode zur Datenauswertung ist effizient.|efficient
3175|verb|angucken, guckt an, guckte an, hat angeguckt (ankucken)|Er guckt den Film an.|to look
3179|verb|isolieren, isoliert, isolierte, hat isoliert|Der Ingenieur isoliert die Wand gegen Lärm.|to isolate, insulate
3180|der|der Mörder|Der Mörder wurde von der Polizei gefasst.|murderer
3183|adj|problematisch|Das Problem ist komplex.|problematic
3198|adv|hinweg|Er ist schon darüber hinweg.|(be) over, for (many years)
3205|interj|ha|Ha, das ist wirklich lustig!|ha
3218|adj|intelligent|Der Schüler ist intelligent und kreativ.|intelligent
3222|der|der Suizid|Der Suizid des Patienten war tragisch.|suicide
3234|verb|aussuchen, sucht aus, suchte aus, hat ausgesucht|Er sucht das beste Angebot aus.|to choose
3252|verb|strecken, streckt, streckte, hat gestreckt|Er streckt die Arme in die Luft.|to stretch
3255|die|die Ferne|Die Ferne des Horizonts ist faszinierend.|distance
3260|adj|neutral|Das politische System ist neutral.|neutral
3266|verb|umwandeln, wandelt um, wandelte um, hat umgewandelt|Der Prozess wandelt die Energie um.|to convert, change
3276|das|das Regal|Das Regal ist voll mit Büchern.|shelf
3277|der|der Rucksack|Er trägt einen schweren Rucksack.|rucksack, backpack
3288|die|die Fettsäure|Die Fettsäure Omega-3 ist gesund.|fatty acid
3297|adj|radioaktiv|Das radioaktive Material ist gefährlich.|radioactive
3299|das|das Wiedersehen|Es war ein emotionales Wiedersehen.|reunion
3301|das|das Datum|Das Datum auf dem Dokument ist falsch.|date
3302|der|der Kellner|Der Kellner bringt das Essen zur Bestellung.|waiter, waitress
3304|verb|unterbringen, bringt unter, brachte unter, hat untergebracht|Wir müssen die Gäste unterbringen.|to put (up), accommodate
3305|verb|vermögen, vermag, vermochte, hat vermocht|Er vermag es zu tun, obwohl es schwierig ist.|to be capable
3306|adj|fröhlich|Er ist immer fröhlich, egal was passiert.|cheerful
3315|die|die Route|Die Route für die Wanderung ist geplant.|route
3319|die|die Bundeswehr|Die Bundeswehr ist stark, aber umstritten.|Armed Forces
3321|adj|mechanisch|Das Gerät arbeitet mechanisch, ohne Elektronik.|mechanical
3336|das|das Polnisch|Polnisch ist eine schöne Sprache.|Polish
3344|das|das Norwegen|Norwegen ist schön.|Norway
3360|adj|indisch|Sie trägt ein traditionell indisches Kleid.|Indian
3361|das|das Hindi|Viele Menschen in Indien sprechen Hindi.|Indian language
3364|die|die Einsicht|Das ist meine Einsicht in die Situation.|view, insight
3365|das|das Fräulein|Das Fräulein wurde höflich angesprochen.|young lady, miss
3378|interj|tja|Tja, so ist das Leben.|well
3411|die|die Reihenfolge|Die Reihenfolge der Schritte ist wichtig.|order
3421|die|die Begeisterung|Ihre Begeisterung für das Projekt ist ansteckend.|enthusiasm
3422|adj|fix|Das Problem wurde fix gelöst.|quick, fixed
3430|das|das Asien|Asien ist vielfältig, mit vielen Kulturen und Sprachen.|Asia
3431|verb|einlassen, lässt ein, ließ ein, hat eingelassen|Er lässt ihn ins Haus ein.|to let in, get involved
3434|die|die Abschreibung|Die Abschreibung für das Gebäude ist hoch.|deduction, depreciation
3436|adj|ästhetisch|Das Gebäude ist ästhetisch ansprechend.|aesthetic
3437|verb|einschalten, schaltet ein, schaltete ein, hat eingeschaltet|Er schaltet das Licht im Flur ein.|to switch on
3441|verb|übergeben, übergibt, übergab, hat übergeben|Er übergibt das Paket an den Empfänger.|to hand over, transfer
3443|verb|buchen|Wir buchen das Hotel für unseren Urlaub.|to book
3466|das|der Schild|Das Schild an der Tür ist groß.|sign, shield, tag
3467|die|die Show|Die Show im Fernsehen war fantastisch.|show
3475|der|der Teufel|Der Teufel in der Geschichte ist böse.|devil
3502|prep|inklusive|Das Paket ist inklusive Steuern und Versand.|including
3505|verb|zustehen, steht zu, stand zu, hat zugestanden|Das Recht auf Bildung steht dir zu.|to be entitled
3518|der|der Premierminister|Der Premierminister spricht im Fernsehen.|prime minister
3522|der|der Christ|Der Christ betet in der Kirche.|Christian
3523|interj|hi|Hi, wie geht’s?|hi
3528|die|die Haustür|Die Haustür ist offen, weil wir Besuch erwarten.|front door
3532|verb|locken, lockt, lockte, hat gelockt|Das Angebot lockt viele Kunden mit Rabatten.|to lure, tempt
3535|prep|samt|Er kam samt Familie zur Feier.|together with, along with
3543|die|die Vorsicht|Vorsicht ist geboten, wenn man die Straße überquert.|caution
3545|der|der Bezirk|Der Bezirk in der Stadt ist groß.|district
3546|der|der Bogen|Der Bogen ist gut gebogen.|bow, arc, sheet
3547|die|die Entdeckung|Die Entdeckung des neuen Planeten war spannend.|discovery
3548|die (pl)||Die Ferien sind vorbei.|school break, vacation
3549|der|der General|Der General gibt seinen Soldaten Befehle.|general
3551|verb|scheiden, scheidet, schied, hat geschieden|Sie haben sich nach zehn Jahren Ehe scheiden lassen.|to separate, divorce
3556|verb|beibringen, bringt bei, brachte bei, hat beigebracht|Er bringt den Kindern Englisch bei, indem er Spiele nutzt.|to teach
3557|verb|bevorstehen, steht bevor, stand bevor, hat bevorgestanden|Eine Prüfung steht bevor.|to lie ahead, be imminent
3561|adv|hinterher|Er kam hinterher und erklärte sich.|after, afterwards
3569|adj|reell|Die Gefahr ist reell, auch wenn sie gering erscheint.|real
3570|verb|reiten, reitet, ritt, ist geritten|Er reitet gerne durch den Wald.|to ride
3574|das|das Kloster|Das Kloster ist alt und historisch bedeutend.|monastery, convent
3582|der|der Grieche|Der Grieche lebt hier und arbeitet als Lehrer.|Greek
3584|verb|konfrontieren, konfrontiert, konfrontierte, hat konfrontiert|Er wurde mit harten Vorwürfen konfrontiert.|to confront
3585|der|der Sex|In dem Vortrag ging es um Sex und Gesundheit.|sex
3594|der|der Bär|Der Bär im Zoo ist groß.|bear
3595|adv|hinzu|Er kam zur Gruppe hinzu.|in addition
