|word_de|sentence_de|word_en
1114|verantwortlich|Er ist verantwortlich für das Projekt.|responsible
1115|täglich|Die tägliche Übung stärkte das Team.|daily
1130|vollständig|Die vollständige Liste wurde verteilt.|complete
1154|regelmäßig|Ein regelmäßiger Besuch war nötig.|regular
1162|elektrisch|Das elektrische Auto fährt leise weiter.|electric
1181|typisch|Das Essen ist typisch für diese Region.|typical
1198|unmittelbar|Es gab unmittelbare Auswirkungen.|immediate, direct
1200|extrem|Die extreme Hitze macht uns müde.|extreme
1202|theoretisch|Der theoretische Plan scheint machbar.|theoretical
1227|chinesisch|Ich bestelle oft chinesisches Essen.|Chinese
1240|leise|Die Musik im Café ist angenehm leise.|quiet, soft
1242|eindeutig|Das eindeutige Ergebnis stand fest.|clear
1264|berliner|Die Berliner Mauer wurde 1989 geöffnet.|(of) Berlin
1285|gefährlich|Der Weg durch den Wald war gefährlich.|dangerous
1289|komplett|Das komplette Programm wurde abgespielt.|complete
1312|linear|Die lineare Entwicklung verläuft ruhig.|linear
1349|gesund|Frisches Obst ist sehr gesund.|healthy
1358|maximal|Die maximale Kapazität wurde erreicht.|maximum
1362|außen|Die äußere Schicht schützt das Innere.|outside
1365|digital|Die Schule setzt auf digitale Medien.|digital
1376|still|Die stille Nacht beruhigt die Nerven.|still, quiet
1397|krank|Er blieb zu Hause, weil er krank war.|sick, ill
1399|finanziell|Er steckt in einer finanziellen Notlage.|financial
1405|selbstverständlich|Es war eine selbstverständliche Geste.|natural, self-evident, obvious
1408|ursprünglich|Die ursprüngliche Idee kam wieder hoch.|original
1419|individuell|Jeder hat eine individuelle Meinung.|individual
1420|intensiv|Das intensive Training forderte Kraft.|intensive
1425|rasch|Der rasche Fortschritt überraschte uns.|quick
1459|bayrisch|Die bayrische Küche ist bekannt.|Bavarian
1463|langfristig|Der langfristige Plan schuf Stabilität.|long-term
1464|herzlich|Ihr herzliches Lachen erfüllte den Raum.|cordial, warm
1487|hell|Das helle Licht erleuchtet den Raum.|light, bright
1524|heftig|Der Sturm letzte Nacht war sehr heftig.|hard, heavy, violent
1534|ungefähr|Das ungefähre Ergebnis war ausreichend.|approximately
1539|global|Der globale Handel wächst schnell.|global
1560|erheblich|Die erhebliche Änderung fiel auf.|considerable
1576|spezifisch|Die Anforderungen waren sehr spezifisch.|specific
1577|stabil|Das stabile Fundament trägt das Gebäude.|stable, sturdy
1603|angeblich|Das angebliche Angebot wurde abgelehnt.|alleged
1604|günstig|Die Wohnung war überraschend günstig.|cheap, favorable, good
1634|traditionell|Das traditionelle Fest bringt Freude.|traditional
1645|freundlich|Das Personal war sehr freundlich zu uns.|kind, nice, friendly
1652|fern|Das ferne Land lockt Abenteurer an.|far, distant
1723|vorsichtig|Der vorsichtige Fahrer hielt an.|cautious, careful
1726|gesetzlich|Die gesetzliche Regelung wurde geändert.|legal
1734|freiwillig|Freiwillige Helfer arbeiteten hart.|voluntary
1789|jährlich|Das jährliche Fest zog viele an.|annual
1811|zufällig|Der zufällige Fund ändert das Projekt.|accidental, by chance
1820|billig|Das Material war zwar billig, aber gut.|cheap
1833|weitgehend|Die weitgehende Ruhe war angenehm.|extensive
1838|kurzfristig|Die kurzfristige Planung bringt Stress.|at short notice
1848|dringend|Ein dringender Appell wurde gemacht.|urgent
1881|endgültig|Die endgültige Antwort brachte Klarheit.|final
1882|ewig|Die ewige Freundschaft übersteht alles.|eternal
1899|bunt|Der Garten ist voller bunter Blumen.|colorful
1916|mächtig|Der Fluss ist nach dem Regen mächtig.|powerful
1922|künstlich|Die Blumen in der Vase sind künstlich.|artificial
1957|komisch|Das Verhalten war etwas komisch.|funny
1959|geistig|Sein geistiger Zustand blieb klar.|intellectual, mental
1987|parallel|Die parallelen Prozesse liefen gut.|parallel
1998|automatisch|Der automatische Prozess lief perfekt.|automatic
2016|generell|Die generelle Zustimmung bringt Erfolg.|general
2057|potenziell|Das potenzielle Risiko war bekannt.|potential
2063|beruflich|Die berufliche Veränderung fordert Mut.|professional
2064|lokal|Das lokale Projekt fand großen Anklang.|local
2079|rechtlich|Die rechtliche Lage ist unsicher.|legal
2083|müde|Nach dem Lauf war ich sehr müde.|tired
2089|tätig|Er ist seit Jahren in der Firma tätig.|active
2094|regional|Die regionale Küche war lecker.|regional
2095|strategisch|Die strategische Planung bringt Erfolg.|strategic
2096|exakt|Die exakte Zahl wurde genannt.|exact
2109|sauber|Die Wohnung ist jetzt endlich sauber.|clean
2113|gewaltig|Der Sturm hinterließ gewaltige Schäden.|enormous, tremendous, powerful
2163|gerecht|Eine gerechte Lösung wurde gefunden.|just, fair
2166|literarisch|Sein Werk hat hohen literarischen Wert.|literary
2171|ungewöhnlich|Die Architektur ist sehr ungewöhnlich.|unusual
2187|optisch|Die optische Täuschung irritierte alle.|optical, visual
2188|militärisch|Die militärische Strategie war brillant.|military
2191|grundlegend|Die grundlegende Idee überzeugt sofort.|basic, fundamental
2265|nachhaltig|Nachhaltige Lösungen wurden gesucht.|lasting, sustainable
2287|bedeutend|Das war eine bedeutende Entdeckung.|important, significant
2298|angenehm|Das angenehme Gespräch endet positiv.|pleasant
2313|aufmerksam|Der aufmerksame Zuhörer stellte Fragen.|attentive
2316|analog|Das analoge System wird ersetzt.|analog, analogous
2332|ordentlich|Das Büro ist immer ordentlich.|neat, proper, orderly
2337|gewöhnlich|Er führt ein ganz gewöhnliches Leben.|usual
2338|großartig|Das Konzert war einfach großartig.|great, splendid, superb, terrific
2348|gezielt|Gezielte Maßnahmen führten weiter.|targeted, purposeful, pointed, well- aimed
2351|extern|Das externe Problem löst sich schnell.|external
2353|stetig|Die stetige Verbesserung fiel auf.|constant
2354|dumm|Das war wirklich eine sehr dumme Idee.|stupid
2363|moralisch|Moralische Fragen wurden besprochen.|moral
2383|sportlich|Seine sportliche Leistung war top.|athletic
2385|eventuell|Das eventuelle Problem löst sich auf.|possible
2390|intern|Das interne Gespräch bringt Klarheit.|internal
2394|genetisch|Der genetische Test brachte Klarheit.|genetic
2398|lebendig|Die Stadt ist nachts besonders lebendig.|living, lively
2404|braun|Die Blätter sind braun geworden.|brown
2457|friedlich|Ein friedlicher Protest fand statt.|peaceful
2459|vernünftig|Das war eine vernünftige Entscheidung.|sensible, reasonable
2462|gegenwärtig|Die gegenwärtige Lage ist schwierig.|present, current
2468|wahnsinnig|Der Verkehr in der Stadt ist wahnsinnig.|insane
2500|biologisch|Sie kaufen nur biologische Lebensmittel.|biological
2510|indirekt|Er gab nur indirekte Hinweise.|indirect
2530|attraktiv|Das attraktive Angebot zog viele an.|attractive
2539|dramatisch|Der Unfall hatte dramatische Folgen.|dramatic
2579|dauerhaft|Die dauerhafte Lösung bringt Stabilität.|lasting
2583|jahrelang|Die jahrelange Arbeit zahlte sich aus.|many years, for years
2593|islamisch|Er besuchte die islamische Gemeinde.|Islamic
2608|gelegentlich|Gelegentliche Pausen steigern Leistung.|occasional
2614|formal|Der formale Antrag wurde angenommen.|formal, technical
2619|klug|Es war eine kluge Entscheidung von ihm.|clever
2625|scheinbar|Die scheinbare Ruhe täuschte uns.|seemingly
2633|schlicht|Das Design des Hauses ist sehr schlicht.|simple, plain
2634|angemessen|Die angemessene Strafe wurde verhängt.|appropriate
2638|ernsthaft|Er hatte ernsthafte Zweifel an dem Plan.|serious
2684|hübsch|Das hübsche Kleid beeindruckt die Gäste.|pretty
2686|spontan|Ein spontaner Ausflug brachte Freude.|spontaneous
2695|psychisch|Die psychische Belastung war enorm.|psychological
2746|inhaltlich|Inhaltliche Fragen wurden diskutiert.|in terms of content
2763|ausführlich|Er gab eine ausführliche Erklärung ab.|detailed
2767|blind|Das blinde Vertrauen war riskant.|blind
2790|bürgerlich|Er lebt ein ruhiges, bürgerliches Leben.|civil, civic
2811|schwedisch|Die schwedische Küche ist lecker.|Swedish
2815|ironisch|Seine ironische Bemerkung war scharf.|ironic
2836|vermeintlich|Die vermeintliche Lösung war falsch.|supposed
2839|steil|Der steile Anstieg kostete Kraft.|steep
2841|heimisch|Die heimische Küche schmeckte vertraut.|indigenous, native, at home
2848|unheimlich|Das alte Haus wirkt unheimlich.|eerie, scary, incredible, creepy
2849|magnetisch|Das Gerät nutzt magnetische Felder.|magnetic
2871|logisch|Das war eine logische Entscheidung.|logical
2887|süß|Das süße Dessert verführt die Gäste.|sweet
2894|fair|Das faire Urteil wurde respektiert.|fair
2895|hervorragend|Das hervorragende Essen wurde gelobt.|outstanding
2917|denkbar|Es ist denkbar, dass es morgen regnet.|conceivable
2938|funktionell|Das funktionelle Design war einfach.|functional
2950|einheitlich|Die einheitliche Regelung gilt überall.|uniform, standardized
2963|subjektiv|Die subjektive Meinung entscheidet oft.|subjective
2985|senkrecht|Die senkrechte Linie trennt Bereiche.|vertical
1224|gesellschaftlich|Er übernahm eine gesellschaftliche Rolle.|social
1561|ausschließlich|Es war ein ausschließliches Treffen.|exclusive
1670|statistisch|Die statistische Analyse ergab Trends.|statistical
1976|empirisch|Empirische Daten stützen die Theorie.|empirical
2253|systematisch|Das systematische Vorgehen half sehr.|systematic
2393|schriftlich|Die schriftliche Aussage war eindeutig.|written
2469|erstaunlich|Ihre erstaunliche Idee wurde umgesetzt.|astonishing
2628|selbstständig|Er führt ein selbstständiges Geschäft.|independent, self-employed
2661|kontinuierlich|Der kontinuierliche Regen störte uns.|constant, continuous
2738|sekundär|Die sekundäre Quelle war unzuverlässig.|secondary
2771|allmählich|Der allmähliche Anstieg war bemerkbar.|gradual
2936|ausdrücklich|Sie gab eine ausdrückliche Anweisung.|explicit
2967|charakteristisch|Das ist ein charakteristisches Merkmal.|characteristic
2993|flexibel|Eine flexible Strategie hilft in Krisen.|flexible
1091|total|Der totale Stillstand war unerwartet.|total, complete
2896|umfangreich|Die umfangreiche Liste schien endlos.|extensive
1843|vollkommen|Ein vollkommenes Schweigen füllte den Raum.|complete, perfect
2713|vielfach|Der vielfache Nutzen war sofort ersichtlich.|multiple
2556|verdammt|Der verdammte Lärm störte mich.|damned
