word_combination_de                    |word_combination_en                    |word_de                                                                          |speech_part                     |word_en                                                      |sentence_de                                                                                                            |sentence_en                                                                                                       |frequency_rank
                                       |                                       |werden, wird, wurde, ist geworden                                                |verb                            |to become, get                                               |Der Junge wird zum Mann.                                                                                               |The boy becomes a man.                                                                                            |             8
                                       |                                       |von                                                                              |prep                            |from, of                                                     |Benjamin ist der Bruder von Anna.                                                                                      |Benjamin is the brother of Anna.                                                                                  |             9
ich bin müde                           |I am tired                             |ich                                                                              |pron                            |I                                                            |Ich arbeite und du bleibst zu Hause.                                                                                   |I work and you stay home.                                                                                         |            10
nicht gut                              |not good                               |nicht                                                                            |part                            |not                                                          |Im Restaurant darf man nicht rauchen.                                                                                  |You can’t smoke in the restaurant.                                                                                |            11
es fühlt sich wie Magie an             |it feels like magic                    |es                                                                               |pron                            |it                                                           |Das Kind geht ins Bett, es ist müde.                                                                                   |The child goes to bed; she is tired.                                                                              |            12
mit einem Hauch von Geheimnis          |with a touch of mystery                |mit                                                                              |prep                            |with                                                         |Mein Bruder spielt mit Janosch Fußball im Garten.                                                                      |My brother plays soccer in the garden with Janosch.                                                               |            13
sich treu bleiben                      |to stay true to oneself                |sich                                                                             |pron                            |-self                                                        |Das Kind sieht sich im Spiegel.                                                                                        |The child sees itself in the mirror.                                                                              |            14
er tanzt mit dem Wind                  |he dances with the wind                |er                                                                               |pron                            |he                                                           |Jan hat gute Noten in der Schule, er ist ein kluges Kind.                                                              |Jan has good grades in school; he’s a smart child.                                                                |            15
auf der Grenze der Träume              |on the edge of dreams                  |auf                                                                              |prep                            |on, at, to                                                   |Auf dem Tisch steht ein Glas Wasser.                                                                                   |There’s a glass of water on the table.                                                                            |            16
für einen Moment des Glücks            |for a moment of bliss                  |für                                                                              |prep                            |for                                                          |Sie macht einen Kaffee für Max.                                                                                        |She’s making coffee for Max.                                                                                      |            17
auch in der dunkelsten Nacht           |also in the darkest night              |auch                                                                             |adv                             |also, too                                                    |Auch ich habe Geburtstag, nicht nur Markus.                                                                            |It’s my birthday too, not just Markus’s.                                                                          |            18
                                       |                                       |an                                                                               |prep                            |at, on                                                       |Das Bild hängt an der Wand.                                                                                            |The picture hangs on the wall.                                                                                    |            19
                                       |                                       |dass                                                                             |conj                            |that                                                         |Ich vermute, dass der Zug wieder zu spät kommt.                                                                        |I suspect the train will be late again.                                                                           |            20
zu viel des Guten                      |too much of a good thing               |zu                                                                               |part                            |to                                                           |Ich versuche, dich zu verstehen.                                                                                       |I’m trying to understand you.                                                                                     |            21
                                       |                                       |zu                                                                               |part                            |too                                                          |Es ist zu kalt für eine Party im Garten.                                                                               |It’s too cold for a party in the garden.                                                                          |            21
                                       |                                       |zu                                                                               |prep                            |to                                                           |Heute gehe ich zu meiner Nachbarin.                                                                                    |Today I go to my neighbor.                                                                                        |            21
als ob es so wäre                      |as if it were so                       |als                                                                              |conj                            |as, when                                                     |Als ich nach Hause komme, ist es schon dunkel.                                                                         |When I get home, it’s already dark.                                                                               |            22
größer als gedacht                     |bigger than thought                    |als                                                                              |part                            |than                                                         |Tim ist Paulas großer Bruder, weil er älter ist als sie.                                                               |Tim is Paula’s big brother because he’s older than she is.                                                        |            22
können, wenn es nötig ist              |to be able to, when necessary          |können, kann, konnte, hat können                                                 |verb                            |to be able to, can                                           |Die Kinder können schon Fahrrad fahren.                                                                                |The children can already ride bicycles.                                                                           |            23
dies ist mein Zuhause                  |this is my home                        |dies                                                                             |pron                            |this, that                                                   |Besonders dieses Bild gefällt mir sehr.                                                                                |I especially like this picture.                                                                                   |            24
wie ein Traum                          |as a dream                             |wie                                                                              |part                            |as                                                           |Johanna ist so alt wie Matthias.                                                                                       |Johanna is as old as Matthias.                                                                                    |            25
Wie funktioniert das?                  |How does it work?                      |wie                                                                              |pron                            |how                                                          |Wie lange dauert es?                                                                                                   |How long does it take?                                                                                            |            25
wir sind die Besten                    |we are the best                        |wir                                                                              |pron                            |we                                                           |Fernando und ich wollen Urlaub machen, wir fahren im Sommer.                                                           |Fernando and I are going on vacation; we’re going in summer.                                                      |            26
ihr Haus ist schön                     |their house is beautiful               |ihr                                                                              |pron                            |her, their, hers, theirs                                     |Die Familie plant ihren Urlaub bereits im Winter.                                                                      |The family plans their vacation already in winter.                                                                |            27
ich danke ihr                          |I thank her                            |ihr                                                                              |pron                            |you, her                                                     |Das Mädchen ärgert ihren Bruder.                                                                                       |The girl annoys her brother.                                                                                      |            27
ihr Hund ist süß                       |your dog is cute                       |ihr                                                                              |pron                            |your                                                         |Bitte geben Sie Ihr Blatt am Ende der Stunde ab.                                                                       |Please hand in your paper at the end of the lesson.                                                               |            27
so ist das Leben                       |so is life                             |so                                                                               |adv                             |so, thus, the way, such                                      |Ich beobachte Klaus und mache alles so wie er.                                                                         |I watch Klaus and do everything the way he does.                                                                  |            28
so viel zu tun                         |so much to do                          |so                                                                               |part                            |so                                                           |Das Wetter ist heute so schön.                                                                                         |The weather is so nice today.                                                                                     |            28
bei mir zu Hause                       |at my home                             |bei                                                                              |prep                            |by, with, at                                                 |Jan ist bei einem neuen Arzt.                                                                                          |Jan’s with a new doctor.                                                                                          |            29
sein Auto ist schnell                  |his car is fast                        |sein                                                                             |pron                            |his, its                                                     |Der Junge ärgert seine Schwester.                                                                                      |The boy annoys his sister.                                                                                        |            30
aber das ist anders                    |but that is different                  |aber                                                                             |conj                            |but                                                          |Die Sonne scheint, aber es ist trotzdem kalt.                                                                          |The sun is shining, but it’s still cold.                                                                          |            31
aber klar                              |but of course                          |aber                                                                             |part                            |                                                             |Das ist aber nicht nett von Tim.                                                                                       |That’s not nice of Tim.                                                                                           |            31
man sagt, es ist so                    |one says it is so                      |man                                                                              |pron                            |one, you, they                                               |Hier erzählt man sich Geschichten.                                                                                     |They tell stories here.                                                                                           |            32
noch immer hier                        |still here                             |noch                                                                             |adv                             |still, yet                                                   |Habt ihr sonst noch Fragen?                                                                                            |Do you still have any questions?                                                                                  |            33
nach dem Regen                         |after the rain                         |nach                                                                             |prep                            |after, toward                                                |Nach dem Mittagessen gehen wir spazieren.                                                                              |After lunch we go for a walk.                                                                                     |            34
oder vielleicht morgen                 |or maybe tomorrow                      |oder                                                                             |conj                            |or                                                           |Kommst du mit dem Fahrrad oder fährst du mit dem Bus?                                                                  |Are you coming by bike or are you going by bus?                                                                   |            35
all das ist wichtig                    |all this is important                  |all                                                                              |pron                            |all                                                          |Wir freuen uns alle auf den Urlaub.                                                                                    |We are all looking forward to our vacation.                                                                       |            36
aus dem Nichts                         |out of nowhere                         |aus                                                                              |prep                            |out, out of, from                                            |Thomas schaut aus dem Fenster.                                                                                         |Thomas looks out the window.                                                                                      |            37
Was ist das?                           |What is that?                          |was                                                                              |pron                            |what                                                         |Was sagst du?                                                                                                          |What do you say?                                                                                                  |            38
nur ein bisschen                       |only a little                          |nur                                                                              |adv                             |only                                                         |Das kostet nur zwei Euro.                                                                                              |It only costs two euros.                                                                                          |            39
                                       |                                       |sagen, sagt, sagte, hat gesagt                                                   |verb                            |to say, tell                                                 |Der Kollege sagt ihr, wo sie die Schlüssel findet.                                                                     |The colleague tells her where to find the keys.                                                                   |            40
dann sehen wir weiter                  |then we will see                       |dann                                                                             |adv                             |then                                                         |Erst gehen wir einkaufen und dann in ein Restaurant.                                                                   |First we go shopping, then we go to a restaurant.                                                                 |            41
wenn es möglich ist                    |if it is possible                      |wenn                                                                             |conj                            |if, when                                                     |Ich erzähle es dir, wenn wir uns sehen.                                                                                |I’ll tell you when we see each other.                                                                             |            42
                                       |                                       |müssen, muss, musste, hat gemusst                                                |verb                            |to have to, must                                             |Ich muss um neun zu Hause sein, sonst ist meine Mutter böse.                                                           |I have to be home by nine o’clock or my mother will be angry.                                                     |            43
um die Ecke                            |around the corner                      |um                                                                               |conj                            |in order to                                                  |Ich arbeite auch am Wochenende, um meinen Urlaub bezahlen zu können.                                                   |I also work on weekends in order to pay for my vacation.                                                          |            44
um die Welt reisen                     |to travel around the world             |um                                                                               |prep                            |around, at                                                   |Die Kinder laufen um den Baum.                                                                                         |The children run around the tree.                                                                                 |            44
ja, das stimmt                         |yes, of course                         |ja                                                                               |part                            |yes, of course                                               |Ja, ich verstehe das.                                                                                                  |Yes, I understand that.                                                                                           |            45
kein Problem                           |no problem                             |kein                                                                             |pron                            |no                                                           |Sie haben keine Chance, das Spiel zu gewinnen.                                                                         |They have no chance of winning the game.                                                                          |            46
über den Wolken                        |above the clouds                       |über                                                                             |prep                            |above, over, about                                           |Über mir fliegt ein Flugzeug.                                                                                          |There’s a plane flying above me.                                                                                  |            47
da ist ein Problem                     |there is a problem                     |da                                                                               |adv                             |there                                                        |Da hinten steht mein Auto.                                                                                             |There’s my car over there.                                                                                        |            48
da ich müde bin                        |because I am tired                     |da                                                                               |conj                            |because                                                      |Da ich eine neue Arbeit habe, ziehe ich in eine andere Stadt.                                                          |Because I have a new job, I’m moving to another city.                                                             |            48
                                       |                                       |geben, gibt, gab, hat gegeben                                                    |verb                            |to give                                                      |Timo gibt dem Verkäufer die Bücher.                                                                                    |Timo gives the books to the seller.                                                                               |            49
vor dem Haus                           |in front of the house                  |vor                                                                              |prep                            |in front of, before, ago                                     |Laura wartet vor der Tür auf ihre Freunde.                                                                             |Laura is waiting in front of the door for her friends.                                                            |            50
mein Auto ist schnell                  |my car is fast                         |mein                                                                             |pron                            |my, mine                                                     |Anna ist meine kleine Schwester.                                                                                       |Anna is my little sister.                                                                                         |            51
mehr als erwartet                      |more than expected                     |mehr                                                                             |adv                             |more                                                         |Ich habe Hunger und möchte mehr Brot.                                                                                  |I’m hungry and want more bread.                                                                                   |            52
das Jahr ist lang                      |the year is long                       |das Jahr, -e                                                                     |das                             |year                                                         |Ein Jahr hat 52 Wochen.                                                                                                |A year has 52 weeks.                                                                                              |            53
du bist nett                           |you are nice                           |du                                                                               |pron                            |you                                                          |Wer bist du?                                                                                                           |Who are you?                                                                                                      |            54
durch den Tunnel                       |through the tunnel                     |durch                                                                            |prep                            |through                                                      |Ralf läuft durch die Stadt.                                                                                            |Ralf walks through the city.                                                                                      |            55
viel zu tun                            |much to do                             |viel                                                                             |pron                            |much, a lot, many                                            |Ich gebe im Urlaub viel Geld aus.                                                                                      |I spend a lot of money on vacation.                                                                               |            56
wollen wir gehen                       |to want to go                          |wollen, will, wollte, hat gewollt                                                |verb                            |to want to                                                   |Die Kinder wollen spielen.                                                                                             |The children want to play.                                                                                        |            57
                                       |                                       |machen, macht, machte, hat gemacht                                               |verb                            |to do, make                                                  |Die Schüler machen ihre Aufgaben.                                                                                      |The students do their tasks.                                                                                      |            58
andere Leute                           |other people                           |andere (r, s)                                                                    |pron                            |other                                                        |Es gibt noch einen anderen Weg zum Bahnhof.                                                                            |There’s another way to the station.                                                                               |            59
                                       |                                       |sollen, soll, sollte, hat gesollt                                                |verb                            |should, ought to                                             |Ihr sollt in der Bibliothek leise sein.                                                                                |You should be quiet in the library.                                                                               |            60
schon erledigt                         |already done                           |schon                                                                            |adv                             |already                                                      |Günter arbeitet schon seit 30 Jahren hier.                                                                             |Günter has been working here for 30 years now.                                                                    |            61
schon hier                             |already here                           |schon                                                                            |part                            |                                                             |Die Karten für das Theater sind schon sehr teuer.                                                                      |The tickets for the theater are really expensive.                                                                 |            61
kommen wir zusammen                    |to come together                       |kommen, kommt, kam, ist gekommen                                                 |verb                            |to come                                                      |Wir kommen morgen Abend zu dir.                                                                                        |We’ll come to your place tomorrow night.                                                                          |            62
mir geht es gut                        |me, I'm fine                           |mir                                                                              |pron                            |me                                                           |Gibst du mir dein Fahrrad?                                                                                             |Are you giving me your bike?                                                                                      |            63
immer glücklich                        |always happy                           |immer                                                                            |adv                             |always                                                       |Zum Frühstück esse ich immer eine Scheibe Brot.                                                                        |I always have a slice of bread for breakfast.                                                                     |            64
                                       |                                       |mich                                                                             |(Reflexive pronoun in the acc.) |                                                             |Nach der Schule lege ich mich immer kurz ins Bett.                                                                     |After school I always lie down in bed for a while.                                                                |            65
                                       |                                       |mich                                                                             |pron                            |me                                                           |Timo setzt sich neben mich an den Tisch.                                                                               |Timo sits down next to me at the table.                                                                           |            65
                                       |                                       |gehen, geht, ging, ist gegangen                                                  |verb                            |to go                                                        |Wir gehen heute ins Theater.                                                                                           |We’re going to the theater today.                                                                                 |            66
groß und stark                         |big and strong                         |groß                                                                             |adj                             |big, large, great                                            |Florian hat eine große Wohnung.                                                                                        |Florian has a big apartment.                                                                                      |            67
