|word_en
106|noun|work|работа|Work is fun.|Работа весела.|He finished his work.|Он закончил свою работу.
107|verb|know|знать|I know him.|Я знаю его.|She knew the answer.|Она знала ответ.
108|noun|place|место|This is a nice place.|Это хорошее место.|She found a new place.|Она нашла новое место.
109|noun|years|годы|Years go by fast.|Годы летят быстро.|She remembered the years.|Она вспоминала годы.
110|verb|live|жить|I live here.|Я живу здесь.|She lived in a house.|Она жила в доме.
111|pronoun|me|мне|Give me a toy.|Дай мне игрушку.|He saw me.|Он видел меня.
112|noun|back|спина|My back hurts.|Моя спина болит.|He lay on his back.|Он лежал на спине.
113|verb|give|дать|I give a gift.|Я даю подарок.|She gave him a hug.|Она обняла его.
114|adjective|most|большинство|Most kids play.|Большинство детей играют.|She helped the most.|Она помогла больше всех.
115|adverb|very|очень|I am very happy.|Я очень счастлив.|She was very kind.|Она была очень добрая.
116|preposition|after|после|After school, we play.|После школы мы играем.|She rested after work.|Она отдохнула после работы.
117|noun|things|вещи|These are my things.|Это мои вещи.|She packed her things.|Она упаковывала свои вещи.
118|pronoun|our|наш|Our house is big.|Наш дом большой.|We love our school.|Мы любим нашу школу.
119|adverb|just|просто|I just arrived.|Я просто пришел.|She just left.|Она просто ушла.
120|noun|name|имя|My name is Tim.|Мое имя Тим.|He wrote his name.|Он написал свое имя.
121|adjective|good|хороший|This is good.|Это хорошо.|She did a good job.|Она хорошо поработала.
122|noun|sentence|предложение|The sentence is short.|Предложение короткое.|She wrote a sentence.|Она написала предложение.
123|noun|man|мужчина|The man is tall.|Мужчина высокий.|She met a kind man.|Она встретила доброго мужчину.
124|verb|think|думать|I think it's good.|Я думаю, это хорошо.|She thought hard.|Она долго думала.
125|verb|say|говорить|I say hello.|Я говорю привет.|He said goodbye.|Он сказал пока.
126|adjective|great|великий|This is great news.|Это отличная новость.|She felt great.|Она чувствовала себя великолепно.
127|adverb|where|где|Where is it?|Где это?|She knew where to go.|Она знала, куда идти.
128|verb|help|помогать|I help mom.|Я помогаю маме.|She helped her friend.|Она помогла подруге.
129|preposition|through|через|Go through the door.|Иди через дверь.|She looked through the window.|Она смотрела через окно.
130|adjective|much|много|I have much to do.|У меня много дел.|She had much fun.|Она много веселилась.
131|adverb|before|до|Before lunch, I rest.|До обеда я отдыхаю.|She was ready before class.|Она была готова до урока.
132|noun|line|линия|Draw a line.|Нарисуй линию.|She crossed the line.|Она пересекла линию.
133|adjective|right|правильный|This is the right way.|Это правильный путь.|She took the right path.|Она выбрала правильный путь.
134|adverb|too|тоже|I want to play too.|Я тоже хочу играть.|She liked it too.|Ей тоже понравилось.
135|noun|means|средства|This is a means.|Это средство.|She found the means.|Она нашла средство.
136|adjective|old|старый|The car is old.|Машина старая.|She had an old toy.|У неё была старая игрушка.
137|adjective|any|любой|Take any toy.|Возьми любую игрушку.|She picked any book.|Она выбрала любую книгу.
138|adjective|same|тот же|It’s the same hat.|Это та же шляпа.|They chose the same one.|Они выбрали тот же.
139|verb|tell|рассказать|I tell stories.|Я рассказываю истории.|She told a secret.|Она рассказала секрет.
140|noun|boy|мальчик|The boy plays.|Мальчик играет.|She called the boy.|Она позвала мальчика.
141|verb|follow|следовать|I follow you.|Я следую за тобой.|She followed the rules.|Она следовала правилам.
142|verb|came|пришел|He came home.|Он пришел домой.|They came together.|Они пришли вместе.
143|verb|want|хотеть|I want cake.|Я хочу торт.|She wanted a toy.|Она хотела игрушку.
144|verb|show|показать|I show my toy.|Я показываю свою игрушку.|She showed her dress.|Она показала свое платье.
145|adverb|also|также|I am also happy.|Я тоже счастлив.|She also liked it.|Ей тоже это понравилось.
146|preposition|around|вокруг|Look around.|Смотри вокруг.|They walked around.|Они гуляли вокруг.
147|noun|form|форма|This is a new form.|Это новая форма.|She filled the form.|Она заполнила форму.
148|noun|three|три|Three birds fly.|Три птицы летят.|They have three cats.|У них три кота.
149|adjective|small|маленький|The cat is small.|Кот маленький.|She held a small cup.|Она держала маленькую чашку.
150|verb|set|установить|I set the table.|Я накрыл на стол.|She set the alarm.|Она установила будильник.
151|verb|put|положить|I put it here.|Я положил это здесь.|She put it down.|Она положила это.
152|noun|end|конец|The end is near.|Конец близок.|She reached the end.|Она дошла до конца.
153|verb|does|делает|He does his work.|Он делает свою работу.|She did her chores.|Она сделала свои дела.
154|adjective|another|другой|Take another one.|Возьми другой.|She wanted another color.|Она хотела другой цвет.
155|adverb|well|хорошо|You did well.|Ты хорошо справился.|She danced well.|Она хорошо танцевала.
156|adjective|large|большой|The house is large.|Дом большой.|She had a large family.|У неё была большая семья.
157|verb|must|должен|I must go now.|Я должен идти сейчас.|She knew she must try.|Она знала, что должна попробовать.
158|adjective|big|большой|This is a big toy.|Это большая игрушка.|He had a big surprise.|У него был большой сюрприз.
159|adverb|even|даже|He is even taller.|Он даже выше.|She was even happier.|Она была даже счастливее.
160|adverb|such|такой|It’s such a nice day.|Это такой хороший день.|She had such fun.|Она так веселилась.
161|conjunction|because|потому что|I smile because I’m happy.|Я улыбаюсь, потому что я счастлив.|She laughed because it was funny.|Она смеялась, потому что это было смешно.
162|verb|turn|повернуть|I turn here.|Я поворачиваю здесь.|She turned around.|Она повернулась.
163|adverb|here|здесь|I am here.|Я здесь.|She stood here.|Она стояла здесь.
164|adverb|why|почему|Why is it blue?|Почему это синее?|He asked why it happened.|Он спросил, почему это произошло.
165|verb|ask|спросить|I ask a question.|Я задаю вопрос.|She asked for help.|Она попросила о помощи.
166|verb|went|пошел|He went to school.|Он пошел в школу.|They went outside.|Они вышли на улицу.
167|noun|men|мужчины|Men work hard.|Мужчины работают усердно.|She helped the men.|Она помогла мужчинам.
168|verb|read|читать|I read a book.|Я читаю книгу.|She read a story.|Она читала рассказ.
169|verb|need|нуждаться|I need help.|Мне нужна помощь.|She needed a hug.|Ей нужен был обниматься.
170|noun|land|земля|The land is wide.|Земля обширная.|They walked on the land.|Они ходили по земле.
171|adjective|different|другой|This is a different color.|Это другой цвет.|She saw a different place.|Она видела другое место.
172|noun|home|дом|Home is cozy.|Дом уютный.|She went back home.|Она вернулась домой.
173|pronoun|us|нас|Help us here.|Помоги нам здесь.|She guided us.|Она направляла нас.
174|verb|move|двигаться|I move fast.|Я двигаюсь быстро.|She moved the chair.|Она передвинула стул.
175|verb|try|пытаться|I try hard.|Я стараюсь.|She tried to sing.|Она пыталась петь.
176|noun|kind|вид|This is a kind of toy.|Это вид игрушки.|She liked that kind.|Ей понравился этот вид.
177|noun|hand|рука|My hand hurts.|Моя рука болит.|She raised her hand.|Она подняла руку.
178|noun|picture|картинка|This is a nice picture.|Это хорошая картинка.|She drew a picture.|Она нарисовала картинку.
179|adverb|again|снова|Do it again.|Сделай это снова.|She tried again.|Она попробовала снова.
180|verb|change|менять|I change my shirt.|Я меняю рубашку.|She changed her mind.|Она передумала.
181|adverb|off|выключить|Turn off the light.|Выключи свет.|She turned it off.|Она выключила его.
182|verb|play|играть|I play with blocks.|Я играю с кубиками.|She played outside.|Она играла на улице.
183|verb|spell|произносить по буквам|I spell my name.|Я произношу свое имя по буквам.|She spelled it right.|Она произнесла это правильно.
184|noun|air|воздух|Air is fresh.|Воздух свежий.|She felt the air.|Она чувствовала воздух.
185|adverb|away|вдали|Go away.|Уходи.|She went away.|Она ушла.
186|noun|animal|животное|The animal is big.|Животное большое.|She saw an animal.|Она увидела животное.
187|noun|house|дом|The house is tall.|Дом высокий.|She lived in a house.|Она жила в доме.
188|noun|point|точка|This is a point.|Это точка.|She made a point.|Она выразила точку.
189|noun|page|страница|This is page one.|Это первая страница.|She read the page.|Она прочитала страницу.
190|noun|letter|буква|A is a letter.|А - это буква.|She wrote a letter.|Она написала письмо.
191|noun|mother|мама|Mother is kind.|Мама добрая.|She hugged her mother.|Она обняла свою маму.
192|noun|answer|ответ|This is the answer.|Это ответ.|She found the answer.|Она нашла ответ.
193|verb|found|нашел|I found a toy.|Я нашел игрушку.|She found the way.|Она нашла путь.
194|verb|study|учить|I study math.|Я учу математику.|She studied hard.|Она усердно училась.
195|adjective|still|все еще|I am still here.|Я все еще здесь.|She was still waiting.|Она все еще ждала.
196|verb|learn|учить|I learn new things.|Я учу новые вещи.|She learned to dance.|Она училась танцевать.
197|verb|should|должен|You should try.|Ты должен попробовать.|She knew she should stay.|Она знала, что должна остаться.
198|noun|America|Америка|America is big.|Америка большая.|She visited America.|Она посетила Америку.
199|noun|world|мир|The world is big.|Мир большой.|She traveled the world.|Она путешествовала по миру.
200|adjective|high|высокий|The mountain is high.|Гора высокая.|He climbed a high tree.|Он залез на высокое дерево.
201|adjective|every|каждый|Every child plays.|Каждый ребенок играет.|She greeted every guest.|Она приветствовала каждого гостя.
202|adjective|near|близко|The house is near.|Дом близко.|She stayed near the tree.|Она осталась рядом с деревом.
203|verb|add|добавить|I add salt.|Я добавляю соль.|She added sugar.|Она добавила сахар.
204|noun|food|еда|Food is tasty.|Еда вкусная.|He enjoyed his food.|Ему понравилась его еда.
205|preposition|between|между|I sit between friends.|Я сижу между друзьями.|She walked between trees.|Она шла между деревьями.
206|adjective|own|свой|I have my own room.|У меня есть своя комната.|She liked her own idea.|Ей понравилась её идея.
207|adverb|below|ниже|The cat is below.|Кот находится ниже.|He looked below the table.|Он посмотрел под стол.
208|noun|country|страна|The country is big.|Страна большая.|She visited her country.|Она посетила свою страну.
209|noun|plant|растение|The plant grows.|Растение растет.|She watered the plant.|Она поливала растение.
210|adjective|last|последний|This is the last page.|Это последняя страница.|She read the last chapter.|Она прочитала последнюю главу.
211|noun|school|школа|School is fun.|Школа интересная.|He went to school.|Он пошел в школу.
212|noun|father|отец|My father is kind.|Мой отец добрый.|She hugged her father.|Она обняла своего отца.
213|verb|keep|держать|I keep my toys.|Я держу свои игрушки.|She kept her promise.|Она сдержала обещание.
214|noun|tree|дерево|The tree is tall.|Дерево высокое.|She climbed a tree.|Она залезла на дерево.
215|adverb|never|никогда|I never lie.|Я никогда не лгу.|She never came.|Она никогда не приходила.
216|verb|start|начинать|I start my day.|Я начинаю свой день.|She started the car.|Она завела машину.
217|noun|city|город|The city is busy.|Город оживлен.|He moved to the city.|Он переехал в город.
218|noun|earth|земля|The earth is round.|Земля круглая.|She studied the earth.|Она изучала землю.
219|noun|eyes|глаза|My eyes see well.|Мои глаза видят хорошо.|She closed her eyes.|Она закрыла глаза.
220|noun|light|свет|The light is bright.|Свет яркий.|She turned on the light.|Она включила свет.
221|noun|thought|мысль|A thought came to me.|Мысль пришла ко мне.|She had a happy thought.|У неё была счастливая мысль.
222|noun|head|голова|My head hurts.|Моя голова болит.|She shook her head.|Она покачала головой.
223|preposition|under|под|The cat is under the table.|Кот под столом.|She hid under the bed.|Она спряталась под кроватью.
224|noun|story|история|The story is funny.|История смешная.|He told a story.|Он рассказал историю.
225|verb|saw|увидел|I saw a bird.|Я увидел птицу.|She saw her friend.|Она увидела своего друга.
226|adjective|left|левый|The left shoe is missing.|Левая обувь пропала.|She turned left.|Она повернула налево.
227|contraction|don’t|не|I don’t like that.|Мне это не нравится.|She didn’t come.|Она не пришла.
228|adjective|few|несколько|Few people came.|Пришло несколько человек.|She had few friends.|У неё было несколько друзей.
229|noun|while|пока|Wait a while.|Подожди немного.|She stayed a while.|Она осталась ненадолго.
230|preposition|along|вдоль|Walk along the road.|Иди вдоль дороги.|She walked along the beach.|Она гуляла вдоль пляжа.
231|verb|might|может|He might come.|Он может прийти.|She thought he might help.|Она думала, что он может помочь.
232|adjective|close|близкий|We are close friends.|Мы близкие друзья.|She came close.|Она подошла близко.
233|noun|something|что-то|I see something.|Я вижу что-то.|She heard something.|Она что-то слышала.
234|verb|seem|казаться|You seem happy.|Ты кажешься счастливым.|He seemed tired.|Он казался уставшим.
235|adjective|next|следующий|The next turn is mine.|Следующий ход мой.|She waited for the next bus.|Она ждала следующий автобус.
236|adjective|hard|трудный|This is hard work.|Это трудная работа.|She worked hard.|Она усердно работала.
237|verb|open|открыть|I open the door.|Я открываю дверь.|She opened her book.|Она открыла свою книгу.
238|noun|example|пример|This is an example.|Это пример.|She gave an example.|Она привела пример.
239|verb|begin|начинать|I begin my work.|Я начинаю свою работу.|She began the story.|Она начала историю.
240|noun|life|жизнь|Life is beautiful.|Жизнь прекрасна.|He valued life.|Он ценил жизнь.
241|adverb|always|всегда|I always smile.|Я всегда улыбаюсь.|She was always kind.|Она всегда была доброй.
242|pronoun|those|те|Those are my friends.|Это мои друзья.|She chose those apples.|Она выбрала те яблоки.
243|conjunction|both|оба|Both are good.|Оба хороши.|They liked both colors.|Им нравились оба цвета.
244|noun|paper|бумага|I write on paper.|Я пишу на бумаге.|She folded the paper.|Она сложила бумагу.
245|adverb|together|вместе|We play together.|Мы играем вместе.|They worked together.|Они работали вместе.
246|verb|got|получил|I got a gift.|Я получил подарок.|She got a new job.|Она получила новую работу.
247|noun|group|группа|A group of kids plays.|Группа детей играет.|She joined the group.|Она присоединилась к группе.
248|adverb|often|часто|I often read.|Я часто читаю.|She often laughed.|Она часто смеялась.
249|verb|run|бегать|I run fast.|Я бегаю быстро.|She ran to school.|Она бежала в школу.
250|adjective|important|важный|This is important.|Это важно.|She shared important news.|Она поделилась важной новостью.
251|preposition|until|до|Wait until lunch.|Жди до обеда.|She stayed until dark.|Она осталась до темноты.
252|noun|children|дети|Children play here.|Дети играют здесь.|She helped the children.|Она помогла детям.
253|noun|side|сторона|This is my side.|Это моя сторона.|She chose her side.|Она выбрала свою сторону.
254|noun|feet|ноги|My feet hurt.|Мои ноги болят.|She washed her feet.|Она помыла ноги.
255|noun|car|машина|The car is red.|Машина красная.|He drove the car.|Он вел машину.
256|noun|mile|миля|I walk a mile.|Я прохожу милю.|She ran a mile.|Она пробежала милю.
257|noun|night|ночь|The night is dark.|Ночь темная.|She slept at night.|Она спала ночью.
258|verb|walk|гулять|I walk to school.|Я иду в школу.|She walked home.|Она шла домой.
259|adjective|white|белый|The cat is white.|Кот белый.|She wore a white dress.|Она надела белое платье.
260|noun|sea|море|The sea is calm.|Море спокойное.|She swam in the sea.|Она плавала в море.
261|verb|began|начал|I began to run.|Я начал бежать.|She began to sing.|Она начала петь.
262|verb|grow|расти|Plants grow fast.|Растения быстро растут.|She grew tall.|Она выросла.
263|verb|took|взял|I took a pen.|Я взял ручку.|She took a photo.|Она сделала фото.
264|noun|river|река|The river flows.|Река течет.|She crossed the river.|Она перешла реку.
265|noun|four|четыре|Four kids play.|Четыре ребенка играют.|She has four cats.|У неё четыре кошки.
266|verb|carry|нести|I carry a bag.|Я несу сумку.|She carried her book.|Она несла свою книгу.
267|noun|state|штат|The state is big.|Штат большой.|She visited the state.|Она посетила штат.
268|adverb|once|однажды|I went once.|Я ходил однажды.|She tried it once.|Она попробовала это однажды.
269|noun|book|книга|This book is new.|Эта книга новая.|She read a book.|Она читала книгу.
270|verb|hear|слышать|I hear music.|Я слышу музыку.|She heard a sound.|Она услышала звук.
271|verb|stop|остановиться|I stop here.|Я останавливаюсь здесь.|She stopped to rest.|Она остановилась отдохнуть.
272|preposition|without|без|Tea without sugar.|Чай без сахара.|She went without him.|Она ушла без него.
273|noun|second|секунда|One second passed.|Прошла одна секунда.|She counted the seconds.|Она считала секунды.
274|adjective|late|поздно|I am late.|Я опоздал.|She arrived late.|Она приехала поздно.
275|verb|miss|скучать|I miss my friend.|Я скучаю по другу.|She missed her home.|Она скучала по дому.
276|noun|idea|идея|This is a great idea.|Это отличная идея.|She shared her idea.|Она поделилась своей идеей.
277|adjective|enough|достаточно|This is enough food.|Этого достаточно.|She had enough time.|У неё было достаточно времени.
278|verb|eat|есть|I eat apples.|Я ем яблоки.|She ate lunch.|Она пообедала.
279|noun|face|лицо|My face is red.|Мое лицо красное.|She washed her face.|Она помыла лицо.
280|verb|watch|смотреть|I watch TV.|Я смотрю телевизор.|She watched a movie.|Она смотрела фильм.
281|adverb|far|далеко|It’s far away.|Это далеко.|She walked far.|Она ушла далеко.
282|adjective|Indian|индийский|Indian food is spicy.|Индийская еда острая.|She wore an Indian dress.|Она носила индийское платье.
283|adjective|real|настоящий|This is real.|Это настоящее.|She had real courage.|У неё была настоящая смелость.
284|adverb|almost|почти|It’s almost done.|Почти готово.|She almost fell.|Она почти упала.
285|verb|let|позволить|Let me help.|Позволь мне помочь.|She let him go.|Она позволила ему уйти.
286|preposition|above|над|The bird flies above.|Птица летит над.|She looked above the door.|Она посмотрела над дверью.
287|noun|girl|девочка|The girl plays.|Девочка играет.|She met a girl.|Она встретила девочку.
288|adverb|sometimes|иногда|I sometimes read.|Я иногда читаю.|She sometimes danced.|Она иногда танцевала.
289|noun|mountains|горы|The mountains are tall.|Горы высокие.|She climbed the mountains.|Она поднялась на горы.
290|verb|cut|резать|I cut paper.|Я режу бумагу.|She cut her hair.|Она подстриглась.
291|adjective|young|молодой|The dog is young.|Собака молодая.|She met a young man.|Она встретила молодого человека.
292|verb|talk|говорить|I talk to friends.|Я говорю с друзьями.|She talked to him.|Она говорила с ним.
293|adverb|soon|скоро|Come soon.|Приходи скоро.|She will leave soon.|Она скоро уедет.
294|noun|list|список|This is a list.|Это список.|She made a list.|Она составила список.
295|noun|song|песня|The song is nice.|Песня красивая.|She sang a song.|Она спела песню.
296|noun|being|существо|A kind being.|Доброе существо.|She helped the being.|Она помогла существу.
297|verb|leave|покидать|I leave now.|Я ухожу.|She left the house.|Она покинула дом.
298|noun|family|семья|My family is big.|Моя семья большая.|She visited her family.|Она навестила свою семью.
299|contraction|it’s|это|It’s my book.|Это моя книга.|It’s raining.|Идет дождь.
300|noun|body|тело|My body is strong.|Мое тело сильное.|She moved her body.|Она двигала телом.
301|noun|music|музыка|Music is fun.|Музыка веселая.|She listened to music.|Она слушала музыку.
302|noun|color|цвет|The color is bright.|Цвет яркий.|She chose the color.|Она выбрала цвет.
303|verb|stand|стоять|I stand here.|Я стою здесь.|She stood tall.|Она стояла прямо.
304|noun|sun|солнце|The sun is bright.|Солнце яркое.|She watched the sun.|Она смотрела на солнце.
305|noun|questions|вопросы|Ask questions.|Задавай вопросы.|She answered questions.|Она отвечала на вопросы.
306|noun|fish|рыба|The fish swims.|Рыба плавает.|She caught a fish.|Она поймала рыбу.
307|noun|area|область|This is my area.|Это моя область.|She explored the area.|Она исследовала область.
308|noun|mark|метка|Leave a mark.|Оставь метку.|She marked the spot.|Она отметила место.
309|noun|dog|собака|The dog barks.|Собака лает.|She saw a dog.|Она увидела собаку.
310|noun|horse|лошадь|The horse runs.|Лошадь бежит.|She rode a horse.|Она каталась на лошади.
