#frequency_rank|word_de|part_of_speech|word_en|sentence_de|sentence_en
52|mehr|adv|more|Ich habe Hunger und möchte mehr Brot.|I’m hungry and want more bread.
53|das Jahr, -e|das|year|Ein Jahr hat 52 Wochen.|A year has 52 weeks.
54|du|pron|you|Wer bist du?|Who are you?
55|durch|prep|through|Ralf läuft durch die Stadt.|Ralf walks through the city.
56|viel|pron|much, a lot, many|Ich gebe im Urlaub viel Geld aus.|I spend a lot of money on vacation.
57|wollen, will, wollte, hat gewollt|verb|to want to|Die Kinder wollen spielen.|The children want to play.
58|machen, macht, machte, hat gemacht|verb|to do, make|Die Schüler machen ihre Aufgaben.|The students do their tasks.
59|andere (r, s)|pron|other|Es gibt noch einen anderen Weg zum Bahnhof.|There’s another way to the station.
60|sollen, soll, sollte, hat gesollt|verb|should, ought to|Ihr sollt in der Bibliothek leise sein.|You should be quiet in the library.
61|schon|adv|already|Günter arbeitet schon seit 30 Jahren hier.|Günter has been working here for 30 years now.
61|schon|part||Die Karten für das Theater sind schon sehr teuer.|The tickets for the theater are really expensive.
62|kommen, kommt, kam, ist gekommen|verb|to come|Wir kommen morgen Abend zu dir.|We’ll come to your place tomorrow night.
63|mir|pron|me|Gibst du mir dein Fahrrad?|Are you giving me your bike?
64|immer|adv|always|Zum Frühstück esse ich immer eine Scheibe Brot.|I always have a slice of bread for breakfast.
65|mich|(Reflexive pronoun in the acc.)||Nach der Schule lege ich mich immer kurz ins Bett.|After school I always lie down in bed for a while.
65|mich|pron|me|Timo setzt sich neben mich an den Tisch.|Timo sits down next to me at the table.
66|gehen, geht, ging, ist gegangen|verb|to go|Wir gehen heute ins Theater.|We’re going to the theater today.
67|groß|adj|big, large, great|Florian hat eine große Wohnung.|Florian has a big apartment.
68|hier|adv|here|Hier ist mein Zimmer.|Here is my room.
69|ganz|adj|whole, all the|Das ganze Zimmer ist leer.|The whole room is empty.
69|ganz|part|quite|Er löst die Aufgabe ganz gut.|He’s solving the task quite well.
70|zwei|num|two|Anna hat zwei Schwestern, Tina und Sarah.|Anna has two sisters, Tina and Sarah.
71|also|adv|so|Das ist also der neue Schüler.|So, this is the new student.
72|jetzt|adv|now|Wir müssen jetzt ins Bett.|We have to go to bed now.
73|doch|adv|however, but|Heute scheint die Sonne, doch ich bleibe zu Hause.|Today the sun is shining, but I’m staying at home.
73|doch|part||Er kommt doch nicht zum Spiel.|He’s not coming to the game after all.
74|wieder|adv|again|Lea kommt wieder zu spät.|Lea’s late again.
75|uns|pron|us, we|Katharina besucht Max und mich, wir freuen uns darauf.|Katharina is visiting Max and me, we are looking forward to it.
76|gut|adj|good|Die Blumen riechen gut.|The flowers smell good.
77|bis|conj|until|Ich warte hier, bis er kommt.|I’ll wait here until he comes.
77|bis|prep|until, till|Meine Mutter arbeitet bis sieben Uhr.|My mother works until seven o’clock.
78|wissen, weiß, wusste, hat gewusst|verb|to know|Max weiß viel und ist gut in der Schule.|Max knows a lot and is good at school.
79|sehen, sieht, sah, hat gesehen|verb|to see|Seit er die neue Brille hat, kann er besser sehen.|Since he got the new glasses, he can see better.
80|einer|pron|(some)one|Dieses Problem ist nur eines von vielen.|This problem is only one of many.
81|sehr|adv|very|Sie ist eine sehr gute Ärztin.|She’s a very good doctor.
82|Mal|conj|times|Ein mal eins ist eins.|One times one equals one.
82|Mal|das|time, mark|Maria hat ein dunkles Mal auf ihrer Haut.|Maria has a dark mark on her skin.
82|Mal|part||Meine Freundin Veronika hat mal im Ausland gearbeitet.|My friend Veronika once worked abroad.
83|lassen, lässt, ließ, hat gelassen|verb|to let, allow, have done|Lass mich gehen!|Let me go!
84|neu|adj|new|Ich habe eine neue Tasche, weil die alte kaputt ist.|I got a new bag because the old one’s broken.
85|stehen, steht, stand, hat gestanden|verb|to stand|Die Fahrräder stehen im Keller.|The bicycles stand in the cellar.
86|unser|pron|our|Unser Verein hat das Spiel verloren.|Our club lost the game.
87|jede (r, s)|pron|every|Wir fahren jeden Sommer in den Urlaub.|We go on vacation every summer.
88|weil|conj|because|Frederiks Mutter steht früh auf, weil sie um sechs Uhr arbeiten muss.|Frederik’s mother gets up early because she has to work at six o’clock.
89|unter|prep|under|Unter der Brücke fließt ein Fluss.|Under the bridge a river flows.
90|der Mensch, -en|der|human being|Es gibt über sieben Milliarden Menschen auf der Welt.|There are over seven billion human beings in the world.
91|ihm|pron|him|Tom zieht zu Anna und sie gibt ihm die Schlüssel zu ihrer Wohnung.|Tom moves in with Anna and she gives him the keys to her apartment.
92|ihn|pron|him|Ich treffe ihn immer am Donnerstag in der Universität.|I always meet him on Thursday at the university.
93|denn|conj|because|Heute sind alle Geschäfte geschlossen, denn es ist Sonntag.|Today all shops are closed because it is Sunday.
93|denn|part|anyway|Was sagt denn deine Mutter dazu?|What does your mother say about that anyway?
94|das Beispiel, -e|das|example|Das Beispiel passt nicht gut zu diesem Argument.|The example does not fit this argument well.
95|erste (r, s)|adj|first|Jonah feiert heute seinen ersten Geburtstag.|Jonah celebrates his first birthday today.
96|die Zeit, -en|die|time|Jannik braucht viel Zeit für seine Aufgabe.|Jannik needs a lot of time for his task.
97|lang|adj|long|Mit ihren langen Beinen rennt sie schneller als Max.|With her long legs she runs faster than Max.
97|lang|adv|for a long time|Jeden Tag warten sie lange auf den Bus.|Every day they wait a long time for the bus.
98|leben, lebt, lebte, hat gelebt|verb|to live|Frauen leben länger als Männer.|Women live longer than men.
99|die Frau, -en|die|woman, wife, Mrs.|Frauen sollten den gleichen Lohn bekommen wie Männer.|Women should be paid the same as men.
100|etwas|pron|something, some, a little|Jeder macht die Welt etwas besser.|Everybody makes the world a little better.
101|selbst, selber|part|even|Selbst wenn es regnet, spielen sie im Garten.|Even when it rains, they play in the garden.
101|selbst, selber|pron|-self|Es ist wichtig, sich selbst zu lieben.|It is important to love yourself.
102|wenig|adj|few|Es gibt nur wenige Menschen, denen er vertraut.|There are just a few people he trusts.
102|wenig|pron|little, few|Diese Pflanze braucht nur sehr wenig Wasser.|This plant only needs very little water.
103|finden, findet, fand, hat gefunden|verb|to find|Ich kann meine Tasche nicht finden.|I can’t find my bag.
104|gegen|prep|against|Ich verliere immer gegen dich.|I always lose against you.
105|zwischen|prep|between|Mein Fahrrad steht zwischen den Bäumen.|My bicycle is standing between the trees.
106|drei|num|three|Im Deutschen gibt es drei Artikel, der, die und das.|In German there are three articles, “der”, “die”, and “das”.
107|liegen, liegt, lag, hat gelegen|verb|to lie|Der Hund liegt unter dem Stuhl.|The dog is lying under the chair.
108|wo|pron|where|Wo bist du geboren?|Where were you born?
109|nichts, nix|pron|nothing|Wenn es dunkel ist, kann man nichts sehen.|When it’s dark, you can see nothing.
110|klein|adj|small, little|Martin hat eine kleine Schwester.|Martin has a little sister.
111|der Tag, -e|der|day|Eine Woche hat sieben Tage.|A week has seven days.
112|deutsch|adj|German|Nina interessiert sich für deutsche Geschichte.|Nina is interested in German history.
112|deutsch|das|German|Deutsch ist eine schwierige Sprache.|German is a difficult language.
113|bleiben, bleibt, blieb, ist geblieben|verb|to stay, remain|Anna möchte für ein Jahr im Ausland bleiben.|Anna wants to stay abroad for a year.
114|nun, nu|adv|now|Nun habt ihr euch euren Urlaub verdient.|Now you’ve earned your vacation.
115|sondern|conj|but (on the contrary)|Nicht er mag Fußball, sondern seine Schwester.|He doesn’t like soccer, but his sister does.
116|heute|adv|today|Heute ist mein Geburtstag.|Today is my birthday.
117|beide|pron|both|Er hat zwei Kinder und liebt sie beide.|He has two children and loves them both.
118|hoch|adj|high, tall|Diese Berge sind sehr hoch.|These mountains are very high.
119|damit|pron|with it|Ich nehme den Wagen und fahre damit zur Arbeit.|I take the car and drive to work with it.
120|ohne|conj|without|Du sprichst, ohne nachzudenken.|You talk without thinking.
120|ohne|prep|without|Ich verlasse meine Wohnung nie ohne Schlüssel.|I never leave my apartment without a key.
121|der Mann, -̈er|der|man|Sie wohnt mit einem Mann zusammen.|She lives with a man.
122|welch, -e, -er, -es|pron|which|Welchen Film magst du lieber?|Which movie do you like better?
123|tun, tut, tat, hat getan|verb|to do|Heute habe ich nichts zu tun.|Today I have nothing to do.
124|einmal|adv|once|Ich möchte einmal im Leben nach Paris fahren.|I want to go to Paris once in my life.
125|ihnen|pron|them|Er gibt ihnen den Schlüssel, damit Tina und Erik in seiner Wohnung schlafen können.|He gives them the key so that Tina and Erik can sleep in his apartment.
125|ihnen|pron|you|Kann ich Ihnen etwas zu trinken anbieten?|Can I offer you something to drink?
126|heißen, heißt, hieß, hat geheißen|verb|to be called|Sein Freund heißt Markus.|His friend is called Markus.
127|ob|conj|whether, if|Ich kann mich nicht entscheiden, ob ich Bier oder Wein nehme.|I can’t decide if I’ll have beer or wine.
128|denken, denkt, dachte, hat gedacht|verb|to think|Ich denke gerade an meinen letzten Urlaub.|I’m thinking about my last vacation.
129|dabei|pron|with it, there|Lisa ist auch dabei.|Lisa will be there too.
130|seit|prep|since, for|Ihre Schwester ist seit drei Monaten im Ausland.|Her sister has been abroad for three months.
131|einfach|adj|simple, easy|Die Prüfung war sehr einfach.|The exam was very simple.
131|einfach|part|simply|Du musst einfach nur geradeaus gehen.|You must simply walk straight ahead.
132|erst|adv|first, only, not until|Erst solltest du deine Eltern fragen.|First you should ask your parents.
132|erst|part||Jetzt geht es erst richtig los!|It’s just beginning!
133|das Kind, -er|das|child|Das Kind geht gern zur Schule.|The child likes going to school.
134|das Land, -̈er|das|land, country, state|Welches Land würdest du gern besuchen?|Which country would you like to visit?
135|stellen, stellt, stellte, hat gestellt|verb|to place, set, put|Er stellt sein Fahrrad in den Garten.|He puts his bike in the garden.
136|zeigen, zeigt, zeigte, hat gezeigt|verb|to show|Können Sie mir den Weg zeigen?|Could you show me the way?
137|natürlich|adj|natural|Ich beobachte wilde Tiere in ihrer natürlichen Umgebung.|I observe wild animals in their natural environment.
137|natürlich|adv|naturally, of course|Natürlich vermisse ich dich.|Of course I miss you.
138|alt|adj|old|Wie alt bist du?|How old are you?
139|dort|adv|there|Die Bibliothek ist dort drüben.|The library is over there.
140|Deutschland|das|Germany|Meine Familie wohnt in einer kleinen Stadt im Westen von Deutschland.|My family lives in a small town in the west of Germany.
141|gleich|adj|same, right away, just|Die zwei Schwestern tragen das gleiche Kleid.|The two sisters are wearing the same dress.
142|nehmen, nimmt, nahm, hat genommen|verb|to take|Ich nehme ein Wasser.|I’ll take a water.
143|dürfen, darf, durfte, hat gedurft|verb|to be allowed to may|Darf ich heute Abend mit Lisa ins Kino?|May I go to the movies with Lisa tonight?
144|wichtig|adj|important|Er hat eine wichtige Frage.|He has an important question.
145|vielleicht|adv|perhaps, maybe|Vielleicht gibt es noch einen anderen Weg.|Maybe there’s another way.
145|vielleicht|part||Du kannst vielleicht laut sein!|You can be quite loud!
146|hören, hört, hörte, hat gehört|verb|to hear|Kannst du mich hören?|Can you hear me?
147|das Haus, -̈er|das|house|Meine Eltern wohnen in einem kleinen Haus.|My parents live in a small house.
148|nein, nee, nö|part|no|Nein, ich habe das nicht verstanden.|No, I didn’t understand that.
149|wer|pron|who, whoever|Wer ist da?|Who is there?
150|dazu|pron|in addition, furthermore, to that, for that|Ich koche heute und brauche dazu Eier.|I’m cooking tonight and I need eggs for that.
151|eigentlich|adj|actual, real|Steffen ist der eigentliche Chef der Firma, aber er ist selten da.|Steffen is the real boss of the company, but he’s rarely there.
151|eigentlich|adv|actually|Eigentlich mag ich kein Eis, aber ich esse es trotzdem.|Actually, I don’t like ice cream, but I eat it anyway.
151|eigentlich|part||Was studiert deine Schwester eigentlich genau?|What exactly is your sister studying?
152|letzte (r, s)|adj|last|Das ist das letzte Auto, das ich für meinen Sohn kaufe, das nächste bezahlt er selbst.|This is the last car I’m buying for my son; the next one he’ll be paying for himself.
153|fragen, fragt, fragte, hat gefragt|verb|to ask|Die Touristen fragen nach dem Weg.|The tourists ask for directions.
154|der Herr, -en|der|Mr.|Unser neuer Lehrer heißt Herr Schmidt.|Our new teacher is called Mr. Schmidt.
155|halten, hält, hielt, hat gehalten|verb|to stop, hold|Er hält ein Buch in seinen Händen.|He’s holding a book in his hands.
156|glauben, glaubt, glaubte, hat geglaubt|verb|to believe|Sie glaubt ihm nicht.|She doesn’t believe him.
157|die Frage, -n|die|question|Die Studierenden stellen zu dem neu eingeführten Thema viele Fragen.|The students ask many questions about the newly introduced topic.
158|gelten, gilt, galt, hat gegolten|verb|to be valid|Die Karte für den Zug gilt nur heute.|The ticket for the train is only valid today.
159|gerade|adj|straight|Ich überhole nur auf einer geraden Strecke.|I only pass other cars on a straight stretch.
159|gerade|adv|just, just now, right now|Das Geschäft schließt gerade.|The store is closing right now.
160|folgen, folgt, folgte, ist gefolgt|verb|to follow|Der Hund folgt meinem Vater.|The dog follows my father.
161|sprechen, spricht, sprach, hat gesprochen|verb|to speak|Der Student möchte mit dem Professor sprechen.|The student would like to speak to the professor.
162|führen, führt, führte, hat geführt|verb|to lead|Jakob führt uns durch das Museum.|Jakob leads us through the museum.
163|bringen, bringt, brachte, hat gebracht|verb|to bring, take|Der Mann bringt mir einen Kaffee an meinen Tisch.|The man brings me a coffee at my table.
164|die Welt, -en|die|world|Ich möchte gerne um die Welt reisen.|I would like to travel around the world.
165|gar|adv|at all|Das ist gar kein Problem.|That’s no problem at all.
166|eigen|adj|own|Jeder Mensch hat ihren eigenen Charakter.|Everyone has their own character.
167|genau|adj|exact|Die genaue Zeit ist 10:43 Uhr.|The exact time is 10:43.
168|mögen, mag, mochte, hat gemocht|verb|to like|Mein Bruder mag meinen Freund nicht.|My brother doesn’t like my boyfriend.
169|spät|adj|late|Es ist schon spät.|It’s getting late.
169|spät|adj|later|Ich komme später zu dir.|I’ll be coming over later.
170|bereits|adv|already|Du musst nicht noch einkaufen gehen, ich habe es bereits erledigt.|You don’t have to go shopping; I have already done it.
171|möglich|adj|possible|Ich besuche meine Eltern so oft wie möglich.|I visit my parents as often as possible.
171|möglich|adv|as . . . as possible, if possible|Die Aufgabe soll möglichst schnell erledigt werden.|The task should be completed as quickly as possible.
172|das Prozent, -e|das|percent|Für Studenten kostet das Gericht 20 Prozent weniger.|For students, the meal costs 20 percent less.
173|während|conj|while, whereas|Luisa arbeitet, während er das Essen vorbereitet.|Luisa is working while he is preparing the food.
173|während|prep|during, while|Während man isst, soll man nicht reden.|You shouldn’t talk while you’re eating.
174|einige|pron|a few, some|Für einige Probleme haben wir bereits Lösungen, für andere noch nicht.|For some problems we already have solutions, for others not yet.
175|dafür|pron|for it, for that|Dafür musst du dich nicht entschuldigen.|You don’t have to apologize for that.
176|kurz|adj|short|Der Film dauert nur eine Stunde, er ist sehr kurz.|The film lasts only one hour; it is very short.
177|richtig|adj|correct, right|Alle wissen die richtige Antwort.|Everybody knows the correct answer.
178|stark|adj|strong|Herr Müller nimmt starke Schmerztabletten.|Mr. Müller takes strong pain killers.
179|brauchen, braucht, brauchte, hat gebraucht|verb|to need|Brauchst du Hilfe?|Do you need any help?
180|die Hand, -̈e|die|hand|Ich schreibe mit meiner rechten Hand.|I write with my right hand.
181|etwa|adv|about, approximately|Die Führung dauert etwa eine Stunde.|The tour lasts about one hour.
181|etwa|part|after all|Hat er etwa noch nicht angerufen?|He hasn’t called yet after all?
182|weitere (r, s)|adj|additional, further|Weitere Informationen finden Sie im Internet.|Further information can be found on the internet.
183|das Ende, -n|das|end|Das Ende des Romans ist wirklich spannend.|The end of the novel is really exciting.
184|schreiben, schreibt, schrieb, hat geschrieben|verb|to write|Er schreibt einen Brief an seine Freundin.|He’s writing a letter to his girlfriend.
185|solch|pron|such|Unter solchen Bedingungen kann ich nicht arbeiten.|I can’t work in such conditions.
186|nie|adv|never|Das hast du mir nie erzählt.|You never told me that.
187|der Fall, -̈e|der|fall, case|Der Richter erklärt den Fall für geschlossen.|The judge will close the case.
188|schön|adj|beautiful, pleasant, good|Von hier aus hat man einen schönen Blick auf die Stadt.|From here you have a beautiful view of the city.
189|wirklich|adj|real, actual|Sein Besuch ist eine wirkliche Überraschung.|His visit is a real surprise.
189|wirklich|adv|really, actually|Ich mag dich wirklich gern.|I really like you.
190|denen|pron|whom, that|Das sind Klara und Lisa, mit denen ich zusammen in einer Wohnung lebe.|This is Klara and Lisa, with whom I live in an apartment.
191|nennen, nennt, nannte, hat genannt|verb|to name, call|Mein Freund heißt Alexander, aber alle nennen ihn Alex.|My friend’s name ist Alexander, but everybody calls him Alex.
192|warum|adv|why|Warum hast du mich angerufen?|Why did you call me?
193|ziehen, zieht, zog, hat gezogen|verb|to pull, move|Man muss an der Tür ziehen, um sie zu öffnen.|You have to pull on the door to open it.
194|das Wort, -̈er|das|word|Ich verstehe kein Wort.|I can’t understand a word.
195|darauf, drauf|pron|on it, to it|Das Geschenk ist offensichtlich für Marlene, ihr Name steht darauf.|This gift’s clearly for Marlene; it has her name on it.
196|eben, ebend|adv|just, now|Ich versuche, ihn eben auf dem Handy zu erreichen.|I am just trying to reach him on his mobile phone.
196|eben, ebend|part||Das kann man eben nicht ändern.|There’s nothing you can do about it.
197|die Seite, -n|die|side, page|Das Buch hat 300 Seiten.|The book has 300 pages.
198|das Teil, -e|der, das|part|Die Ausstellung besteht aus drei Teilen.|The exhibition consists of three parts.
199|jung|adj|young|Sie war noch jung, als sie Kinder bekam.|She was still young when she had children.
200|vier|num|four|Oma hat vier Hunde.|Grandma has four dogs.
201|besser|adj|better|Kevin kann besser schwimmen als sein Bruder.|Kevin swims better than his brother.
202|fast|adv|almost|Ich hätte fast den Bus verpasst.|I almost missed the bus.
203|schnell|adj|fast|Mario kann sehr schnell rennen.|Mario can run very fast.
204|die Stadt, -̈e|die|city, town|London, Paris und Berlin sind große Städte.|London, Paris, and Berlin are big cities.
205|spielen, spielt, spielte, hat gespielt|verb|to play|Die Kinder spielen im Garten.|The children are playing in the garden.
206|zwar|adv|admittedly, to be precise|Wir kommen am Nachmittag an, und zwar um 14:37 Uhr.|We’ll arrive in the afternoon, at 2:37 pm to be precise.
207|der Euro, -s|der|euro (unit of currency)|In fast allen Ländern der EU kann man mit Euro bezahlen.|In almost all EU countries you can pay in euros.
208|die Arbeit, -en|die|work|Es liegt noch viel Arbeit vor uns.|We still have a lot of work ahead of us.
209|Million, Mio.|die|million|Die Stadt Tokio hat ca. 35 Millionen Einwohner.|The city of Tokyo has about 35 million inhabitants.
210|das Problem, -e|das|problem|Sie müssen das Problem so schnell wie möglich lösen.|You have to solve the problem as fast as possible.
211|verstehen, versteht, verstand, hat verstanden|verb|to understand|Rede bitte etwas lauter, ich kann dich nicht verstehen.|Please speak a little louder, I can’t understand you.
212|bekommen, bekommt, bekam, hat bekommen|verb|to get, receive|Natascha bekommt ein Fahrrad zu ihrem Geburtstag.|Natascha is getting a bike for her birthday.
213|meinen, meint, meinte, hat gemeint|verb|to think, have an opinion|Was meinen Sie dazu?|What do you think?
214|davon|pron|from it, about it, thereof|Davon wissen wir nichts.|We don’t know anything about that.
215|fahren, fährt, fuhr, ist gefahren|verb|to drive, ride, go|Christine fährt mit dem Zug nach Amsterdam.|Christine’s taking the train to Amsterdam.
216|kennen, kennt, kannte, hat gekannt|verb|to know|Wir kennen uns schon lange.|We’ve known each other for a long time.
217|dich|pron|you, yourself|Ich hole dich gleich ab.|I’ll pick you up in a moment.
218|die Mutter, -̈|die|mother|Meine Mutter ist eine starke Frau.|My mother is a strong woman.
219|die Woche, -n|die|week|Eine Woche hat sieben Tage.|A week has seven days.
220|der Weg, -e|der|path, way|Der Weg entlang des Flusses ist sehr schön.|The path along the river is very beautiful.
221|weiter|adv|further|Weitere Informationen zu diesem Thema stehen im Internet.|Further information on this topic is available on the internet.
222|das Auge, -n|das|eye|Er hat schöne blaue Augen.|He has beautiful blue eyes.
223|oft|adv|often|Sie besucht ihre Oma oft.|She visits her grandma often.
224|Leute|die (pl)|people|Ich treffe auf der Party viele nette Leute.|I meet a lot of nice people at the party.
225|allerdings|adv|though, indeed, certainly|Das ist allerdings eine interessante Frage.|That is certainly an interesting question.
226|sogar|adv|even, in fact|Sogar du kannst die Welt ein bisschen verbessern!|Even you can make the world a little better!
227|jedoch|adv|however|Mütter haben viel Kraft, können jedoch nicht alles allein schaffen.|Mothers have a lot of strength; however, they can’t do everything on their own.
228|setzen, setzt, setzte, hat gesetzt|verb|to set, place, put|Er setzt das Kind auf den Stuhl.|He puts the child in the chair.
228|setzen, setzt, setzte, hat gesetzt|verb|to sit down|Bitte setzen Sie sich.|Please sit down.
229|deshalb|adv|therefore|Es gibt bald Regen, deshalb sollten wir ins Haus gehen.|It’s going to rain; therefore, we should go into the house.
230|weit|adj|widely, far|Ich möchte später weit weg ziehen.|Someday I want to move somewhere far away.
231|sitzen, sitzt, saß, hat gesessen|verb|to sit|Auf dem Boden sitzt ein schwarzer Hund.|There’s a black dog sitting on the floor.
232|der Vater, -̈|der|father|Weil seine Freundin ein Baby bekommt, wird Timo endlich Vater.|Because his girlfriend is having a baby, Timo is finally becoming a father.
233|dein|pron|your|Dein Handy klingelt.|Your cell’s ringing.
